sep=,
DeviceTag:,L Foot - 2,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-28 16:06:32.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 489424433, 0.44591644, -0.0908779, -0.37426984, -0.80797386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 489441100, 0.4456374, -0.09071059, -0.37411097, -0.80822015, 4.653036117553711, 5.154181957244873, 6.871129035949707, 0.4095790684223175, 2.9848337173461914, 1.431397795677185, 
2, 489457767, 0.4457033, -0.09009841, -0.37404847, -0.80828136, 4.628381729125977, 5.199898719787598, 6.864303112030029, -0.15925976634025574, 2.3048930168151855, 1.8478984832763672, 
3, 489474434, 0.4459618, -0.08917351, -0.37417278, -0.8081838, 4.635303497314453, 5.202918529510498, 6.879664897918701, -0.826893150806427, 1.839062213897705, 1.9157081842422485, 
4, 489491101, 0.44632825, -0.08836688, -0.37424105, -0.80803835, 4.654517650604248, 5.134768962860107, 6.891263008117676, -1.1408920288085938, 1.7148277759552002, 1.88233482837677, 
5, 489507768, 0.44701567, -0.08777945, -0.37416422, -0.807758, 4.654879570007324, 5.137938976287842, 6.897478103637695, -0.9751396179199219, 1.5441704988479614, 1.679367184638977, 
6, 489524435, 0.44759303, -0.08740226, -0.37400874, -0.80755115, 4.654210567474365, 5.158200740814209, 6.907723903656006, -0.9624484777450562, 1.4360719919204712, 1.437583088874817, 
7, 489541102, 0.44795716, -0.08720661, -0.37375677, -0.807487, 4.668276786804199, 5.1749043464660645, 6.886873722076416, -1.391038417816162, 1.5318890810012817, 1.4783457517623901, 
8, 489557769, 0.44820657, -0.08713172, -0.37341163, -0.80751663, 4.640734672546387, 5.1852288246154785, 6.89421272277832, -2.027782917022705, 2.054208755493164, 1.828612208366394, 
9, 489574436, 0.4487186, -0.08697702, -0.37294185, -0.80746603, 4.611625671386719, 5.178319931030273, 6.9002227783203125, -3.068593740463257, 2.602858781814575, 2.210421085357666, 
10, 489591103, 0.4494236, -0.08674996, -0.37241584, -0.8073409, 4.664442539215088, 5.124256134033203, 6.902701377868652, -3.5680665969848633, 2.783325672149658, 2.445032835006714, 
