sep=,
DeviceTag:,L Forearm - 10,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-28 16:06:31.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 444808328, 0.6220996, -0.15447848, -0.65763026, -0.39579168, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 444824995, 0.6188999, -0.1610218, -0.65899223, -0.39593464, 9.392395973205566, 3.1306416988372803, 1.1297051906585693, -20.84417152404785, -50.43115234375, 10.782147407531738, 
2, 444841662, 0.6159839, -0.16737592, -0.65997624, -0.3962077, 9.245772361755371, 3.4680092334747314, 1.211901307106018, -16.327207565307617, -53.630428314208984, 10.10156536102295, 
3, 444858329, 0.61215514, -0.17189287, -0.6607628, -0.39888814, 9.339043617248535, 3.682028293609619, 1.3790329694747925, -16.648897171020508, -55.8854866027832, 10.487180709838867, 
4, 444874996, 0.60803103, -0.17613879, -0.660804, -0.40325108, 9.064602851867676, 4.006065368652344, 1.008105993270874, -24.683820724487305, -55.92758560180664, 12.05863094329834, 
5, 444891663, 0.6020148, -0.18183348, -0.6607903, -0.40972087, 9.090475082397461, 4.506923198699951, 1.0872960090637207, -45.23843002319336, -55.756290435791016, 13.648606300354004, 
6, 444908330, 0.5954625, -0.18819341, -0.6597494, -0.41801718, 9.31799030303955, 3.8010647296905518, 1.5590338706970215, -62.94654083251953, -50.801944732666016, 15.887815475463867, 
7, 444924997, 0.5908848, -0.19455782, -0.65744644, -0.42516688, 9.464274406433105, 2.8238377571105957, 1.8171757459640503, -61.37800598144531, -42.731407165527344, 17.144527435302734, 
8, 444941664, 0.58873117, -0.20077898, -0.6545215, -0.42975, 9.521425247192383, 2.4627411365509033, 1.9895806312561035, -46.43416213989258, -34.359371185302734, 18.74085807800293, 
9, 444958331, 0.588573, -0.20607388, -0.65172076, -0.43171233, 9.543977737426758, 2.4272379875183105, 2.0333454608917236, -27.063289642333984, -27.424381256103516, 20.12558937072754, 
10, 444974998, 0.58954716, -0.2103152, -0.64950556, -0.4316761, 9.411691665649414, 2.590712308883667, 1.7537509202957153, -8.810428619384766, -23.191064834594727, 20.772802352905273, 
11, 444991665, 0.59062934, -0.21435773, -0.64783186, -0.4307224, 9.122393608093262, 3.1524147987365723, 0.6774669885635376, -0.8847809433937073, -22.332788467407227, 21.978120803833008, 
12, 445008332, 0.5902442, -0.21801639, -0.6476074, -0.42975038, 8.974991798400879, 4.547521591186523, -0.49503859877586365, -0.2141101062297821, -27.471712112426758, 16.207624435424805, 
13, 445024999, 0.58721846, -0.22268486, -0.64791584, -0.43103474, 9.630414009094238, 4.079784393310547, -0.01597689650952816, -19.2249813079834, -32.636451721191406, 9.647259712219238, 
14, 445041666, 0.58323205, -0.22845747, -0.6477966, -0.43359807, 10.082830429077148, 3.1403098106384277, 0.5553411245346069, -34.468563079833984, -32.93378448486328, 9.40296745300293, 
15, 445058333, 0.5789184, -0.23577872, -0.64640176, -0.43752363, 10.196586608886719, 2.7990760803222656, 0.7236302495002747, -51.73918914794922, -30.80385971069336, 10.547722816467285, 
16, 445075000, 0.5742497, -0.24439014, -0.6437199, -0.442872, 10.159065246582031, 2.422969102859497, 0.5896071195602417, -67.77445983886719, -28.548582077026367, 9.925861358642578, 
17, 445091667, 0.56932986, -0.2535376, -0.640258, -0.4490569, 10.025121688842773, 2.1446011066436768, 0.43205875158309937, -76.77043151855469, -26.418336868286133, 7.687902927398682, 
18, 445108334, 0.56457794, -0.26198298, -0.6369158, -0.4549231, 9.63882064819336, 1.8747354745864868, 0.3529811501502991, -76.5744400024414, -25.234764099121094, 4.284687042236328, 
19, 445125001, 0.56048787, -0.2683083, -0.634922, -0.4590623, 8.900309562683105, 1.2691951990127563, 0.7646279335021973, -53.8752555847168, -22.976329803466797, 0.1073889508843422, 
20, 445141668, 0.55748683, -0.27177364, -0.63432276, -0.46149993, 10.03891372680664, 2.349669933319092, 3.130824565887451, -31.56334686279297, -18.661928176879883, -6.527594566345215, 
21, 445158335, 0.5555616, -0.273853, -0.6330458, -0.46433717, 10.867026329040527, 1.5414022207260132, 4.406965255737305, -28.64116096496582, -9.594423294067383, -9.632983207702637, 
22, 445175002, 0.5552276, -0.27453798, -0.63112086, -0.46694514, 10.54175090789795, 1.3122131824493408, 3.540274143218994, -18.60923194885254, 0.7622159123420715, -9.701286315917969, 
23, 445191669, 0.5558986, -0.2747335, -0.62865144, -0.46935698, 9.781355857849121, 1.7234811782836914, 1.2696431875228882, -15.378881454467773, 6.547721862792969, -7.897993087768555, 
24, 445208336, 0.5564926, -0.27380657, -0.6273955, -0.47087258, 9.627538681030273, 2.8058581352233887, 0.3741256594657898, -2.882967233657837, 4.481731414794922, -12.005550384521484, 
25, 445225003, 0.55605567, -0.2730528, -0.62631947, -0.47325274, 9.834603309631348, 3.860438585281372, 0.22275219857692719, -9.907134056091309, 1.5891742706298828, -17.46369743347168, 
26, 445241670, 0.55424744, -0.27394193, -0.6242184, -0.477616, 9.828978538513184, 3.56264328956604, 0.34839609265327454, -26.515506744384766, 0.716562807559967, -18.7733211517334, 
27, 445258337, 0.55227643, -0.27567634, -0.6214412, -0.48249805, 9.635819435119629, 3.083953619003296, 0.277430921792984, -40.36210632324219, 0.16088083386421204, -15.89565372467041, 
