sep=,
DeviceTag:,L Lower Leg - 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-28 16:06:31.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 489330253, 0.16653316, -0.6969309, -0.21996121, -0.6619445, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 489346920, 0.16738829, -0.69751704, -0.21871682, -0.6615241, 9.9343900680542, 0.5369458198547363, -0.6748746633529663, -1.3552446365356445, -1.2424336671829224, 0.8953239321708679, 
2, 489363587, 0.16748138, -0.69784844, -0.21783103, -0.66144335, 9.931767463684082, 0.6646429300308228, -0.6336653828620911, -2.5476441383361816, -1.0433974266052246, 0.913124680519104, 
3, 489380254, 0.1667188, -0.69769096, -0.2176005, -0.66187793, 9.92807388305664, 0.6222746968269348, -0.6283391714096069, -4.675085544586182, -0.7345592975616455, 0.9686786532402039, 
4, 489396921, 0.16603902, -0.6974853, -0.21748334, -0.66230404, 9.913273811340332, 0.5428222417831421, -0.6438068747520447, -5.062132358551025, -0.8709214925765991, 0.866215169429779, 
5, 489413588, 0.16570827, -0.6974012, -0.21726248, -0.6625476, 9.941601753234863, 0.561643660068512, -0.6876144409179688, -3.940155267715454, -0.8307479023933411, 0.7482813596725464, 
6, 489430255, 0.16559662, -0.69742644, -0.21718557, -0.6625743, 9.935945510864258, 0.5430305600166321, -0.7209058403968811, -2.6092679500579834, -0.9385901093482971, 0.6902430057525635, 
7, 489446922, 0.16536461, -0.69762844, -0.21695793, -0.66249406, 9.92892837524414, 0.662224292755127, -0.6631537675857544, -2.5482587814331055, -1.1839982271194458, 0.5368486046791077, 
8, 489463589, 0.16493304, -0.6977923, -0.21668252, -0.6625194, 9.92428970336914, 0.684211254119873, -0.6763433814048767, -3.556810140609741, -0.9082776308059692, 0.5719124674797058, 
9, 489480256, 0.16448468, -0.6979111, -0.21648705, -0.6625695, 9.907583236694336, 0.6321427822113037, -0.6903085708618164, -3.945880174636841, -0.7382221817970276, 0.6002144813537598, 
10, 489496923, 0.16419777, -0.69800496, -0.21645693, -0.66255176, 9.922019958496094, 0.5901010036468506, -0.7025460004806519, -2.902815103530884, -0.8564502596855164, 0.504730224609375, 
11, 489513590, 0.1639887, -0.69811016, -0.21645127, -0.66249436, 9.904866218566895, 0.6649071574211121, -0.6708829998970032, -1.694075107574463, -0.8823574781417847, 0.4051736891269684, 
12, 489530257, 0.16383295, -0.69818217, -0.21652532, -0.66243285, 9.90778636932373, 0.705077052116394, -0.6365206241607666, -1.0655652284622192, -0.8622643947601318, 0.3017752468585968, 
13, 489546924, 0.16359898, -0.6982464, -0.21653141, -0.6624209, 9.888629913330078, 0.7056447863578796, -0.5940831899642944, -1.3940606117248535, -0.797156810760498, 0.3314475119113922, 
14, 489563591, 0.1633188, -0.6983267, -0.21648914, -0.6624193, 9.876461029052734, 0.7211585640907288, -0.6557329893112183, -2.003361463546753, -1.097593903541565, 0.43981486558914185, 
15, 489580258, 0.16288148, -0.6984404, -0.21624197, -0.66248804, 9.93400764465332, 0.7672743797302246, -0.7125028371810913, -3.4187705516815186, -0.8902462720870972, 0.7014102339744568, 
16, 489596925, 0.16235381, -0.698578, -0.21588719, -0.6625881, 9.894651412963867, 0.6963687539100647, -0.6543906927108765, -4.580281734466553, -0.7510798573493958, 0.9205015301704407, 
17, 489613592, 0.16186777, -0.69872785, -0.2155682, -0.6626529, 9.885895729064941, 0.7119548916816711, -0.5924571752548218, -5.179092884063721, -1.0387872457504272, 0.9721876978874207, 
18, 489630259, 0.16134146, -0.69888324, -0.21517552, -0.6627451, 9.94068717956543, 0.6666128635406494, -0.5907859206199646, -5.607594013214111, -1.0279017686843872, 1.0503959655761719, 
19, 489646926, 0.16068946, -0.6990821, -0.21469785, -0.6628484, 9.917119979858398, 0.6697583794593811, -0.5488871932029724, -6.513950347900391, -1.3538105487823486, 0.790017306804657, 
20, 489663593, 0.15983954, -0.6993228, -0.21405764, -0.6630071, 9.868156433105469, 0.7202724814414978, -0.4961853325366974, -7.96751070022583, -1.4937071800231934, 0.534530758857727, 
21, 489680260, 0.15857457, -0.6996403, -0.21307567, -0.66329205, 9.831802368164062, 0.8733548521995544, -0.40677860379219055, -11.799212455749512, -1.6260356903076172, 0.23160934448242188, 
22, 489696927, 0.15701924, -0.6999813, -0.21178824, -0.66371465, 9.83316707611084, 0.9671524167060852, -0.5304893851280212, -16.47128677368164, -1.4780590534210205, 0.5210204124450684, 
23, 489713594, 0.15554391, -0.70031667, -0.21025217, -0.66419643, 10.064209938049316, 0.4780886769294739, -0.9158889055252075, -15.834900856018066, -0.7218818068504333, 2.0977141857147217, 
24, 489730261, 0.15484656, -0.70056564, -0.20963362, -0.66429216, 10.104616165161133, -0.16186417639255524, -1.0081766843795776, -7.893143653869629, -1.7408571243286133, 1.2217196226119995, 
25, 489746928, 0.15462391, -0.7009206, -0.20974943, -0.6639329, 9.92485237121582, 0.5793367028236389, -0.8144722580909729, -2.2560055255889893, -4.191954612731934, -0.30748051404953003, 
26, 489763595, 0.15441415, -0.70122993, -0.20950735, -0.6637316, 9.785563468933105, 1.0670595169067383, -0.6791592836380005, -3.215623378753662, -2.644101619720459, 1.1272470951080322, 
27, 489780262, 0.15399498, -0.70152676, -0.2088974, -0.6637076, 9.94924259185791, 0.9571660161018372, -0.6429382562637329, -6.639516353607178, -1.669166922569275, 2.093332290649414, 
