sep=,
DeviceTag:,L Upper Leg - 6,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-28 16:06:31.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 444762939, 0.5889539, -0.32234076, -0.71480674, -0.19565555, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 444779606, 0.5893529, -0.32248145, -0.7141649, -0.19656353, 9.592905044555664, -0.8858600854873657, -2.1287295818328857, -0.6099536418914795, -2.5310981273651123, 1.039177656173706, 
2, 444796273, 0.58991694, -0.32187784, -0.71368754, -0.19759263, 9.619297981262207, -0.9338898658752441, -2.1488687992095947, 0.33190858364105225, -2.801107406616211, 1.3005809783935547, 
3, 444812940, 0.5903507, -0.321719, -0.7131679, -0.1984305, 9.608940124511719, -1.0045504570007324, -2.1569974422454834, 0.2952439785003662, -2.579749345779419, 1.3595669269561768, 
4, 444829607, 0.59055066, -0.3221248, -0.7126919, -0.19888668, 9.585915565490723, -1.0764456987380981, -2.100546360015869, -1.396826982498169, -2.7471923828125, 1.2176340818405151, 
5, 444846274, 0.5908214, -0.32248673, -0.7123293, -0.19879541, 9.594709396362305, -1.0993196964263916, -2.1175124645233154, -1.8881938457489014, -3.064803123474121, 0.7950758934020996, 
6, 444862941, 0.59112144, -0.3228027, -0.7120522, -0.19838303, 9.604344367980957, -1.0980509519577026, -2.175262928009033, 0.32367411255836487, -2.863294839859009, 0.6228176355361938, 
7, 444879608, 0.5912664, -0.3232948, -0.71180475, -0.19803742, 9.590259552001953, -1.1192914247512817, -2.2209177017211914, 1.3915060758590698, -2.6031723022460938, 0.4687316119670868, 
8, 444896275, 0.5912265, -0.32381508, -0.71169645, -0.19769475, 9.570110321044922, -1.157670497894287, -2.19899320602417, 0.5424962043762207, -2.776672840118408, 0.33070480823516846, 
9, 444912942, 0.5910207, -0.32437527, -0.71168244, -0.19744231, 9.601367950439453, -1.1725496053695679, -2.174591064453125, -0.777101993560791, -3.2610599994659424, -0.14352074265480042, 
10, 444929609, 0.59073836, -0.32500556, -0.7116628, -0.19732158, 9.591203689575195, -1.193995714187622, -2.171194553375244, -1.014890432357788, -3.434586524963379, -0.4891257584095001, 
11, 444946276, 0.5905129, -0.3254965, -0.711678, -0.19713198, 9.58806324005127, -1.1982524394989014, -2.2057037353515625, 0.6511452198028564, -3.2982239723205566, -0.9119015336036682, 
12, 444962943, 0.5904032, -0.32569608, -0.71181583, -0.196633, 9.591320991516113, -1.2291125059127808, -2.2506558895111084, 3.302546977996826, -3.334876298904419, -0.9177926778793335, 
13, 444979610, 0.5903285, -0.32575127, -0.71200156, -0.19609219, 9.566128730773926, -1.2887778282165527, -2.3000073432922363, 4.106670379638672, -3.012258529663086, -1.3865563869476318, 
14, 444996277, 0.5902265, -0.3257854, -0.71221876, -0.19555347, 9.563178062438965, -1.2964309453964233, -2.2827908992767334, 4.164106845855713, -2.946267604827881, -1.646807074546814, 
15, 445012944, 0.5901814, -0.32558623, -0.7125378, -0.1948576, 9.547528266906738, -1.211905837059021, -2.2765450477600098, 5.846336841583252, -2.954873561859131, -2.212066888809204, 
16, 445029611, 0.5902427, -0.32516688, -0.71291566, -0.19398853, 9.545344352722168, -1.1480319499969482, -2.2960877418518066, 8.704919815063477, -2.786790132522583, -2.494229316711426, 
17, 445046278, 0.59034514, -0.32458147, -0.7133513, -0.19305342, 9.523777961730957, -1.1045854091644287, -2.2704174518585205, 9.304040908813477, -2.608628749847412, -2.6133673191070557, 
18, 445062945, 0.59037054, -0.32411122, -0.71375585, -0.19226836, 9.539690971374512, -1.070151686668396, -2.2490594387054443, 8.239447593688965, -2.708108425140381, -2.403637170791626, 
19, 445079612, 0.5904315, -0.32359397, -0.7141399, -0.19152509, 9.542232513427734, -1.0590298175811768, -2.2646982669830322, 7.759426116943359, -2.27799391746521, -2.236923933029175, 
20, 445096279, 0.5905416, -0.3230085, -0.7145289, -0.19072212, 9.557258605957031, -0.9966902732849121, -2.2970879077911377, 8.592377662658691, -2.1336538791656494, -2.0148746967315674, 
21, 445112946, 0.59061193, -0.32245597, -0.7148981, -0.19005392, 9.59975814819336, -0.9372487664222717, -2.2775962352752686, 7.44779634475708, -1.9453617334365845, -2.0325984954833984, 
22, 445129613, 0.59058195, -0.3219286, -0.71528536, -0.18958355, 9.536918640136719, -0.8654665350914001, -2.2111899852752686, 5.8873677253723145, -2.0944273471832275, -2.487287998199463, 
23, 445146280, 0.5906567, -0.32131717, -0.7156267, -0.18909907, 9.69183349609375, -0.6342693567276001, -2.2235915660858154, 6.929652690887451, -1.4355792999267578, -2.3928542137145996, 
24, 445162947, 0.59056747, -0.32140908, -0.7153794, -0.1901546, 9.261183738708496, -0.8608627915382385, -2.5864908695220947, -4.668210029602051, 2.5658934116363525, -3.5959980487823486, 
25, 445179614, 0.59094954, -0.32090268, -0.715364, -0.18988048, 9.727594375610352, -0.31621116399765015, -2.171518325805664, 6.088953018188477, 2.0738797187805176, -0.9963597059249878, 
26, 445196281, 0.5903586, -0.32147434, -0.71541685, -0.19055176, 9.4371919631958, -0.8115330338478088, -2.0387017726898193, -5.113063335418701, -2.429749011993408, -0.34346631169319153, 
27, 445212948, 0.58921945, -0.32159448, -0.71636176, -0.19032454, 9.854263305664062, -1.098528504371643, -2.039266347885132, 0.4083369970321655, -10.226296424865723, -1.3839441537857056, 
28, 445229615, 0.5884882, -0.32224697, -0.71646637, -0.1910883, 9.69719123840332, -1.5754836797714233, -2.217238426208496, -6.108821868896484, -3.613696575164795, -0.6901727318763733, 
