sep=,
DeviceTag:,R Foot - 1,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-28 16:06:32.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 489429889, 0.17704436, -0.2690032, 0.061483413, -0.9447287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 489446556, 0.17661288, -0.26889572, 0.060744762, -0.94488806, 4.866074562072754, -2.0674972534179688, 8.532666206359863, 7.152790069580078, -1.1404057741165161, 1.5904659032821655, 
2, 489463223, 0.17616263, -0.2685013, 0.059689686, -0.94515145, 4.903558731079102, -2.052842378616333, 8.518685340881348, 6.739836692810059, -1.1232324838638306, 1.7382127046585083, 
3, 489479890, 0.17627804, -0.26838553, 0.058489278, -0.94523776, 4.8821587562561035, -2.0370354652404785, 8.524853706359863, 6.510768413543701, -0.9563783407211304, 2.009028434753418, 
4, 489496557, 0.17650954, -0.26825312, 0.0573949, -0.9452992, 4.864800930023193, -2.0550806522369385, 8.522241592407227, 6.471632480621338, -0.8717027902603149, 2.0529286861419678, 
5, 489513224, 0.17675465, -0.2680838, 0.056541853, -0.94535285, 4.876597881317139, -2.040222406387329, 8.521221160888672, 6.398942947387695, -0.7826729416847229, 2.1221723556518555, 
6, 489529891, 0.17679265, -0.26795366, 0.055857714, -0.9454233, 4.872950077056885, -2.005727529525757, 8.523414611816406, 6.2938923835754395, -0.9430853128433228, 2.248789072036743, 
7, 489546558, 0.17709705, -0.26786613, 0.055173095, -0.9454314, 4.847348690032959, -2.0284311771392822, 8.542658805847168, 5.831801414489746, -1.0327554941177368, 2.4959897994995117, 
8, 489563225, 0.17730498, -0.26775187, 0.054622203, -0.9454567, 4.830374240875244, -1.9854005575180054, 8.557769775390625, 5.60258150100708, -1.091408610343933, 2.757495880126953, 
9, 489579892, 0.1776377, -0.26765257, 0.05412282, -0.9454511, 4.834412097930908, -1.997827410697937, 8.590625762939453, 4.9851603507995605, -1.3320014476776123, 3.0361487865448, 
10, 489596559, 0.17807072, -0.2675867, 0.05372175, -0.94541126, 4.84984016418457, -1.9869729280471802, 8.556329727172852, 4.249729633331299, -1.5896650552749634, 3.40484356880188, 
11, 489613226, 0.1784223, -0.26756993, 0.05342973, -0.94536626, 4.877147197723389, -2.025930404663086, 8.527780532836914, 3.7135021686553955, -1.7935551404953003, 3.685187578201294, 
12, 489629893, 0.1788694, -0.2676075, 0.053172793, -0.9452855, 4.84263277053833, -2.048267364501953, 8.54000473022461, 3.390449285507202, -1.8040177822113037, 3.6467297077178955, 
13, 489646560, 0.17943932, -0.26766217, 0.05289897, -0.9451774, 4.846512794494629, -2.075910806655884, 8.543879508972168, 3.4459779262542725, -1.8239315748214722, 3.5796380043029785, 
14, 489663227, 0.17970414, -0.26769528, 0.052728545, -0.94512737, 4.837515354156494, -2.0855417251586914, 8.519150733947754, 3.5316009521484375, -1.7373607158660889, 3.526695966720581, 
15, 489679894, 0.18004246, -0.2677299, 0.05256573, -0.9450621, 4.855924606323242, -2.03364634513855, 8.546846389770508, 3.4705917835235596, -1.6354094743728638, 3.459219455718994, 
16, 489696561, 0.18034238, -0.26780695, 0.05246945, -0.9449885, 4.842555046081543, -2.04264497756958, 8.565982818603516, 3.029540777206421, -1.8454334735870361, 3.5979506969451904, 
17, 489713228, 0.1807631, -0.26791486, 0.052314658, -0.94488597, 4.812393665313721, -2.145630359649658, 8.537104606628418, 3.070380210876465, -2.024171829223633, 3.438793182373047, 
18, 489729895, 0.18108231, -0.26801884, 0.052099697, -0.94480723, 4.821164131164551, -2.135315179824829, 8.539745330810547, 3.667905569076538, -2.1125102043151855, 2.9606361389160156, 
19, 489746562, 0.1812988, -0.26812178, 0.051905945, -0.9447472, 4.822131633758545, -2.10762095451355, 8.52742862701416, 3.7886247634887695, -2.1547582149505615, 2.886173725128174, 
20, 489763229, 0.18163481, -0.2682335, 0.051642675, -0.94466543, 4.8226141929626465, -2.132716417312622, 8.534157752990723, 4.067572593688965, -2.2149863243103027, 2.8555281162261963, 
21, 489779896, 0.18186678, -0.2683388, 0.051366054, -0.94460595, 4.827461242675781, -2.1301536560058594, 8.551159858703613, 4.324698448181152, -2.230430841445923, 2.6455166339874268, 
22, 489796563, 0.18197994, -0.26843876, 0.05105221, -0.9445728, 4.845878601074219, -2.1755545139312744, 8.532252311706543, 4.754120826721191, -2.298893690109253, 2.413273334503174, 
23, 489813230, 0.18222079, -0.26851088, 0.050590526, -0.9445306, 4.845499038696289, -2.151746988296509, 8.51544189453125, 5.499770641326904, -2.1248810291290283, 2.0315804481506348, 
24, 489829897, 0.18243298, -0.26857257, 0.050106157, -0.944498, 4.827661991119385, -2.1413633823394775, 8.5382661819458, 5.748534202575684, -2.0700058937072754, 1.9849398136138916, 
25, 489846564, 0.18269762, -0.26863542, 0.04961658, -0.94445485, 4.826981067657471, -2.1091761589050293, 8.501553535461426, 5.681691646575928, -2.0432469844818115, 1.979183316230774, 
26, 489863231, 0.18296224, -0.2687001, 0.049079318, -0.9444132, 4.8073859214782715, -2.145228624343872, 8.53376293182373, 5.960158824920654, -2.0877554416656494, 1.8668264150619507, 
27, 489879898, 0.18317442, -0.2687557, 0.04851461, -0.9443854, 4.842207431793213, -2.106818437576294, 8.531281471252441, 6.219192981719971, -2.0886905193328857, 1.7184137105941772, 
28, 489896565, 0.18337354, -0.26878956, 0.047928516, -0.94436723, 4.844869136810303, -2.107572078704834, 8.529237747192383, 6.443893909454346, -1.9746625423431396, 1.7628391981124878, 
29, 489913232, 0.18356471, -0.26881573, 0.047350362, -0.94435185, 4.857809066772461, -2.1001274585723877, 8.543396949768066, 6.429615020751953, -1.9117578268051147, 1.8214795589447021, 
30, 489929899, 0.18382095, -0.26884574, 0.046770617, -0.94432217, 4.840346336364746, -2.0770325660705566, 8.527974128723145, 6.279351234436035, -1.872397541999817, 1.820154070854187, 
31, 489946566, 0.18407659, -0.26886144, 0.046203464, -0.9442958, 4.829041957855225, -2.0622215270996094, 8.523834228515625, 6.1926398277282715, -1.7446285486221313, 1.8424115180969238, 
32, 489963233, 0.18427694, -0.26886153, 0.045632515, -0.94428456, 4.826906204223633, -2.119377374649048, 8.533407211303711, 6.337972640991211, -1.6805647611618042, 1.8528423309326172, 
33, 489979900, 0.18445088, -0.26886874, 0.04506146, -0.9442759, 4.820930480957031, -2.1041321754455566, 8.535860061645508, 6.295320987701416, -1.715596318244934, 1.6852774620056152, 
34, 489996567, 0.18467723, -0.2688739, 0.04447462, -0.94425803, 4.8184428215026855, -2.09970760345459, 8.538840293884277, 6.349580764770508, -1.699729323387146, 1.7541755437850952, 
35, 490013234, 0.18490477, -0.26888153, 0.043856394, -0.9442403, 4.836273670196533, -2.0891919136047363, 8.542068481445312, 6.51215934753418, -1.742169976234436, 1.6318111419677734, 
36, 490029901, 0.18513626, -0.26887965, 0.0432521, -0.9442234, 4.832312107086182, -2.047545909881592, 8.560478210449219, 6.523914813995361, -1.6882294416427612, 1.8328065872192383, 
37, 490046568, 0.18538076, -0.26889846, 0.042652935, -0.9441973, 4.831658840179443, -2.061941385269165, 8.53974723815918, 6.417577743530273, -1.817580223083496, 1.8500250577926636, 
38, 490063235, 0.18559039, -0.26892197, 0.042061284, -0.944176, 4.841066360473633, -2.067755937576294, 8.54482650756836, 6.465319633483887, -1.8781156539916992, 1.9318833351135254, 
39, 490079902, 0.18578659, -0.26894537, 0.04144887, -0.9441579, 4.829857349395752, -2.0804429054260254, 8.532453536987305, 6.558312892913818, -1.8810932636260986, 1.7769837379455566, 
40, 490096569, 0.18601745, -0.2689718, 0.04084815, -0.944131, 4.841728687286377, -2.0227832794189453, 8.564624786376953, 6.423089981079102, -1.8638429641723633, 1.8221772909164429, 
41, 490113236, 0.18626286, -0.26902413, 0.040302742, -0.94409114, 4.823358058929443, -2.0432212352752686, 8.565556526184082, 6.04071044921875, -1.9866235256195068, 2.034576892852783, 
