sep=,
DeviceTag:,R Forearm - 9,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-28 16:06:32.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 444823402, 0.17006594, 0.5114747, -0.3697894, 0.7567883, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 444840069, 0.16914794, 0.5105731, -0.37168416, 0.7566738, 8.682122230529785, -3.831186056137085, 1.949761152267456, -11.180719375610352, -0.4402569830417633, 7.038138389587402, 
2, 444856736, 0.16844979, 0.50978243, -0.37396297, 0.7562396, 8.712254524230957, -3.8800361156463623, 1.8773072957992554, -12.197209358215332, -0.6863694787025452, 6.4125847816467285, 
3, 444873403, 0.16819611, 0.50931907, -0.37660763, 0.75529534, 8.704117774963379, -3.926827907562256, 1.8355592489242554, -12.680675506591797, -1.3390326499938965, 5.243056774139404, 
4, 444890070, 0.16775192, 0.5093431, -0.37885955, 0.75425094, 8.65697193145752, -4.020040035247803, 1.754116415977478, -12.209632873535156, -2.208648443222046, 3.6645584106445312, 
5, 444906737, 0.16725801, 0.5096307, -0.3809046, 0.7531356, 8.620379447937012, -4.115226745605469, 1.726944088935852, -9.652661323547363, -3.4820351600646973, 1.796891689300537, 
6, 444923404, 0.16662277, 0.5101088, -0.38246673, 0.75216043, 8.593243598937988, -4.185184955596924, 1.693608283996582, -5.047201156616211, -4.76998233795166, -0.254410982131958, 
7, 444940071, 0.16585064, 0.510818, -0.38343892, 0.7513543, 8.54053020477295, -4.18657922744751, 1.6533783674240112, 0.35100284218788147, -6.248141288757324, -2.2784929275512695, 
8, 444956738, 0.16472545, 0.5119333, -0.38357058, 0.7507753, 8.502245903015137, -4.140786647796631, 1.6042873859405518, 5.788708686828613, -7.598996162414551, -4.278090953826904, 
9, 444973405, 0.163575, 0.51338404, -0.38310826, 0.75027215, 8.477758407592773, -4.024406433105469, 1.6111412048339844, 9.676414489746094, -8.949492454528809, -6.29691219329834, 
10, 444990072, 0.16266358, 0.5150615, -0.38231713, 0.7497239, 8.496286392211914, -3.973600149154663, 1.601949691772461, 10.754430770874023, -10.001347541809082, -8.061938285827637, 
11, 445006739, 0.16173214, 0.5170624, -0.38113844, 0.74914813, 8.503783226013184, -3.994389295578003, 1.5897411108016968, 10.903741836547852, -10.949568748474121, -9.546875, 
12, 445023406, 0.16107251, 0.51918894, -0.3798429, 0.74847704, 8.5567045211792, -4.062250137329102, 1.5330843925476074, 11.58510684967041, -12.053019523620605, -10.962237358093262, 
13, 445040073, 0.1602282, 0.5215858, -0.3782302, 0.7478084, 8.53600788116455, -4.139964580535889, 1.4913876056671143, 13.135104179382324, -13.243440628051758, -11.835354804992676, 
14, 445056740, 0.1592352, 0.5242039, -0.37633547, 0.74714535, 8.54302978515625, -4.2122673988342285, 1.4867327213287354, 15.643738746643066, -14.640507698059082, -12.737837791442871, 
15, 445073407, 0.15797158, 0.52703965, -0.3741043, 0.7465389, 8.570210456848145, -4.257546901702881, 1.4475023746490479, 18.486839294433594, -15.922292709350586, -13.380134582519531, 
16, 445090074, 0.15660799, 0.52996135, -0.37170357, 0.7459568, 8.623812675476074, -4.20589017868042, 1.4278631210327148, 20.8167781829834, -16.843502044677734, -13.7861909866333, 
17, 445106741, 0.1551743, 0.5329323, -0.36926723, 0.7453495, 8.629928588867188, -4.14180850982666, 1.4108372926712036, 20.89910316467285, -17.270341873168945, -13.841546058654785, 
18, 445123408, 0.15376024, 0.5359234, -0.3669333, 0.7446503, 8.611836433410645, -4.15631628036499, 1.354809284210205, 20.002220153808594, -17.85102081298828, -13.686087608337402, 
19, 445140075, 0.1523111, 0.5389245, -0.3646879, 0.7438847, 8.715004920959473, -4.173001289367676, 1.3791996240615845, 19.862348556518555, -18.529760360717773, -13.234024047851562, 
20, 445156742, 0.15090317, 0.5418353, -0.36275774, 0.7430003, 8.80293083190918, -3.6391756534576416, 1.5775834321975708, 16.784900665283203, -18.47491455078125, -12.311904907226562, 
21, 445173409, 0.15295358, 0.5430487, -0.36462536, 0.7407778, 8.87944507598877, -2.705491065979004, 2.0615756511688232, -21.026220321655273, -10.349528312683105, -12.34431266784668, 
22, 445190076, 0.15561964, 0.54356337, -0.3678368, 0.73825306, 9.011449813842773, -4.936859607696533, 1.9880881309509277, -31.914270401000977, -8.696481704711914, -7.457462787628174, 
23, 445206743, 0.15709259, 0.54421633, -0.37048832, 0.73613113, 8.965612411499023, -4.583498001098633, 2.1028149127960205, -23.813669204711914, -10.75034236907959, -4.374928951263428, 
24, 445223410, 0.15761055, 0.54479283, -0.3728947, 0.7343769, 9.209176063537598, -4.536863327026367, 1.9746133089065552, -19.281375885009766, -11.348047256469727, -0.4063205420970917, 
