sep=,
DeviceTag:,R Lower Leg - 3,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-28 16:06:32.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 489444434, 0.51433927, -0.5670641, -0.49243915, -0.41400132, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 489461101, 0.51407945, -0.567647, -0.4920853, -0.41394615, 9.731743812561035, -1.7678492069244385, -1.3341732025146484, 2.969414710998535, 0.3179624676704407, 0.3303077518939972, 
2, 489477768, 0.5138325, -0.5681313, -0.49199995, -0.4136894, 9.725245475769043, -1.7901464700698853, -1.2977771759033203, 2.818594455718994, 0.29099225997924805, 0.38768020272254944, 
3, 489494435, 0.51399696, -0.5683036, -0.49192217, -0.41334122, 9.710545539855957, -1.8109272718429565, -1.3407862186431885, 2.9587855339050293, 0.5181000828742981, 0.4512893855571747, 
4, 489511102, 0.5142323, -0.56844497, -0.4919123, -0.41286534, 9.720650672912598, -1.761940360069275, -1.3277490139007568, 3.3284919261932373, 0.6859400868415833, 0.4133569300174713, 
5, 489527769, 0.5143305, -0.56854296, -0.491901, -0.41262153, 9.731648445129395, -1.7268705368041992, -1.3098632097244263, 3.5308709144592285, 0.4588835835456848, 0.42790499329566956, 
6, 489544436, 0.51441765, -0.5684939, -0.4919298, -0.41254607, 9.730688095092773, -1.704438328742981, -1.2424945831298828, 3.1571686267852783, 0.7133968472480774, 0.522070050239563, 
7, 489561103, 0.5145336, -0.56834924, -0.49189892, -0.41263762, 9.757279396057129, -1.692936658859253, -1.298675537109375, 2.457160711288452, 0.7914388179779053, 0.7206068634986877, 
8, 489577770, 0.51459813, -0.5682044, -0.49187353, -0.41278672, 9.754471778869629, -1.7133888006210327, -1.3041775226593018, 2.062135934829712, 0.8721444010734558, 0.761856198310852, 
9, 489594437, 0.51455873, -0.56820273, -0.49170512, -0.41303906, 9.687491416931152, -1.7545167207717896, -1.2916259765625, 1.8341830968856812, 0.8481965661048889, 0.8830810189247131, 
10, 489611104, 0.5145776, -0.5681798, -0.4915954, -0.41317743, 9.715706825256348, -1.7346746921539307, -1.2610926628112793, 1.243170142173767, 0.7634954452514648, 0.8976803421974182, 
