sep=,
DeviceTag:,Trunk - 8,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-28 16:06:31.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 444789316, 0.21321088, -0.51314926, -0.19359888, -0.80854094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 444805983, 0.21129422, -0.5155913, -0.1946966, -0.8072258, 9.21705150604248, 1.0293339490890503, 4.013449668884277, -3.827869415283203, 2.2643353939056396, 2.181286334991455, 
2, 444822650, 0.21032603, -0.515581, -0.19428106, -0.80758536, 9.11158561706543, 0.9087329506874084, 3.931995391845703, -6.252175807952881, 3.7958858013153076, 2.3919639587402344, 
3, 444839317, 0.20995152, -0.5155522, -0.19322404, -0.80795485, 9.096752166748047, 1.0388290882110596, 3.5530097484588623, -4.441306114196777, 2.93518328666687, 1.98373544216156, 
4, 444855984, 0.20923054, -0.51703274, -0.19317542, -0.80720705, 9.095626831054688, 1.038293719291687, 3.75899600982666, -3.7711634635925293, -0.441575825214386, 2.540696859359741, 
5, 444872651, 0.20885606, -0.5182073, -0.19320446, -0.80654365, 9.197884559631348, 0.991645336151123, 3.8318822383880615, -2.875960350036621, -1.2939021587371826, 3.7750489711761475, 
6, 444889318, 0.20861417, -0.5189016, -0.19281875, -0.8062521, 9.216249465942383, 0.9084028005599976, 3.8791558742523193, -2.2475528717041016, 0.8753332495689392, 4.5651116371154785, 
7, 444905985, 0.20843644, -0.51923, -0.19198899, -0.8062845, 9.238109588623047, 0.8280530571937561, 3.7999587059020996, -2.5962443351745605, 2.7272212505340576, 4.522262096405029, 
8, 444922652, 0.20874323, -0.51942754, -0.191259, -0.8062514, 9.19481372833252, 0.8032457232475281, 3.7814066410064697, -1.1829482316970825, 3.1580140590667725, 4.763494968414307, 
9, 444939319, 0.20907041, -0.51967514, -0.19047864, -0.8061919, 9.146265029907227, 0.8019687533378601, 3.7609479427337646, -0.44927239418029785, 2.6455612182617188, 4.8389434814453125, 
10, 444955986, 0.20932779, -0.5199363, -0.18971992, -0.8061356, 9.107032775878906, 0.7995731830596924, 3.8057968616485596, -0.23782670497894287, 2.233651638031006, 4.367919445037842, 
11, 444972653, 0.20957552, -0.52009153, -0.18900944, -0.8061379, 9.09051513671875, 0.8008924722671509, 3.8788132667541504, 0.07183723151683807, 2.4445340633392334, 3.963277816772461, 
12, 444989320, 0.20982186, -0.5201879, -0.18826795, -0.80618525, 9.080808639526367, 0.8184962272644043, 3.89003849029541, -0.012895994819700718, 2.333759069442749, 4.096924304962158, 
13, 445005987, 0.21010911, -0.5202575, -0.18750808, -0.80624264, 9.152161598205566, 0.8338092565536499, 3.877455949783325, -0.3245769143104553, 2.1146421432495117, 4.430017471313477, 
14, 445022654, 0.2103304, -0.52032286, -0.18665116, -0.8063416, 9.063385009765625, 0.7801193594932556, 3.972938060760498, -0.409124493598938, 2.2481868267059326, 4.917222499847412, 
15, 445039321, 0.21062823, -0.5203174, -0.18595731, -0.8064278, 9.08646297454834, 0.744703471660614, 3.8603343963623047, 0.5711440443992615, 2.001434087753296, 4.643973350524902, 
16, 445055988, 0.21097192, -0.52030164, -0.18530196, -0.80649894, 9.07177734375, 0.6255066394805908, 3.9193098545074463, 0.49218007922172546, 1.9450221061706543, 4.590109348297119, 
17, 445072655, 0.21139827, -0.52028406, -0.18474312, -0.80652666, 9.082186698913574, 0.5269607901573181, 3.9652774333953857, 1.3779054880142212, 1.636824369430542, 4.562614440917969, 
18, 445089322, 0.21200845, -0.52023673, -0.18424654, -0.80651075, 9.110391616821289, 0.49174216389656067, 4.0032572746276855, 2.254167318344116, 1.6153993606567383, 4.994047164916992, 
19, 445105989, 0.2125962, -0.520199, -0.18360694, -0.80652606, 9.136366844177246, 0.47150006890296936, 4.01137638092041, 2.4596071243286133, 1.8049720525741577, 5.591054439544678, 
20, 445122656, 0.21343738, -0.5201136, -0.18306576, -0.80648214, 9.080397605895996, 0.5154312252998352, 4.0257134437561035, 3.242548942565918, 1.8781728744506836, 6.155596733093262, 
21, 445139323, 0.21441041, -0.52002025, -0.18255845, -0.80639917, 9.035257339477539, 0.5850276350975037, 4.055632591247559, 3.5032737255096436, 1.7628135681152344, 6.594560623168945, 
22, 445155990, 0.21521834, -0.5199475, -0.18188183, -0.8063837, 8.993026733398438, 0.6017699837684631, 4.053125858306885, 3.0071489810943604, 1.909132480621338, 6.813388347625732, 
23, 445172657, 0.21603277, -0.5198203, -0.18122081, -0.8063969, 8.97655200958252, 0.5570440888404846, 4.03198766708374, 2.5214359760284424, 2.1594772338867188, 6.547868251800537, 
24, 445189324, 0.21682948, -0.5195855, -0.18063547, -0.8064657, 9.032036781311035, 0.5154696702957153, 3.996619939804077, 2.948162794113159, 2.770397901535034, 6.047145843505859, 
25, 445205991, 0.21765213, -0.5192617, -0.18029083, -0.8065297, 9.08810806274414, 0.5974510312080383, 3.969839096069336, 4.540876388549805, 2.9449100494384766, 5.298166751861572, 
26, 445222658, 0.218405, -0.519002, -0.18016014, -0.8065226, 9.046184539794922, 0.6860363483428955, 4.04726505279541, 5.48109245300293, 1.9992762804031372, 4.471683025360107, 
27, 445239325, 0.21901375, -0.5188353, -0.18002093, -0.8064959, 9.10092544555664, 0.6495676636695862, 4.214418888092041, 4.485718727111816, 1.2276039123535156, 3.9047842025756836, 
28, 445255992, 0.2193079, -0.518667, -0.17934176, -0.8066754, 9.087728500366211, 0.5409330129623413, 4.370615482330322, 0.5549376010894775, 2.345534324645996, 4.098852157592773, 
29, 445272659, 0.21977544, -0.5183487, -0.1791271, -0.80680037, 9.128329277038574, 0.6690442562103271, 3.880664825439453, 3.8260252475738525, 2.3243653774261475, 3.250892162322998, 
30, 445289326, 0.22009473, -0.5180342, -0.17850089, -0.80705434, 9.09507942199707, 0.5263662934303284, 4.434116840362549, 0.6794218420982361, 3.351517915725708, 3.766584634780884, 
31, 445305993, 0.22027837, -0.5174669, -0.17746472, -0.8075964, 9.102865219116211, 0.44241008162498474, 4.363840103149414, -2.065760850906372, 6.081967830657959, 3.7486119270324707, 
32, 445322660, 0.22043456, -0.51690537, -0.17672572, -0.80807525, 9.019447326660156, 0.5285530686378479, 4.070467948913574, -0.21337942779064178, 5.27670955657959, 2.732805013656616, 
33, 445339327, 0.22054718, -0.51668847, -0.17615992, -0.80830675, 8.92845630645752, 0.52066570520401, 4.237810134887695, -0.16334499418735504, 2.1937341690063477, 2.481172561645508, 
34, 445355994, 0.22065051, -0.5165798, -0.17555024, -0.8084805, 8.981701850891113, 0.5067684650421143, 4.269254207611084, -0.4441241919994354, 1.4220106601715088, 2.8870184421539307, 
35, 445372661, 0.22080345, -0.51631594, -0.17487791, -0.8087531, 8.970208168029785, 0.4702998995780945, 4.3085222244262695, -0.4591972529888153, 2.7720112800598145, 3.100609302520752, 
36, 445389328, 0.22086595, -0.5160149, -0.17406513, -0.8091034, 8.980859756469727, 0.4373730719089508, 4.29517936706543, -1.5497159957885742, 3.3330323696136475, 2.9759018421173096, 
37, 445405995, 0.22097361, -0.51567525, -0.17331451, -0.80945176, 8.995100975036621, 0.4264439046382904, 4.311861991882324, -1.2507387399673462, 3.4730310440063477, 2.853318929672241, 
38, 445422662, 0.22109084, -0.5152863, -0.17258671, -0.8098227, 8.957345008850098, 0.41645947098731995, 4.269368648529053, -0.9790136218070984, 3.7996957302093506, 2.77066707611084, 
39, 445439329, 0.22118409, -0.514902, -0.17194636, -0.81017774, 8.907883644104004, 0.3558937609195709, 4.264186382293701, -0.6237844824790955, 3.5618112087249756, 2.3409688472747803, 
40, 445455996, 0.22131258, -0.5145026, -0.17141308, -0.8105095, 8.897205352783203, 0.32068973779678345, 4.260393142700195, 0.22577592730522156, 3.4531936645507812, 2.2044081687927246, 
41, 445472663, 0.22149168, -0.51419425, -0.17101619, -0.81073993, 8.85045337677002, 0.3150249123573303, 4.240284442901611, 1.0771292448043823, 2.448087215423584, 2.2208642959594727, 
42, 445489330, 0.22172102, -0.51404893, -0.17070904, -0.81083417, 8.934344291687012, 0.3211368918418884, 4.21580696105957, 1.587244987487793, 0.9902255535125732, 2.535414218902588, 
43, 445505997, 0.2220071, -0.51403695, -0.17047018, -0.81081367, 8.900155067443848, 0.31802260875701904, 4.311880111694336, 2.2497684955596924, -0.15657685697078705, 3.00339674949646, 
44, 445522664, 0.22242098, -0.51399803, -0.17040782, -0.81073815, 8.988030433654785, 0.37627241015434265, 4.288644790649414, 3.7004201412200928, -0.3232514560222626, 3.098111867904663, 
45, 445539331, 0.2228455, -0.51397914, -0.17038077, -0.8106392, 8.970142364501953, 0.4025837481021881, 4.383531093597412, 3.9186785221099854, -0.5403127074241638, 3.1009035110473633, 
46, 445555998, 0.22328073, -0.51392, -0.17039633, -0.81055367, 8.97261905670166, 0.44748738408088684, 4.381722450256348, 4.268049240112305, -0.32654276490211487, 2.97456955909729, 
