sep=,
DeviceTag:,L Foot - 2,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-28 16:22:18.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1435944749, 0.5511607, -0.08763073, -0.297891, -0.7744699, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1435961416, 0.55092376, -0.08755487, -0.29804343, -0.77458847, 4.555129051208496, 3.621864080429077, 7.889524459838867, -0.09673915803432465, -0.13438981771469116, 0.37045565247535706, 
2, 1435978083, 0.55085087, -0.08737742, -0.29846057, -0.7744997, 4.542090892791748, 3.5973498821258545, 7.882128715515137, -0.23850545287132263, 0.02132897451519966, 0.3573291599750519, 
3, 1435994750, 0.55069745, -0.08731796, -0.29869145, -0.77452666, 4.555233955383301, 3.6045665740966797, 7.869583606719971, -0.31551000475883484, 0.15247879922389984, 0.46141913533210754, 
4, 1436011417, 0.55062306, -0.0873183, -0.29890895, -0.7744955, 4.539773464202881, 3.551055908203125, 7.903990268707275, -0.2081672102212906, 0.12294736504554749, 0.44830548763275146, 
5, 1436028084, 0.550901, -0.08726044, -0.29892063, -0.7742999, 4.541797637939453, 3.560969114303589, 7.8851399421691895, 0.06560052931308746, 0.19581548869609833, 0.37210768461227417, 
6, 1436044751, 0.55098003, -0.087274715, -0.29889038, -0.7742538, 4.538965225219727, 3.5340795516967773, 7.9127912521362305, 0.33199819922447205, 0.21949443221092224, 0.2868814170360565, 
7, 1436061418, 0.5511298, -0.08726309, -0.29884312, -0.7741666, 4.529595375061035, 3.5308144092559814, 7.920980930328369, 0.6728776693344116, 0.07428322732448578, 0.15249159932136536, 
8, 1436078085, 0.5511144, -0.08729129, -0.29876545, -0.77420443, 4.546942234039307, 3.54205322265625, 7.90135383605957, 0.8876273036003113, 0.06763673573732376, 0.10168881714344025, 
9, 1436094752, 0.5511365, -0.0872762, -0.29873607, -0.77420175, 4.544050216674805, 3.5510292053222656, 7.906195640563965, 1.1294623613357544, 0.12158988416194916, 0.0099185174331069, 
