sep=,
DeviceTag:,L Forearm - 10,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-28 16:22:18.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1391325127, 0.7366017, 0.25488052, -0.3869246, -0.49268994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1391341794, 0.7383148, 0.25792527, -0.38278988, -0.49177, 3.33858585357666, 8.26717472076416, 5.832348346710205, -9.497049331665039, 38.36762237548828, -1.1825449466705322, 
2, 1391358461, 0.7393218, 0.26259318, -0.37958047, -0.49027222, 3.279888868331909, 8.6078462600708, 5.6779656410217285, -8.244355201721191, 40.96327209472656, -2.3936493396759033, 
3, 1391375128, 0.739907, 0.26877666, -0.3767974, -0.4881807, 3.197118043899536, 8.98885726928711, 5.5338335037231445, -14.151158332824707, 43.102325439453125, -3.4794466495513916, 
4, 1391391795, 0.74062794, 0.27493453, -0.37349346, -0.48619315, 3.067507266998291, 8.918962478637695, 5.293570041656494, -25.039976119995117, 44.411861419677734, -3.7620158195495605, 
5, 1391408462, 0.7426287, 0.2789588, -0.36865577, -0.48453867, 2.9831490516662598, 8.791363716125488, 5.1423726081848145, -43.795040130615234, 45.182918548583984, -1.8278435468673706, 
6, 1391425129, 0.745884, 0.28014448, -0.3623242, -0.4836295, 2.897355556488037, 8.584272384643555, 4.93029260635376, -63.00595474243164, 45.43299865722656, 0.6406320333480835, 
7, 1391441796, 0.7499744, 0.27964723, -0.35523528, -0.48284966, 2.8622584342956543, 7.893309593200684, 5.087549686431885, -72.43861389160156, 45.92188262939453, 3.1944797039031982, 
8, 1391458463, 0.75461924, 0.2784366, -0.34783012, -0.4817025, 2.8227076530456543, 7.285777568817139, 5.12611722946167, -69.21229553222656, 47.24610137939453, 4.887889385223389, 
9, 1391475130, 0.759287, 0.2771132, -0.34071192, -0.48021543, 2.6421456336975098, 7.147069454193115, 5.061981201171875, -60.25746536254883, 47.29692459106445, 5.739316463470459, 
10, 1391491797, 0.76382685, 0.2762879, -0.33402044, -0.47818813, 2.553183078765869, 7.149563312530518, 5.052271366119385, -50.632423400878906, 46.772708892822266, 6.714756965637207, 
11, 1391508464, 0.768189, 0.27577475, -0.32781896, -0.47578236, 2.507988214492798, 7.0115180015563965, 4.954482555389404, -43.8321647644043, 45.249534606933594, 8.24521541595459, 
12, 1391525131, 0.7724431, 0.2753338, -0.32201657, -0.4731051, 2.503506660461426, 7.171278953552246, 4.941516399383545, -39.69411087036133, 44.03165817260742, 10.261417388916016, 
13, 1391541798, 0.77680176, 0.27451515, -0.31630024, -0.47029218, 2.4163153171539307, 7.295048236846924, 4.895866870880127, -40.87424087524414, 42.4834098815918, 12.095130920410156, 
14, 1391558465, 0.78114647, 0.2732795, -0.31084174, -0.46744636, 2.1765153408050537, 7.250405788421631, 4.8630523681640625, -41.977455139160156, 40.14515686035156, 14.338285446166992, 
15, 1391575132, 0.78588355, 0.2709972, -0.3051564, -0.4645721, 2.0883796215057373, 7.22204065322876, 5.045569896697998, -48.81524658203125, 38.8751220703125, 18.549606323242188, 
16, 1391591799, 0.79133886, 0.26689416, -0.29883677, -0.46178722, 2.015024185180664, 7.602228164672852, 5.198153018951416, -61.876747131347656, 37.206031799316406, 23.378990173339844, 
17, 1391608466, 0.79721975, 0.2607748, -0.2918982, -0.45960063, 1.7698497772216797, 8.115205764770508, 5.279743671417236, -76.56759643554688, 34.619869232177734, 26.19915771484375, 
18, 1391625133, 0.8033112, 0.25307253, -0.28432122, -0.45804694, 1.8386986255645752, 7.972750186920166, 5.222161769866943, -89.8821029663086, 31.093873977661133, 25.64577865600586, 
19, 1391641800, 0.80914134, 0.24411684, -0.27642047, -0.4574814, 2.1426186561584473, 7.4104533195495605, 5.15720796585083, -100.00594329833984, 26.154277801513672, 21.486026763916016, 
20, 1391658467, 0.81420994, 0.2341691, -0.268536, -0.4583838, 2.3236656188964844, 7.259539604187012, 5.343286991119385, -106.7005386352539, 20.341991424560547, 14.080191612243652, 
21, 1391675134, 0.81821173, 0.22449209, -0.2610132, -0.46043998, 1.9282344579696655, 6.695383548736572, 5.427210807800293, -104.66354370117188, 14.890941619873047, 3.3105719089508057, 
22, 1391691801, 0.82068807, 0.21648045, -0.25457424, -0.46346465, 1.7744550704956055, 5.659396648406982, 5.401068687438965, -90.65453338623047, 10.113465309143066, -7.7155022621154785, 
