sep=,
DeviceTag:,L Upper Leg - 6,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-28 16:22:18.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1391253306, 0.6261531, -0.23873368, -0.7184975, -0.18627892, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1391269973, 0.62520945, -0.23914479, -0.71910334, -0.18658347, 9.764754295349121, -0.23894332349300385, -1.595234751701355, 1.4477131366729736, -1.9022296667099, 0.5133617520332336, 
2, 1391286640, 0.62370557, -0.23942988, -0.7202163, -0.18695794, 9.759378433227539, -0.2012310028076172, -1.540342926979065, -0.1956426054239273, -2.0938382148742676, 0.49054083228111267, 
3, 1391303307, 0.6226743, -0.23875856, -0.7213391, -0.18692502, 9.767434120178223, -0.18803836405277252, -1.5211589336395264, 0.42708536982536316, -2.803758382797241, 0.45810240507125854, 
4, 1391319974, 0.6220555, -0.23816463, -0.7220475, -0.18700878, 9.773675918579102, -0.19259323179721832, -1.4966166019439697, 1.2486127614974976, -2.556378126144409, 0.5909554362297058, 
5, 1391336641, 0.6218482, -0.23731078, -0.7225697, -0.18676594, 9.76915168762207, -0.1819247156381607, -1.4656344652175903, 1.4561012983322144, -2.240060806274414, 0.59848552942276, 
6, 1391353308, 0.6218086, -0.23653339, -0.7229277, -0.18649863, 9.769071578979492, -0.16056255996227264, -1.465043306350708, 2.2934699058532715, -2.3716461658477783, 0.508879542350769, 
7, 1391369975, 0.6218276, -0.23593374, -0.7231472, -0.1863434, 9.788572311401367, -0.09520824998617172, -1.4258238077163696, 1.8923239707946777, -2.0992043018341064, 0.6227536201477051, 
8, 1391386642, 0.6218531, -0.2353732, -0.7233248, -0.18627767, 9.737372398376465, -0.08222393691539764, -1.4155879020690918, 0.644550085067749, -2.3153369426727295, 0.8252732753753662, 
9, 1391403309, 0.6217534, -0.23511827, -0.72343946, -0.1864882, 9.759142875671387, -0.1000731959939003, -1.4299999475479126, -1.0792038440704346, -2.8025033473968506, 0.8926218748092651, 
10, 1391419976, 0.6215928, -0.23510662, -0.7234669, -0.1869305, 9.760546684265137, -0.11449901759624481, -1.4614155292510986, -2.912881374359131, -2.5962188243865967, 0.7936031818389893, 
11, 1391436643, 0.6213918, -0.23507917, -0.7235571, -0.18728374, 9.718643188476562, -0.2297389805316925, -1.4890183210372925, -4.354428291320801, -2.864396572113037, 0.889292299747467, 
12, 1391453310, 0.6210369, -0.23537266, -0.72365654, -0.18770792, 9.737344741821289, -0.32922402024269104, -1.471300482749939, -4.674881935119629, -3.643522262573242, 0.896835207939148, 
13, 1391469977, 0.62062407, -0.23593423, -0.72370553, -0.18817838, 9.801919937133789, -0.46090078353881836, -1.421754240989685, -5.472038745880127, -3.834413528442383, 1.0099024772644043, 
14, 1391486644, 0.62037045, -0.23637958, -0.7237396, -0.18832558, 9.793535232543945, -0.5269749760627747, -1.4454929828643799, -3.004331588745117, -3.414851665496826, 1.022491216659546, 
15, 1391503311, 0.6202371, -0.23657162, -0.72384834, -0.18810517, 9.75477409362793, -0.551540195941925, -1.4222215414047241, -0.9528821706771851, -3.340472459793091, 0.7320173978805542, 
16, 1391519978, 0.6201592, -0.23670968, -0.7239621, -0.1877498, 9.77344799041748, -0.5780786871910095, -1.3621537685394287, 0.9783475399017334, -3.2511990070343018, 0.370903879404068, 
17, 1391536645, 0.62017953, -0.23666179, -0.72410303, -0.18719888, 9.810604095458984, -0.5364142656326294, -1.3797316551208496, 2.934504508972168, -3.0677480697631836, -0.05593813210725784, 
18, 1391553312, 0.6203015, -0.23637447, -0.72428524, -0.18645136, 9.758255004882812, -0.5306434035301208, -1.3848235607147217, 4.750650405883789, -2.783499002456665, -0.46041393280029297, 
19, 1391569979, 0.62035, -0.23617163, -0.72450536, -0.18569066, 9.719183921813965, -0.49108409881591797, -1.4215022325515747, 5.498337268829346, -3.464207887649536, -0.4043477773666382, 
20, 1391586646, 0.62039715, -0.23595703, -0.72473377, -0.18491277, 9.765681266784668, -0.42469194531440735, -1.4268971681594849, 5.231144428253174, -3.4367761611938477, -0.3119242787361145, 
21, 1391603313, 0.6204416, -0.23574005, -0.72496635, -0.18412717, 9.73939323425293, -0.3683526813983917, -1.4054343700408936, 5.288261413574219, -3.4137892723083496, -0.16492019593715668, 
22, 1391619980, 0.6205021, -0.2354467, -0.7252315, -0.18325199, 9.757855415344238, -0.3742446303367615, -1.4278295040130615, 6.191211700439453, -3.4886422157287598, -0.01188429445028305, 
23, 1391636647, 0.6205504, -0.23512101, -0.7255258, -0.18233961, 9.796260833740234, -0.3827265501022339, -1.456289291381836, 6.6001057624816895, -3.641550302505493, 0.07710063457489014, 
24, 1391653314, 0.62065464, -0.23462577, -0.72584224, -0.18136054, 9.790684700012207, -0.4301110804080963, -1.436599612236023, 6.615063190460205, -3.2522239685058594, -0.11634569615125656, 
25, 1391669981, 0.62072295, -0.2341737, -0.7261527, -0.18046673, 9.766813278198242, -0.4557580053806305, -1.4259802103042603, 7.397313594818115, -3.32481050491333, -0.4565592408180237, 
26, 1391686648, 0.6207756, -0.23364598, -0.72653365, -0.179433, 9.747318267822266, -0.46101686358451843, -1.4629652500152588, 8.983433723449707, -3.81868839263916, -0.39484551548957825, 
27, 1391703315, 0.6208535, -0.23295999, -0.7269749, -0.1782642, 9.772730827331543, -0.38344907760620117, -1.426961064338684, 9.400113105773926, -3.885344982147217, -0.4428052306175232, 
28, 1391719982, 0.62093097, -0.23228887, -0.7273955, -0.17715123, 9.73671817779541, -0.33448711037635803, -1.430313229560852, 9.729084968566895, -3.728954553604126, -0.5786166787147522, 
29, 1391736649, 0.62100977, -0.23155329, -0.72783667, -0.17602247, 9.732560157775879, -0.3337762653827667, -1.4710893630981445, 10.231863021850586, -3.737304449081421, -0.7547938227653503, 
30, 1391753316, 0.62106156, -0.23083828, -0.72827804, -0.17494988, 9.765704154968262, -0.3479178845882416, -1.484122395515442, 9.628399848937988, -3.757563829421997, -0.775796115398407, 
31, 1391769983, 0.62103987, -0.23021658, -0.728734, -0.17394423, 9.78494644165039, -0.3528781831264496, -1.5004396438598633, 9.167281150817871, -4.163383960723877, -0.6738318800926208, 
32, 1391786650, 0.62103313, -0.229551, -0.7291919, -0.17292596, 9.767095565795898, -0.3326393961906433, -1.5012174844741821, 9.311210632324219, -4.018479824066162, -0.7206262946128845, 
33, 1391803317, 0.62102294, -0.2288379, -0.72967434, -0.17187041, 9.706123352050781, -0.29506102204322815, -1.5057871341705322, 9.685565948486328, -4.103142738342285, -0.7504779100418091, 
34, 1391819984, 0.62098444, -0.22812082, -0.7301879, -0.17077722, 9.710078239440918, -0.31006133556365967, -1.5359233617782593, 9.063921928405762, -4.367683410644531, -0.45976096391677856, 
35, 1391836651, 0.6209599, -0.22751728, -0.7306404, -0.16973351, 9.750225067138672, -0.32178619503974915, -1.5499573945999146, 9.441580772399902, -4.088070392608643, -0.11365640163421631, 
36, 1391853318, 0.62091213, -0.22708677, -0.7310208, -0.16884522, 9.76993179321289, -0.36376768350601196, -1.5458115339279175, 8.2080717086792, -3.830099105834961, 0.16981865465641022, 
37, 1391869985, 0.6207968, -0.22676887, -0.73139274, -0.16808319, 9.762331008911133, -0.3411978781223297, -1.515854835510254, 7.170335292816162, -4.04501485824585, 0.13621477782726288, 
38, 1391886652, 0.6207414, -0.22628574, -0.7317875, -0.16721839, 9.778770446777344, -0.2763247787952423, -1.5345937013626099, 7.462004661560059, -3.7579469680786133, 0.008964445441961288, 
39, 1391903319, 0.6206333, -0.22583884, -0.7322043, -0.1663975, 9.762353897094727, -0.2105080485343933, -1.597356915473938, 6.8984551429748535, -4.066234111785889, -0.0011525716399773955, 
40, 1391919986, 0.6204063, -0.225673, -0.73255616, -0.1659193, 9.732047080993652, -0.17179283499717712, -1.6113139390945435, 4.714652061462402, -4.179609298706055, -0.1812611073255539, 
41, 1391936653, 0.62013906, -0.22547644, -0.7329403, -0.16548884, 9.771821022033691, -0.17302049696445465, -1.5874050855636597, 4.108578681945801, -4.356925964355469, -0.4697369933128357, 
42, 1391953320, 0.6198659, -0.22525136, -0.7333303, -0.16509055, 9.780898094177246, -0.18619664013385773, -1.6193945407867432, 4.1962761878967285, -4.312499523162842, -0.7170531749725342, 
43, 1391969987, 0.619593, -0.22490501, -0.73378545, -0.16456477, 9.773045539855957, -0.20326681435108185, -1.6583012342453003, 4.92496395111084, -4.604593753814697, -0.7324528694152832, 
44, 1391986654, 0.61929065, -0.22456114, -0.7342525, -0.16408779, 9.726999282836914, -0.20342737436294556, -1.6068121194839478, 4.392745018005371, -4.691395282745361, -0.8857064843177795, 
45, 1392003321, 0.6190361, -0.2241479, -0.7347043, -0.16359033, 9.743449211120605, -0.19844765961170197, -1.6553025245666504, 5.114568710327148, -4.3319783210754395, -1.0742863416671753, 
46, 1392019988, 0.61885285, -0.22366263, -0.73512745, -0.16304587, 9.725383758544922, -0.22307328879833221, -1.735973596572876, 6.076274394989014, -3.8313400745391846, -1.1370246410369873, 
47, 1392036655, 0.61867, -0.22327347, -0.735509, -0.16255234, 9.724493980407715, -0.264456570148468, -1.7446482181549072, 4.939608097076416, -3.6292171478271484, -0.694911003112793, 
48, 1392053322, 0.61849815, -0.22302146, -0.7358323, -0.16208753, 9.7260160446167, -0.2702304422855377, -1.7063002586364746, 4.309638023376465, -3.405503511428833, -0.031606078147888184, 
49, 1392069989, 0.61831677, -0.22282355, -0.73615277, -0.16159591, 9.745826721191406, -0.22881637513637543, -1.6710528135299683, 4.062706470489502, -3.515932321548462, 0.3888072073459625, 
50, 1392086656, 0.6181468, -0.2226486, -0.7364703, -0.16104032, 9.7518892288208, -0.17938265204429626, -1.6375876665115356, 4.523862838745117, -3.567272901535034, 0.7764938473701477, 
51, 1392103323, 0.6179968, -0.222515, -0.73674715, -0.16053289, 9.73625659942627, -0.12016023695468903, -1.583362102508545, 4.390305519104004, -3.2766711711883545, 0.8388991951942444, 
52, 1392119990, 0.6178237, -0.22241656, -0.73703146, -0.16003014, 9.726950645446777, -0.10542179644107819, -1.5494136810302734, 3.716998338699341, -3.4482126235961914, 1.0894427299499512, 
53, 1392136657, 0.6176711, -0.22239418, -0.73727196, -0.15954106, 9.739795684814453, -0.14487020671367645, -1.5618953704833984, 3.3486685752868652, -3.2391037940979004, 1.5380041599273682, 
54, 1392153324, 0.6175476, -0.22239812, -0.7374953, -0.15898173, 9.758529663085938, -0.21860024333000183, -1.5979100465774536, 3.4428017139434814, -3.162630796432495, 2.0923593044281006, 
55, 1392169991, 0.6174583, -0.2224853, -0.7376616, -0.15843311, 9.761248588562012, -0.24002321064472198, -1.627462387084961, 3.0718271732330322, -2.831932544708252, 2.6002590656280518, 
56, 1392186658, 0.6173523, -0.22268, -0.7377803, -0.15801978, 9.728739738464355, -0.22480729222297668, -1.6341623067855835, 2.704317092895508, -2.6652259826660156, 2.473738670349121, 
57, 1392203325, 0.617217, -0.22281653, -0.7379482, -0.15757173, 9.7046480178833, -0.20544512569904327, -1.5910987854003906, 2.457871675491333, -2.987004518508911, 2.3639113903045654, 
58, 1392219992, 0.61699444, -0.22305065, -0.738131, -0.1572549, 9.784226417541504, -0.22927089035511017, -1.558590292930603, 1.2170515060424805, -3.405918836593628, 2.210439920425415, 
59, 1392236659, 0.6167841, -0.22322887, -0.7383268, -0.15690747, 9.80419635772705, -0.27532657980918884, -1.5545268058776855, 1.7642346620559692, -3.4083073139190674, 2.0391998291015625, 
60, 1392253326, 0.61661536, -0.2232851, -0.7385355, -0.1565085, 9.753650665283203, -0.3329939544200897, -1.5767076015472412, 2.4888052940368652, -3.2114996910095215, 1.6961435079574585, 
61, 1392269993, 0.61646926, -0.22328345, -0.7387479, -0.15608333, 9.746127128601074, -0.36902931332588196, -1.5734758377075195, 2.873239040374756, -3.1026713848114014, 1.5360641479492188, 
62, 1392286660, 0.6163372, -0.22320089, -0.73897636, -0.15564051, 9.755243301391602, -0.38974279165267944, -1.6292529106140137, 3.306657552719116, -3.0517020225524902, 1.1909074783325195, 
63, 1392303327, 0.61618006, -0.22315809, -0.73920715, -0.15522794, 9.760133743286133, -0.39207425713539124, -1.5639835596084595, 3.0589888095855713, -3.197335720062256, 1.205692172050476, 
64, 1392319994, 0.61604905, -0.22312142, -0.7394081, -0.15484253, 9.731122016906738, -0.3506140112876892, -1.6070256233215332, 2.657330274581909, -2.906900644302368, 1.2365684509277344, 
65, 1392336661, 0.61590284, -0.2230613, -0.73963803, -0.15441278, 9.70447063446045, -0.341304212808609, -1.6367454528808594, 2.939377784729004, -3.157623529434204, 1.2539979219436646, 
66, 1392353328, 0.61573046, -0.22310783, -0.73984724, -0.15402949, 9.7214994430542, -0.3559299409389496, -1.611056923866272, 2.4214437007904053, -3.261662244796753, 1.5581165552139282, 
67, 1392369995, 0.6155182, -0.22329764, -0.7400215, -0.15376529, 9.701085090637207, -0.4146508276462555, -1.6298680305480957, 0.9042884707450867, -3.2853543758392334, 1.8354383707046509, 
68, 1392386662, 0.61528283, -0.2234684, -0.7402518, -0.15335001, 9.745116233825684, -0.44546735286712646, -1.6214274168014526, 1.8008995056152344, -3.8608076572418213, 2.2554099559783936, 
69, 1392403329, 0.6150977, -0.22371997, -0.74040836, -0.15296961, 9.769027709960938, -0.4755123257637024, -1.5975055694580078, 1.4449467658996582, -3.344608783721924, 2.642622470855713, 
70, 1392419996, 0.61493844, -0.22404496, -0.7405006, -0.15268773, 9.753647804260254, -0.43467721343040466, -1.533530592918396, 0.533595860004425, -2.8772928714752197, 2.728694438934326, 
71, 1392436663, 0.61474884, -0.2243927, -0.7405854, -0.15252943, 9.716987609863281, -0.3668883442878723, -1.5581297874450684, -0.2488914579153061, -2.8554704189300537, 2.2967867851257324, 
72, 1392453330, 0.6145524, -0.22465034, -0.74071753, -0.1523001, 9.740270614624023, -0.37338072061538696, -1.61686110496521, 0.680651068687439, -3.1320619583129883, 2.0304148197174072, 
73, 1392469997, 0.61443436, -0.22474976, -0.74085885, -0.1519425, 9.776680946350098, -0.4649948179721832, -1.6777364015579224, 1.8645471334457397, -2.8013641834259033, 1.8933359384536743, 
