sep=,
DeviceTag:,Pelvis - 7,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-28 16:22:18.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1391414812, 0.7535621, 0.19087309, -0.53039384, 0.33822167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1391431479, 0.7533368, 0.19018783, -0.5312145, 0.33782157, 9.208944320678711, -0.8224455118179321, 3.5878684520721436, -0.853837788105011, -3.587378978729248, -0.24484461545944214, 
2, 1391448146, 0.7528775, 0.18905358, -0.53229046, 0.3377888, 9.252107620239258, -0.8521969318389893, 3.621920347213745, -0.7152089476585388, -3.6026694774627686, 0.6041074991226196, 
3, 1391464813, 0.75219387, 0.18824814, -0.53297645, 0.33867863, 9.278149604797363, -0.843392014503479, 3.6361641883850098, -0.20415881276130676, -2.8967702388763428, 1.4012898206710815, 
4, 1391481480, 0.7515538, 0.18779346, -0.53341824, 0.3396554, 9.232394218444824, -0.8406938910484314, 3.6310415267944336, 1.0671724081039429, -2.9886181354522705, 2.2797036170959473, 
5, 1391498147, 0.7509591, 0.18761523, -0.5336654, 0.34067923, 9.188350677490234, -0.8185370564460754, 3.651277542114258, 1.5266128778457642, -2.921973705291748, 2.7761154174804688, 
6, 1391514814, 0.75048, 0.18767944, -0.5337485, 0.34156817, 9.184022903442383, -0.8374096751213074, 3.7039103507995605, 1.9596211910247803, -3.1098809242248535, 2.3584234714508057, 
7, 1391531481, 0.7501672, 0.18786113, -0.53366524, 0.3422849, 9.202168464660645, -0.855574369430542, 3.6762027740478516, 3.387887716293335, -3.0583226680755615, 1.759419560432434, 
8, 1391548148, 0.7498741, 0.1881842, -0.53349966, 0.34300697, 9.199969291687012, -0.8613184690475464, 3.632850170135498, 4.71315336227417, -2.774329423904419, 1.6313562393188477, 
9, 1391564815, 0.74944407, 0.18864791, -0.53334874, 0.34392542, 9.229597091674805, -0.8520417809486389, 3.689457416534424, 5.639245510101318, -2.852998971939087, 2.423403739929199, 
10, 1391581482, 0.7489948, 0.18905306, -0.53318757, 0.3449305, 9.263269424438477, -0.8272035717964172, 3.711644411087036, 6.100645542144775, -2.556058645248413, 3.5239434242248535, 
11, 1391598149, 0.7485122, 0.18941994, -0.53306377, 0.3459664, 9.24315071105957, -0.7872955203056335, 3.679469585418701, 6.872075080871582, -2.7525720596313477, 4.6410932540893555, 
12, 1391614816, 0.74795216, 0.18989754, -0.5329398, 0.34710523, 9.229896545410156, -0.7487035989761353, 3.6806108951568604, 7.37262487411499, -2.914674997329712, 5.1422953605651855, 
13, 1391631483, 0.74742216, 0.19042076, -0.53282636, 0.3481324, 9.20584487915039, -0.7263942360877991, 3.6889193058013916, 7.603842258453369, -3.022414445877075, 4.9366374015808105, 
14, 1391648150, 0.7469003, 0.1910948, -0.5326377, 0.34917024, 9.178629875183105, -0.7439110279083252, 3.688805341720581, 8.232442855834961, -2.8541646003723145, 4.5227484703063965, 
15, 1391664817, 0.7463609, 0.1918831, -0.53242457, 0.3502151, 9.148558616638184, -0.755415141582489, 3.675170660018921, 8.80459213256836, -2.999427318572998, 4.2585930824279785, 
16, 1391681484, 0.7458996, 0.19259009, -0.53223294, 0.3511001, 9.182474136352539, -0.784996509552002, 3.668372631072998, 9.194327354431152, -2.922614812850952, 4.231507301330566, 
17, 1391698151, 0.7453092, 0.19348194, -0.53200793, 0.35220236, 9.227405548095703, -0.7574318647384644, 3.6721599102020264, 10.010881423950195, -3.173625946044922, 4.450887203216553, 
18, 1391714818, 0.74465173, 0.19440605, -0.53177965, 0.35342693, 9.211221694946289, -0.7194742560386658, 3.6707327365875244, 10.18226146697998, -3.163041353225708, 4.934820175170898, 
19, 1391731485, 0.74389607, 0.19534121, -0.53163904, 0.35471216, 9.192537307739258, -0.6936545968055725, 3.6731786727905273, 10.238353729248047, -3.8227860927581787, 5.576520919799805, 
20, 1391748152, 0.74322593, 0.19607459, -0.53158134, 0.355797, 9.191816329956055, -0.6955189108848572, 3.664083957672119, 9.857378959655762, -3.8179333209991455, 5.925187110900879, 
21, 1391764819, 0.7424893, 0.19690146, -0.53152126, 0.35696632, 9.182903289794922, -0.7244758605957031, 3.6813111305236816, 9.950614929199219, -4.037222862243652, 5.918918132781982, 
22, 1391781486, 0.7417276, 0.19784208, -0.53142726, 0.35816732, 9.194506645202637, -0.7454903721809387, 3.7004480361938477, 10.294217109680176, -4.122904300689697, 5.494906902313232, 
23, 1391798153, 0.74100655, 0.19874452, -0.53130674, 0.35933754, 9.181507110595703, -0.7739644646644592, 3.6539971828460693, 10.097626686096191, -3.789912700653076, 5.350091934204102, 
24, 1391814820, 0.7402911, 0.19962464, -0.531241, 0.3604193, 9.224899291992188, -0.7825233936309814, 3.6550447940826416, 10.38762092590332, -4.149419784545898, 5.3140997886657715, 
25, 1391831487, 0.73956203, 0.20049874, -0.5311654, 0.3615405, 9.298802375793457, -0.7776143550872803, 3.6480064392089844, 10.407771110534668, -4.017558574676514, 5.445781707763672, 
26, 1391848154, 0.7388349, 0.20138155, -0.53098786, 0.3627952, 9.321815490722656, -0.7659389972686768, 3.63383150100708, 10.02679443359375, -3.152066946029663, 5.462045669555664, 
27, 1391864821, 0.73821926, 0.20207527, -0.5308422, 0.36387423, 9.18661117553711, -0.7038199305534363, 3.669678211212158, 9.570014953613281, -2.736577033996582, 5.5253071784973145, 
28, 1391881488, 0.73758495, 0.20274892, -0.5307257, 0.36495447, 9.103239059448242, -0.6545640826225281, 3.667307138442993, 8.529762268066406, -2.8159701824188232, 5.365184307098389, 
29, 1391898155, 0.7369748, 0.20337263, -0.53076553, 0.36578128, 9.039755821228027, -0.7245647311210632, 3.6031832695007324, 7.662900447845459, -3.833569288253784, 4.739798069000244, 
