sep=,
DeviceTag:,R Foot - 1,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-28 16:22:18.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1435951002, 0.26408607, -0.29456803, 0.079929076, -0.9149317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1435967669, 0.2638328, -0.2947003, 0.080191754, -0.914939, 4.984992980957031, -3.0922958850860596, 8.109498977661133, 4.987887859344482, -2.681060552597046, 3.091203451156616, 
2, 1435984336, 0.2641583, -0.29511395, 0.08028528, -0.91470355, 4.985710620880127, -3.0853970050811768, 8.152814865112305, 5.823822975158691, -2.374220848083496, 2.6494483947753906, 
3, 1436001003, 0.26417643, -0.29526117, 0.080272414, -0.914652, 4.974921226501465, -3.075596809387207, 8.130382537841797, 6.404385089874268, -2.1175811290740967, 2.5019190311431885, 
4, 1436017670, 0.26424026, -0.29525957, 0.080005385, -0.91465735, 4.975813865661621, -3.0373313426971436, 8.15529727935791, 6.985616207122803, -1.7629610300064087, 2.1265909671783447, 
5, 1436034337, 0.26431534, -0.29513717, 0.07950905, -0.91471845, 4.9809250831604, -3.001750946044922, 8.171560287475586, 6.9982686042785645, -1.6653509140014648, 2.1572623252868652, 
6, 1436051004, 0.2643581, -0.29494777, 0.07883848, -0.91482514, 4.9826507568359375, -3.035825490951538, 8.173140525817871, 7.067178726196289, -1.6166738271713257, 2.105217218399048, 
7, 1436067671, 0.2646688, -0.29475412, 0.07804726, -0.91486573, 4.977088451385498, -3.019108295440674, 8.147998809814453, 7.36235237121582, -1.4703868627548218, 1.9452656507492065, 
8, 1436084338, 0.26493308, -0.29459095, 0.07727732, -0.9149071, 4.991138458251953, -2.9904580116271973, 8.177559852600098, 7.38934850692749, -1.6121019124984741, 2.0758519172668457, 
9, 1436101005, 0.2651107, -0.2944175, 0.076484844, -0.914978, 4.9778900146484375, -3.0364131927490234, 8.159154891967773, 7.640417098999023, -1.645808219909668, 2.1745760440826416, 
10, 1436117672, 0.26520553, -0.29421574, 0.07571813, -0.9150792, 4.971307754516602, -2.9366612434387207, 8.167509078979492, 7.903735160827637, -1.4271912574768066, 1.9363079071044922, 
11, 1436134339, 0.2654477, -0.29405606, 0.07491709, -0.9151263, 4.972757339477539, -2.9795432090759277, 8.184247016906738, 7.4739089012146, -1.5842736959457397, 2.015866994857788, 
12, 1436151006, 0.2656913, -0.29389238, 0.07410853, -0.91517395, 4.96614408493042, -2.991454839706421, 8.16543197631836, 7.474318981170654, -1.5303077697753906, 1.8062270879745483, 
13, 1436167673, 0.2658891, -0.29369774, 0.073307894, -0.9152435, 4.9773149490356445, -2.973909378051758, 8.18535327911377, 7.677452087402344, -1.3311946392059326, 1.6962332725524902, 
14, 1436184340, 0.2662026, -0.29351872, 0.07249456, -0.9152746, 4.968038082122803, -2.96154522895813, 8.197534561157227, 7.625593662261963, -1.358376145362854, 1.8411821126937866, 
15, 1436201007, 0.2664711, -0.29338783, 0.07172802, -0.91529894, 4.993298053741455, -2.931330680847168, 8.223052978515625, 7.357902526855469, -1.6891450881958008, 1.9319790601730347, 
16, 1436217674, 0.26664916, -0.2932631, 0.070994355, -0.9153442, 4.969217300415039, -2.962606430053711, 8.18918514251709, 7.20509672164917, -1.7237606048583984, 1.870995283126831, 
17, 1436234341, 0.26693788, -0.29310355, 0.07018755, -0.91537327, 4.9423112869262695, -2.999894857406616, 8.179875373840332, 7.559347152709961, -1.4560503959655762, 1.6973669528961182, 
18, 1436251008, 0.2672617, -0.2929453, 0.06933247, -0.9153946, 4.973409175872803, -2.960237503051758, 8.209830284118652, 7.85392427444458, -1.4946420192718506, 1.4449727535247803, 
19, 1436267675, 0.2675247, -0.29277664, 0.06850365, -0.9154341, 4.979415416717529, -2.932006359100342, 8.208420753479004, 7.755603790283203, -1.3777457475662231, 1.2751796245574951, 
20, 1436284342, 0.26781425, -0.2925888, 0.06762097, -0.91547537, 4.955400466918945, -2.9911513328552246, 8.176532745361328, 7.955196380615234, -1.213645100593567, 0.9583313465118408, 
21, 1436301009, 0.26792613, -0.29236752, 0.06669487, -0.9155811, 4.948709011077881, -3.0191047191619873, 8.182406425476074, 8.59589958190918, -1.160383701324463, 0.49283331632614136, 
22, 1436317676, 0.26808798, -0.2920722, 0.06561256, -0.9157061, 4.963586330413818, -2.9939370155334473, 8.177605628967285, 9.537857055664062, -0.742268979549408, -0.20531143248081207, 
23, 1436334343, 0.26818207, -0.2916644, 0.064392045, -0.9158952, 4.9530253410339355, -2.9887869358062744, 8.193279266357422, 10.66242504119873, -0.1518065333366394, -0.8750711679458618, 
24, 1436351010, 0.26815623, -0.2911608, 0.06303983, -0.9161572, 4.962981700897217, -3.0063436031341553, 8.166969299316406, 11.689212799072266, 0.3250444829463959, -1.7373358011245728, 
25, 1436367677, 0.26803547, -0.2904359, 0.061446175, -0.91653067, 4.923196315765381, -3.101801872253418, 8.146039962768555, 13.486112594604492, 1.6102778911590576, -3.081850051879883, 
26, 1436384344, 0.26783434, -0.2894847, 0.05944886, -0.917022, 4.908012866973877, -2.9814701080322266, 8.166823387145996, 16.412446975708008, 2.6197397708892822, -4.716736793518066, 
27, 1436401011, 0.26767552, -0.28847602, 0.057467263, -0.9175124, 4.9844584465026855, -2.671184778213501, 8.32329273223877, 16.474336624145508, 3.0461983680725098, -4.572383403778076, 
28, 1436417678, 0.2674907, -0.28751686, 0.055689186, -0.917977, 4.9732208251953125, -2.618154525756836, 8.343862533569336, 15.098288536071777, 2.9719207286834717, -3.8988261222839355, 
