sep=,
DeviceTag:,R Lower Leg - 3,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-28 16:22:18.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1435965728, 0.5209612, -0.5677007, -0.49615893, -0.4001773, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1435982395, 0.52152, -0.5673828, -0.4963693, -0.3996387, 9.639277458190918, -1.9706170558929443, -1.3786530494689941, 3.9478578567504883, -0.9618848562240601, 0.788634181022644, 
2, 1435999062, 0.5219406, -0.5674103, -0.49651316, -0.39887142, 9.678683280944824, -1.9966156482696533, -1.3926604986190796, 4.880519866943359, -1.0721476078033447, 0.751636803150177, 
3, 1436015729, 0.5225431, -0.56727886, -0.4969076, -0.39777687, 9.654973030090332, -1.9532442092895508, -1.3882721662521362, 5.243695259094238, -1.001738429069519, 0.8029773831367493, 
4, 1436032396, 0.5228811, -0.5671544, -0.49726528, -0.39706284, 9.696219444274902, -1.946688175201416, -1.4350152015686035, 4.590456008911133, -0.9368743300437927, 0.6999120116233826, 
5, 1436049063, 0.52297, -0.5671436, -0.49759495, -0.39654735, 9.679691314697266, -2.0112521648406982, -1.4466482400894165, 4.9493408203125, -1.1434533596038818, 0.7601913809776306, 
6, 1436065730, 0.52333826, -0.56687284, -0.49823004, -0.39565048, 9.647697448730469, -1.99069344997406, -1.4507298469543457, 6.262031078338623, -1.3650033473968506, 0.5755751132965088, 
7, 1436082397, 0.52388453, -0.56636703, -0.4991221, -0.39452562, 9.700044631958008, -1.9371042251586914, -1.4316316843032837, 7.268143653869629, -1.6176985502243042, 0.39055535197257996, 
8, 1436099064, 0.5243651, -0.5658941, -0.49989963, -0.39358035, 9.658939361572266, -1.9717150926589966, -1.3628395795822144, 7.685585021972656, -1.6521859169006348, 0.5779058933258057, 
9, 1436115731, 0.52483183, -0.56542563, -0.5005915, -0.3927517, 9.632511138916016, -1.9325650930404663, -1.3366060256958008, 7.209835052490234, -1.852708101272583, 0.4391554892063141, 
10, 1436132398, 0.5251425, -0.5650836, -0.5011182, -0.39215618, 9.747751235961914, -1.906783938407898, -1.3677551746368408, 5.075521945953369, -1.884710669517517, 0.4433495104312897, 
11, 1436149065, 0.5253139, -0.5648596, -0.5015368, -0.391714, 9.638261795043945, -1.9439804553985596, -1.4356971979141235, 3.7061259746551514, -2.058326244354248, 0.6420783996582031, 
12, 1436165732, 0.5255907, -0.5644701, -0.5021247, -0.39115077, 9.61994457244873, -2.081228256225586, -1.5167913436889648, 4.33085823059082, -1.8890265226364136, 0.2627286911010742, 
13, 1436182399, 0.52595335, -0.5640493, -0.50278354, -0.39042315, 9.7115478515625, -2.0574843883514404, -1.510266900062561, 5.9367241859436035, -2.101778507232666, 0.10568442195653915, 
14, 1436199066, 0.5262729, -0.5636927, -0.503374, -0.38974622, 9.696309089660645, -1.9168782234191895, -1.3755881786346436, 5.983249664306641, -1.9846389293670654, -0.039174634963274, 
15, 1436215733, 0.52647716, -0.5634414, -0.503884, -0.3891743, 9.651947021484375, -1.896536111831665, -1.3184521198272705, 4.305962562561035, -2.1689348220825195, 0.1964046061038971, 
16, 1436232400, 0.52663845, -0.5632087, -0.50436205, -0.38867328, 9.646354675292969, -2.0143802165985107, -1.4083036184310913, 3.7189061641693115, -2.2749197483062744, 0.1801789253950119, 
17, 1436249067, 0.5267969, -0.5629765, -0.5048239, -0.3881953, 9.676090240478516, -2.0448567867279053, -1.4549106359481812, 4.529151439666748, -2.3774478435516357, -0.1117994412779808, 
18, 1436265734, 0.52695644, -0.562767, -0.505299, -0.3876638, 9.659407615661621, -1.92506742477417, -1.4057174921035767, 4.02488899230957, -2.517587423324585, 0.07835564762353897, 
19, 1436282401, 0.52731144, -0.56227535, -0.5060799, -0.38687488, 9.685054779052734, -1.9500541687011719, -1.3899083137512207, 3.3963398933410645, -2.3832743167877197, 0.06785444170236588, 
20, 1436299068, 0.527507, -0.5619999, -0.5066088, -0.38631624, 9.63680362701416, -2.0112862586975098, -1.429092288017273, 4.159956455230713, -2.538256883621216, 0.025388585403561592, 
21, 1436315735, 0.5278072, -0.5616483, -0.50719756, -0.38564435, 9.639267921447754, -2.001021385192871, -1.4440064430236816, 6.15248441696167, -2.785112142562866, 0.037439364939928055, 
22, 1436332402, 0.5281708, -0.5612891, -0.5078003, -0.38487527, 9.640707969665527, -1.9208842515945435, -1.388887643814087, 7.858521938323975, -3.1778066158294678, 0.28082409501075745, 
23, 1436349069, 0.5287337, -0.5607427, -0.50858796, -0.3838577, 9.669269561767578, -1.9349515438079834, -1.39608895778656, 8.941311836242676, -3.3105316162109375, 0.6568186283111572, 
24, 1436365736, 0.52952963, -0.5599816, -0.5095295, -0.3826211, 9.597640991210938, -2.0813939571380615, -1.4526827335357666, 11.965343475341797, -3.4071953296661377, 0.7359876036643982, 
25, 1436382403, 0.5306378, -0.55889326, -0.51074773, -0.38104945, 9.586243629455566, -2.145328998565674, -1.5266515016555786, 15.59125804901123, -3.5874202251434326, 0.561225950717926, 
26, 1436399070, 0.53178245, -0.5577731, -0.51198316, -0.3794337, 9.729835510253906, -1.7668300867080688, -1.627352237701416, 15.245390892028809, -3.360055923461914, 0.6308861970901489, 
27, 1436415737, 0.53250873, -0.5571392, -0.51281315, -0.3782237, 9.784165382385254, -1.7679286003112793, -1.5992742776870728, 11.691274642944336, -3.4205520153045654, 1.1740162372589111, 
28, 1436432404, 0.53313255, -0.5565933, -0.5136311, -0.37703675, 9.662006378173828, -1.9801520109176636, -1.4922069311141968, 9.602274894714355, -3.5313267707824707, 1.5428520441055298, 
29, 1436449071, 0.533771, -0.5560679, -0.5144565, -0.3757814, 9.748157501220703, -1.944566249847412, -1.416803240776062, 8.63647747039795, -3.564136266708374, 2.0528712272644043, 
30, 1436465738, 0.5342916, -0.5556918, -0.51513314, -0.3746692, 9.765761375427246, -1.8041584491729736, -1.552703619003296, 7.212563514709473, -3.424508571624756, 2.2774946689605713, 
31, 1436482405, 0.53473157, -0.5553599, -0.51582795, -0.3735762, 9.712177276611328, -1.7614926099777222, -1.7292157411575317, 4.83937931060791, -3.38375186920166, 2.4826393127441406, 
32, 1436499072, 0.53501624, -0.5552189, -0.5162957, -0.37273106, 9.632454872131348, -2.094125747680664, -1.7055473327636719, 5.292813777923584, -3.218524217605591, 2.33321475982666, 
33, 1436515739, 0.5354403, -0.5548541, -0.516901, -0.37182534, 9.590645790100098, -2.140366554260254, -1.645350456237793, 6.603107929229736, -2.671347141265869, 1.6138050556182861, 
34, 1436532406, 0.5356677, -0.5547239, -0.51726896, -0.37117973, 9.708718299865723, -1.9832086563110352, -1.5387028455734253, 4.944019794464111, -2.3884804248809814, 1.5745792388916016, 
35, 1436549073, 0.53573084, -0.5547024, -0.51757646, -0.37069154, 9.681876182556152, -1.9455734491348267, -1.5693087577819824, 0.9301891922950745, -1.9518094062805176, 1.5513228178024292, 
36, 1436565740, 0.5358882, -0.55447984, -0.51810527, -0.37005764, 9.642793655395508, -2.011091947555542, -1.6565728187561035, -1.4975810050964355, -1.474798560142517, 1.5083575248718262, 
37, 1436582407, 0.53577054, -0.5546667, -0.5181869, -0.36983377, 9.658099174499512, -2.0552632808685303, -1.7022578716278076, -0.8936271667480469, -1.5139411687850952, 1.545604944229126, 
38, 1436599074, 0.53579783, -0.5546996, -0.51834095, -0.369529, 9.659274101257324, -2.018383264541626, -1.7227190732955933, 0.814573347568512, -1.1726324558258057, 1.3443719148635864, 
39, 1436615741, 0.53583634, -0.5547148, -0.5184943, -0.36923543, 9.64688491821289, -1.9984190464019775, -1.743743658065796, 1.4735369682312012, -1.136627435684204, 1.1673500537872314, 
40, 1436632408, 0.53610164, -0.5544271, -0.5189206, -0.368683, 9.685555458068848, -2.106581449508667, -1.7184995412826538, 2.065593957901001, -0.8556050062179565, 1.0517150163650513, 
41, 1436649075, 0.53632563, -0.5542076, -0.5192212, -0.36826393, 9.61430835723877, -2.1584255695343018, -1.5826799869537354, 2.923196792602539, -0.6367189884185791, 0.817256510257721, 
42, 1436665742, 0.53649485, -0.55402595, -0.5194827, -0.36792135, 9.615241050720215, -2.058314561843872, -1.4944164752960205, 2.115480899810791, -0.49328139424324036, 0.645055890083313, 
43, 1436682409, 0.53651196, -0.5540087, -0.51961976, -0.36772937, 9.63697624206543, -1.9814155101776123, -1.544804573059082, 0.311034232378006, -0.5165313482284546, 0.7134224772453308, 
44, 1436699076, 0.5364539, -0.5540464, -0.5197523, -0.36756954, 9.673489570617676, -2.0128602981567383, -1.5501350164413452, -1.1014357805252075, -0.6353998780250549, 0.7529429197311401, 
45, 1436715743, 0.5363547, -0.55414146, -0.5198205, -0.3674745, 9.663113594055176, -2.0504555702209473, -1.6232293844223022, -1.1252938508987427, -0.6306358575820923, 0.7448877692222595, 
46, 1436732410, 0.5362942, -0.55420357, -0.5198947, -0.36736405, 9.632862091064453, -1.9985394477844238, -1.6253594160079956, -0.6009764075279236, -0.5368421673774719, 0.7205812335014343, 
47, 1436749077, 0.5362575, -0.5542529, -0.5199902, -0.36720824, 9.655487060546875, -1.9804593324661255, -1.5861473083496094, -0.30899161100387573, -0.6617808938026428, 0.8332515358924866, 
48, 1436765744, 0.53621876, -0.5542981, -0.520117, -0.36701703, 9.682185173034668, -1.9809972047805786, -1.5246750116348267, -0.5026748180389404, -0.8331553936004639, 0.8967709541320801, 
49, 1436782411, 0.5361868, -0.5543372, -0.5202816, -0.3667712, 9.61388874053955, -2.0020854473114014, -1.4965928792953491, -0.43150994181632996, -1.1105024814605713, 1.001245379447937, 
50, 1436799078, 0.53617907, -0.5543593, -0.5204828, -0.36646348, 9.632343292236328, -2.017482042312622, -1.550836205482483, 0.013504295609891415, -1.3766696453094482, 1.0926953554153442, 
51, 1436815745, 0.5362018, -0.5543543, -0.520692, -0.3661407, 9.641721725463867, -2.0175414085388184, -1.6001255512237549, 0.18099215626716614, -1.2760248184204102, 1.1163679361343384, 
