sep=,
DeviceTag:,R Upper Leg - 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-28 16:22:18.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1435864947, 0.20782308, 0.71347964, -0.28055057, 0.60749274, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1435881614, 0.20781259, 0.71357256, -0.27999747, 0.60764277, 9.664151191711426, -0.3164876401424408, -1.5791406631469727, 1.8211590051651, -0.10630550235509872, -0.03567849099636078, 
2, 1435898281, 0.20839033, 0.71331376, -0.2783688, 0.60849625, 9.668539047241211, -0.18823155760765076, -1.6072723865509033, 2.6826553344726562, -0.7020056843757629, -0.08600745350122452, 
3, 1435914948, 0.20973656, 0.7132684, -0.27646253, 0.6089558, 9.752476692199707, -0.060903601348400116, -1.6562443971633911, 2.617060661315918, -0.3987129032611847, -0.1866525560617447, 
4, 1435931615, 0.21148272, 0.71347564, -0.27471414, 0.6089004, 9.799972534179688, 6.070464150980115E-4, -1.615505576133728, 2.666980028152466, 0.038143713027238846, -0.17182280123233795, 
5, 1435948282, 0.21300296, 0.7137641, -0.27286077, 0.6088659, 9.735095024108887, -0.058315765112638474, -1.6038678884506226, 1.7030717134475708, 0.46494096517562866, -0.33676859736442566, 
6, 1435964949, 0.21470195, 0.7137577, -0.2719765, 0.60867214, 9.690579414367676, -0.11618804186582565, -1.6469365358352661, 1.2506746053695679, 0.5360289216041565, -0.5983510613441467, 
7, 1435981616, 0.21562052, 0.71388775, -0.2710895, 0.6085907, 9.66065502166748, -0.18436478078365326, -1.675808310508728, 2.3005905151367188, 0.46920543909072876, -0.5136114954948425, 
8, 1435998283, 0.21597655, 0.71410066, -0.27038935, 0.6085263, 9.668115615844727, -0.17381280660629272, -1.711692214012146, 4.408797264099121, -0.06750226765871048, -0.4074724018573761, 
9, 1436014950, 0.21573435, 0.71453494, -0.2694729, 0.608509, 9.66331958770752, -0.11999861896038055, -1.7099595069885254, 6.1090192794799805, -0.6810032725334167, -0.6468999981880188, 
10, 1436031617, 0.21547236, 0.71495676, -0.26869476, 0.6084504, 9.720549583435059, -0.023775754496455193, -1.6911934614181519, 6.906613826751709, -0.7050538063049316, -0.9359779953956604, 
11, 1436048284, 0.21534687, 0.71530306, -0.2679934, 0.6083969, 9.704750061035156, -0.012014712207019329, -1.6650774478912354, 6.9965009689331055, -0.21760553121566772, -1.2466856241226196, 
12, 1436064951, 0.2152325, 0.7156296, -0.26730412, 0.6083566, 9.716628074645996, -0.05265467241406441, -1.6340856552124023, 7.553877830505371, -0.1891242116689682, -1.4000544548034668, 
13, 1436081618, 0.21493381, 0.71599156, -0.2664257, 0.60842156, 9.749573707580566, -0.05653122812509537, -1.6928538084030151, 7.676711082458496, -0.05168643966317177, -1.471321940422058, 
14, 1436098285, 0.21467142, 0.71627265, -0.26565596, 0.60852003, 9.703868865966797, -0.046834878623485565, -1.7180747985839844, 7.875387668609619, 0.3626566529273987, -1.32249915599823, 
