sep=,
DeviceTag:,Trunk - 8,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-28 16:22:18.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1391277162, 0.23804167, -0.55348223, -0.1916208, -0.77477443, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1391293829, 0.23856422, -0.55405354, -0.19224213, -0.7740508, 9.606841087341309, 0.2868312895298004, 3.0047261714935303, 3.2020163536071777, -0.09736667573451996, -0.4624885022640228, 
2, 1391310496, 0.23896253, -0.5553097, -0.19262931, -0.77293086, 9.684617042541504, 0.24587641656398773, 3.003821849822998, 2.693284273147583, 0.20392189919948578, 0.23295390605926514, 
3, 1391327163, 0.23863144, -0.55696553, -0.19193123, -0.7720149, 9.66250991821289, 0.19655704498291016, 2.925603151321411, 2.1872668266296387, 0.09743711352348328, 1.6586722135543823, 
4, 1391343830, 0.23882265, -0.558542, -0.19122483, -0.77099144, 9.617616653442383, 0.12383601069450378, 2.888648509979248, 2.219730854034424, 0.10606858879327774, 3.0462398529052734, 
5, 1391360497, 0.23893556, -0.560004, -0.19006227, -0.77018297, 9.572656631469727, 0.12848088145256042, 2.867339611053467, 2.325242757797241, 0.46747660636901855, 4.150788307189941, 
6, 1391377164, 0.23927347, -0.56115174, -0.18905424, -0.76949066, 9.546683311462402, 0.11907622218132019, 2.859750986099243, 2.965022563934326, 0.715522825717926, 4.79154109954834, 
7, 1391393831, 0.239855, -0.561992, -0.18825783, -0.7688912, 9.563594818115234, 0.13107062876224518, 2.807945966720581, 4.333829879760742, 1.0933486223220825, 5.489859104156494, 
8, 1391410498, 0.24055392, -0.5627051, -0.18752195, -0.76833093, 9.590779304504395, 0.05589574575424194, 2.944467782974243, 5.100841045379639, 1.3279483318328857, 6.755998611450195, 
9, 1391427165, 0.24146795, -0.5631434, -0.18687594, -0.7678803, 9.578590393066406, 0.031744491308927536, 2.8196706771850586, 6.645684719085693, 1.7380849123001099, 7.294365406036377, 
10, 1391443832, 0.24257837, -0.56347626, -0.18634616, -0.76741475, 9.59434986114502, 0.013881554827094078, 2.923771858215332, 7.736848831176758, 1.9965426921844482, 7.923643589019775, 
11, 1391460499, 0.24395636, -0.56366014, -0.18597166, -0.76693374, 9.629644393920898, 0.034123495221138, 2.9892783164978027, 8.877602577209473, 2.0156755447387695, 8.558852195739746, 
12, 1391477166, 0.24540399, -0.5636834, -0.18563163, -0.76653695, 9.592028617858887, 0.08228842169046402, 3.0418295860290527, 9.799494743347168, 2.474220037460327, 8.98965835571289, 
13, 1391493833, 0.24683417, -0.56355536, -0.18524636, -0.7662651, 9.582258224487305, 0.06063668057322502, 3.0751001834869385, 10.052037239074707, 3.0984151363372803, 9.406993865966797, 
14, 1391510500, 0.24842069, -0.56326514, -0.18490219, -0.7660487, 9.564922332763672, 0.04995051771402359, 3.0668389797210693, 10.316598892211914, 3.7258822917938232, 9.953104019165039, 
15, 1391527167, 0.25015464, -0.5628563, -0.18467289, -0.76584023, 9.524635314941406, 0.06637608259916306, 3.118481159210205, 11.186067581176758, 4.024686813354492, 10.298433303833008, 
16, 1391543834, 0.25196433, -0.5623459, -0.18447877, -0.76566875, 9.493148803710938, 0.06772666424512863, 3.1291441917419434, 11.434653282165527, 4.385724067687988, 10.590315818786621, 
17, 1391560501, 0.25381538, -0.5617242, -0.1843268, -0.76555043, 9.49002742767334, 0.06972537189722061, 3.105337142944336, 11.783529281616211, 4.903299331665039, 10.654276847839355, 
18, 1391577168, 0.2556224, -0.5610757, -0.18420443, -0.76545435, 9.510300636291504, 0.04277149587869644, 3.1109559535980225, 12.121591567993164, 4.910970687866211, 10.595585823059082, 
19, 1391593835, 0.25752008, -0.5603812, -0.18419977, -0.76532805, 9.491960525512695, 0.06719844043254852, 3.1206889152526855, 12.615012168884277, 4.902673721313477, 10.600595474243164, 
20, 1391610502, 0.25939205, -0.55959964, -0.1841935, -0.7652692, 9.382768630981445, 0.06665755063295364, 3.1971147060394287, 12.718573570251465, 5.563390731811523, 10.48204517364502, 
21, 1391627169, 0.26113963, -0.55871564, -0.18416312, -0.7653282, 9.325231552124023, 0.06955006718635559, 3.1400046348571777, 12.254087448120117, 6.312973499298096, 9.78342056274414, 
22, 1391643836, 0.26287153, -0.5578002, -0.18429036, -0.7653722, 9.301368713378906, -0.00833520945161581, 3.0441343784332275, 13.118709564208984, 6.091192722320557, 9.239521026611328, 
23, 1391660503, 0.2646461, -0.5569705, -0.18456298, -0.76529944, 9.30465030670166, -0.19014009833335876, 3.167102336883545, 13.690834045410156, 5.082691192626953, 9.154461860656738, 
24, 1391677170, 0.26651347, -0.55610764, -0.18513994, -0.7651394, 9.128507614135742, -0.1546698361635208, 2.922841787338257, 15.618337631225586, 4.476042747497559, 8.386927604675293, 
25, 1391693837, 0.26833043, -0.5555937, -0.18612649, -0.7646382, 9.288969993591309, -0.06349977105855942, 3.1361594200134277, 17.633148193359375, 0.6815419793128967, 7.635756969451904, 
26, 1391710504, 0.2701089, -0.5548756, -0.18693478, -0.7643361, 9.355267524719238, 0.05344567447900772, 3.3073394298553467, 16.57252311706543, 2.8136861324310303, 7.474882125854492, 
27, 1391727171, 0.27176768, -0.5540314, -0.18765391, -0.76418436, 9.276209831237793, 0.16554906964302063, 3.2721526622772217, 15.641155242919922, 3.97937273979187, 6.845821380615234, 
28, 1391743838, 0.27323648, -0.55343133, -0.18846469, -0.7638958, 9.315526962280273, 0.10117349773645401, 3.1158127784729004, 15.03885555267334, 1.7114548683166504, 6.216348648071289, 
29, 1391760505, 0.27475628, -0.5530125, -0.18937084, -0.76342976, 9.312612533569336, 0.016705360263586044, 3.1631293296813965, 15.467333793640137, 0.04511681944131851, 6.734238624572754, 
30, 1391777172, 0.27644122, -0.5525706, -0.19044015, -0.7628755, 9.315534591674805, -0.01645132154226303, 3.1976709365844727, 16.91002082824707, -0.22153085470199585, 7.075284481048584, 
31, 1391793839, 0.2780631, -0.55205196, -0.19152723, -0.76238894, 9.34594440460205, -0.02725920081138611, 3.24067759513855, 17.027442932128906, 0.3360517919063568, 6.517568111419678, 
32, 1391810506, 0.27957094, -0.5514963, -0.19265243, -0.761956, 9.342547416687012, 0.03331541270017624, 3.261608123779297, 16.574573516845703, 0.5165702700614929, 5.54383659362793, 
33, 1391827173, 0.2809355, -0.5509254, -0.1937545, -0.76158774, 9.42880630493164, 0.12521876394748688, 3.3676998615264893, 15.84109878540039, 0.6925551891326904, 4.7560648918151855, 
34, 1391843840, 0.282151, -0.55038303, -0.19467805, -0.7612951, 9.433144569396973, 0.21455641090869904, 3.405132293701172, 14.027457237243652, 0.9440336227416992, 4.552929878234863, 
35, 1391860507, 0.28317466, -0.5499673, -0.19532298, -0.7610501, 9.421204566955566, 0.256171315908432, 3.3924715518951416, 11.500632286071777, 0.7055021524429321, 4.758059978485107, 
36, 1391877174, 0.28408828, -0.5496061, -0.1957601, -0.76085824, 9.39767837524414, 0.19342881441116333, 3.4131646156311035, 9.863749504089355, 0.848421037197113, 5.044192790985107, 
37, 1391893841, 0.28495717, -0.54931146, -0.19606563, -0.7606673, 9.31005859375, 0.12047962844371796, 3.4339210987091064, 8.657247543334961, 0.6716932654380798, 5.374044895172119, 
38, 1391910508, 0.28572068, -0.5490707, -0.19630904, -0.7604919, 9.25075912475586, 0.10091579705476761, 3.438300609588623, 7.798556327819824, 0.3850742280483246, 5.1123857498168945, 
39, 1391927175, 0.28643993, -0.5488388, -0.19660094, -0.76031345, 9.291645050048828, 0.07959572970867157, 3.4406228065490723, 7.754707336425781, 0.13162371516227722, 4.681401252746582, 
40, 1391943842, 0.28707558, -0.548501, -0.19695634, -0.7602255, 9.275494575500488, 0.04507805034518242, 3.367701768875122, 7.963859558105469, 0.7565351724624634, 3.7189769744873047, 
41, 1391960509, 0.28768182, -0.5481168, -0.19748215, -0.7601368, 9.30648136138916, -0.008684920147061348, 3.342719554901123, 8.770763397216797, 0.617279052734375, 2.8233656883239746, 
42, 1391977176, 0.28813636, -0.5478362, -0.19808833, -0.7600091, 9.359923362731934, -0.11950081586837769, 3.3495280742645264, 8.409073829650879, -0.42387109994888306, 1.8945335149765015, 
43, 1391993843, 0.2886473, -0.547536, -0.19887158, -0.75982714, 9.375140190124512, -0.15179891884326935, 3.3764212131500244, 9.666683197021484, -0.7850870490074158, 1.5437417030334473, 
44, 1392010510, 0.28918177, -0.5472482, -0.19972241, -0.75960815, 9.419900894165039, -0.10812036693096161, 3.4494552612304688, 10.111859321594238, -1.0825916528701782, 1.4273964166641235, 
