sep=,
DeviceTag:,forearm - 7,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-06 18:16:22.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1392965760, 0.040396463, -0.6333293, 0.22696862, -0.7387439, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1392982427, 0.038989354, -0.63305855, 0.23012206, -0.73807895, 9.061952590942383, -3.936662197113037, 0.9755279421806335, -18.720718383789062, 1.679343581199646, 2.65915846824646, 
2, 1392999094, 0.038026635, -0.6323112, 0.23339991, -0.7377406, 9.264607429504395, -3.6404836177825928, 1.159852385520935, -22.646560668945312, 2.450300931930542, 3.3323652744293213, 
3, 1393015761, 0.03430654, -0.6310332, 0.2356535, -0.73830056, 9.439375877380371, -3.5079634189605713, 1.2711907625198364, -31.028060913085938, 3.7183430194854736, 4.175415515899658, 
4, 1393032428, 0.029612474, -0.6297502, 0.23684014, -0.7392189, 9.246103286743164, -3.7196872234344482, 1.2573778629302979, -34.46822738647461, 4.575349807739258, 3.6393938064575195, 
5, 1393049095, 0.025674094, -0.62835354, 0.2385531, -0.7400034, 9.202484130859375, -3.7507987022399902, 1.1949623823165894, -35.057918548583984, 5.475910186767578, 2.7362616062164307, 
6, 1393065762, 0.021457113, -0.62685984, 0.2413002, -0.7405138, 9.073423385620117, -3.7666335105895996, 1.0504398345947266, -37.03538131713867, 6.96051025390625, 1.385839581489563, 
7, 1393082429, 0.01726226, -0.62541115, 0.24446367, -0.7408107, 8.879937171936035, -3.868473768234253, 0.9547137022018433, -36.58610534667969, 9.048864364624023, -0.1879597306251526, 
8, 1393099096, 0.013550295, -0.62399507, 0.24760753, -0.7410378, 8.82030200958252, -3.8855180740356445, 0.9493798017501831, -34.79610061645508, 11.232315063476562, -1.5869190692901611, 
9, 1393115763, 0.009926359, -0.6225502, 0.2507283, -0.74126107, 8.760764122009277, -4.000578880310059, 0.7939684987068176, -33.275455474853516, 12.65665340423584, -3.197157621383667, 
10, 1393132430, 0.0067277616, -0.62123454, 0.25358805, -0.7414281, 8.781844139099121, -4.112982749938965, 0.6799720525741577, -29.463346481323242, 12.84793472290039, -4.166817665100098, 
11, 1393149097, 0.003973081, -0.6200727, 0.25627834, -0.74149543, 8.91645336151123, -4.006455898284912, 0.6060219407081604, -26.430734634399414, 12.574344635009766, -4.278922080993652, 
12, 1393165764, 0.001167339, -0.61905575, 0.25907263, -0.74138397, 8.928458213806152, -4.06804084777832, 0.5226761698722839, -23.878345489501953, 11.103767395019531, -4.013955593109131, 
13, 1393182431, -7.0400024E-4, -0.61844957, 0.2612049, -0.7411422, 8.979540824890137, -4.214097499847412, 0.48455381393432617, -18.80759048461914, 8.792143821716309, -3.1386237144470215, 
14, 1393199098, -0.0021113409, -0.6180085, 0.26321006, -0.7407981, 9.158415794372559, -4.019327640533447, 0.5788114070892334, -14.672067642211914, 6.751506328582764, -1.7556753158569336, 
