sep=,
DeviceTag:,L Forearm - 10,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-22 14:39:53.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 66703231, 0.74869686, 0.023082115, -0.64773643, -0.1391317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 66719898, 0.7490097, 0.02304844, -0.6473621, -0.13919644, 9.476667404174805, 2.074002742767334, 1.5934771299362183, 2.579346179962158, 2.8402371406555176, 2.0628278255462646, 
2, 66736565, 0.74944663, 0.023175178, -0.64701474, -0.13843629, 9.489184379577637, 2.1100168228149414, 1.6769357919692993, 4.1427202224731445, 2.673396587371826, 1.53600013256073, 
3, 66753232, 0.7501205, 0.023324672, -0.6463021, -0.13808963, 9.54649543762207, 2.1375410556793213, 1.6671512126922607, 4.662146091461182, 2.7107396125793457, 1.1498758792877197, 
4, 66769899, 0.75065804, 0.023458317, -0.64569914, -0.13796745, 9.519042015075684, 2.1120080947875977, 1.7405153512954712, 3.4513051509857178, 2.49861478805542, 1.1398354768753052, 
5, 66786566, 0.75128347, 0.023596264, -0.6449951, -0.13783243, 9.536815643310547, 2.0378589630126953, 1.6737778186798096, 2.5748000144958496, 2.5356509685516357, 0.9550398588180542, 
6, 66803233, 0.7518194, 0.02347266, -0.64441335, -0.13765287, 9.637612342834473, 1.9733706712722778, 1.6499828100204468, 2.6139235496520996, 3.169731616973877, 1.1590323448181152, 
7, 66819900, 0.7522268, 0.02318627, -0.64397055, -0.13754643, 9.547886848449707, 1.9700759649276733, 1.6140779256820679, 3.188007354736328, 3.606646776199341, 0.25614625215530396, 
8, 66836567, 0.75257045, 0.02319394, -0.6436495, -0.1371679, 9.51048755645752, 2.004971504211426, 1.632685899734497, 3.3588685989379883, 3.49991774559021, -0.35837286710739136, 
9, 66853234, 0.75285333, 0.023074862, -0.6433566, -0.13701034, 9.495779037475586, 1.9974067211151123, 1.6404398679733276, 1.4285290241241455, 3.267277479171753, -0.636603593826294, 
10, 66869901, 0.7531244, 0.022904605, -0.64305216, -0.13697812, 9.503536224365234, 1.9477381706237793, 1.6580439805984497, -0.46606147289276123, 3.156323194503784, -0.9422785043716431, 
11, 66886568, 0.75332123, 0.022661636, -0.6428244, -0.13700551, 9.50464916229248, 1.8745774030685425, 1.6156612634658813, -1.1965484619140625, 2.34419584274292, -1.0145446062088013, 
12, 66903235, 0.7534409, 0.022314193, -0.6426778, -0.13709268, 9.534394264221191, 1.8013867139816284, 1.5847508907318115, -0.555962085723877, 1.9814178943634033, -0.8981093764305115, 
13, 66919902, 0.75354195, 0.02187481, -0.64257425, -0.13709262, 9.54326343536377, 1.8247904777526855, 1.5983688831329346, 0.016731495037674904, 1.9872316122055054, -0.2785380780696869, 
14, 66936569, 0.7536536, 0.02142169, -0.6424991, -0.13690281, 9.529023170471191, 1.8345056772232056, 1.586321234703064, -0.4258495271205902, 1.7467284202575684, 0.4878130853176117, 
15, 66953236, 0.75373685, 0.02083311, -0.64244676, -0.13678126, 9.56624698638916, 1.8997513055801392, 1.5964266061782837, -0.851391613483429, 1.5694115161895752, 0.8686481714248657, 
