sep=,
DeviceTag:,L Lower Leg - 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-22 14:39:53.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 42042224, 0.24501234, -0.6614611, -0.38711643, -0.5937837, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 42058891, 0.24519512, -0.6616491, -0.38706905, -0.59352976, 9.704483985900879, 1.3731895685195923, -1.7585381269454956, 1.3596694469451904, -0.11297762393951416, 1.1368389129638672, 
2, 42075558, 0.24513282, -0.6617356, -0.38721994, -0.59336054, 9.703964233398438, 1.367493987083435, -1.7666869163513184, 1.40231454372406, -0.07615936547517776, 1.0900828838348389, 
3, 42092225, 0.24519047, -0.66174984, -0.38748953, -0.59314483, 9.709000587463379, 1.3938138484954834, -1.7847936153411865, 1.3630247116088867, 0.005077717825770378, 1.180175542831421, 
4, 42108892, 0.24514882, -0.66177666, -0.38776696, -0.5929505, 9.715059280395508, 1.3725112676620483, -1.7797976732254028, 1.4081412553787231, 0.06576699763536453, 1.2522239685058594, 
5, 42125559, 0.24518491, -0.66181725, -0.38796496, -0.59276086, 9.690711975097656, 1.3435084819793701, -1.7361842393875122, 1.3064332008361816, -0.024229610338807106, 1.2834842205047607, 
6, 42142226, 0.24518071, -0.6619292, -0.38786185, -0.5927052, 9.710541725158691, 1.3718770742416382, -1.7241116762161255, 1.0490130186080933, -0.07714545726776123, 1.330291748046875, 
7, 42158893, 0.24524549, -0.66197634, -0.38774428, -0.59270275, 9.70926284790039, 1.3737419843673706, -1.7356923818588257, 0.7433125972747803, -0.06911586225032806, 1.4827383756637573, 
8, 42175560, 0.24523634, -0.66207767, -0.38753963, -0.5927271, 9.734382629394531, 1.332353115081787, -1.750020980834961, 0.41760867834091187, -0.27169954776763916, 1.577351689338684, 
9, 42192227, 0.24536408, -0.6621377, -0.3874326, -0.59267724, 9.721131324768066, 1.3361263275146484, -1.7172455787658691, 0.27315306663513184, -0.3927195072174072, 1.5882371664047241, 
10, 42208894, 0.24538997, -0.6622748, -0.38715982, -0.59269154, 9.70330810546875, 1.3453181982040405, -1.7239292860031128, 0.25275254249572754, -0.35572201013565063, 1.626694679260254, 
11, 42225561, 0.24538124, -0.6624374, -0.38685298, -0.59271383, 9.703866958618164, 1.371881365776062, -1.7462223768234253, -0.18599945306777954, -0.47343799471855164, 1.6999598741531372, 
12, 42242228, 0.2454267, -0.66255903, -0.38662177, -0.59270984, 9.707877159118652, 1.3442065715789795, -1.7390753030776978, -0.0054170857183635235, -0.37384292483329773, 1.7234848737716675, 
