sep=,
DeviceTag:,R Foot - 1,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-22 14:39:53.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 39739659, 0.64865965, -0.19945195, -0.1405004, -0.72091544, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 39756326, 0.6489219, -0.19927584, -0.1411987, -0.7205918, 4.707712650299072, -0.5590291619300842, 8.814526557922363, 5.49304723739624, -2.2144100666046143, 2.2056057453155518, 
2, 39772993, 0.6491152, -0.19912928, -0.1418447, -0.72033113, 4.717528343200684, -0.5666671395301819, 8.825300216674805, 5.213714599609375, -2.172879219055176, 2.314805269241333, 
3, 39789660, 0.64946944, -0.19903487, -0.1424159, -0.71992517, 4.710934162139893, -0.5621029734611511, 8.829586029052734, 5.023502826690674, -2.245542526245117, 2.3267667293548584, 
4, 39806327, 0.6500243, -0.19890049, -0.1429524, -0.7193551, 4.700080394744873, -0.546942949295044, 8.846456527709961, 4.766914367675781, -2.3310632705688477, 2.3595123291015625, 
5, 39822994, 0.6507031, -0.19867499, -0.14347538, -0.7186994, 4.694543361663818, -0.5686367154121399, 8.826019287109375, 4.565418243408203, -2.3891654014587402, 2.473296880722046, 
6, 39839661, 0.6512607, -0.19850306, -0.14391936, -0.7181528, 4.698395729064941, -0.5922309160232544, 8.838505744934082, 4.5048322677612305, -2.404379367828369, 2.512881278991699, 
7, 39856328, 0.65185374, -0.19835922, -0.14432769, -0.7175724, 4.714958667755127, -0.6007930636405945, 8.820570945739746, 4.5023603439331055, -2.3996026515960693, 2.4882802963256836, 
8, 39872995, 0.65245986, -0.19824441, -0.14474878, -0.7169682, 4.701070308685303, -0.6291744709014893, 8.811427116394043, 4.594258785247803, -2.351719856262207, 2.4614639282226562, 
9, 39889662, 0.6530913, -0.19811499, -0.14517821, -0.71634185, 4.71592903137207, -0.615321934223175, 8.840133666992188, 4.869608402252197, -2.2349257469177246, 2.3154327869415283, 
10, 39906329, 0.6536516, -0.19798996, -0.14559726, -0.71578014, 4.712817668914795, -0.5953253507614136, 8.810394287109375, 4.924682140350342, -2.17797589302063, 2.289391279220581, 
11, 39922996, 0.6541805, -0.19788717, -0.14601499, -0.71523994, 4.688891410827637, -0.5846442580223083, 8.824920654296875, 4.805685520172119, -2.2102608680725098, 2.4803466796875, 
12, 39939663, 0.65474546, -0.19777328, -0.14646155, -0.7146631, 4.706119060516357, -0.6003450155258179, 8.83212947845459, 4.772703170776367, -2.3421664237976074, 2.5596117973327637, 
13, 39956330, 0.65533257, -0.19764958, -0.14690599, -0.7140677, 4.714795112609863, -0.6177968382835388, 8.814764022827148, 4.698758125305176, -2.269989490509033, 2.613347053527832, 
14, 39972997, 0.65594727, -0.19748123, -0.1473795, -0.71345204, 4.7172088623046875, -0.6214231848716736, 8.826665878295898, 4.968115329742432, -2.1099743843078613, 2.5348827838897705, 
15, 39989664, 0.65649354, -0.1973158, -0.14784953, -0.7128978, 4.705822944641113, -0.6070380806922913, 8.831147193908691, 5.016740798950195, -2.0905086994171143, 2.400813102722168, 
16, 40006331, 0.6570031, -0.19716187, -0.14831564, -0.7123741, 4.709944248199463, -0.58320552110672, 8.81411075592041, 4.969818115234375, -2.1482911109924316, 2.4132864475250244, 
17, 40022998, 0.6575851, -0.19700202, -0.14879532, -0.71178097, 4.680883407592773, -0.601779580116272, 8.819560050964355, 4.800543308258057, -2.143296241760254, 2.466714382171631, 
