sep=,
DeviceTag:,R Upper Leg - 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-22 14:39:53.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 50438286, 0.11464383, 0.72853637, -0.091579795, 0.669106, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 50454953, 0.114148, 0.72849244, -0.090899676, 0.66933286, 9.832841873168945, 0.4144955277442932, -0.7513116002082825, 3.7570443153381348, 0.7180073261260986, -0.3361923396587372, 
2, 50471620, 0.113346, 0.72836393, -0.090337925, 0.669685, 9.852202415466309, 0.4179545044898987, -0.7680696249008179, 2.906202554702759, 0.6495188474655151, -0.06669547408819199, 
3, 50488287, 0.11281607, 0.7283004, -0.09012713, 0.6698718, 9.851434707641602, 0.4574521780014038, -0.7916035056114197, 2.270162582397461, 0.494062602519989, 0.10387871414422989, 
4, 50504954, 0.11239162, 0.7283507, -0.08970159, 0.6699457, 9.845163345336914, 0.4795099198818207, -0.7773309350013733, 1.8766486644744873, 0.8311256170272827, 0.20524094998836517, 
5, 50521621, 0.112226225, 0.72841245, -0.08931687, 0.66995764, 9.840763092041016, 0.46680280566215515, -0.7505394816398621, 0.8841503262519836, 0.580934464931488, 0.18160682916641235, 
6, 50538288, 0.112194285, 0.72840285, -0.08901325, 0.6700137, 9.862051963806152, 0.4425176680088043, -0.7682330012321472, -0.6255005598068237, 0.5919030904769897, 0.081339530646801, 
7, 50554955, 0.112247325, 0.7283549, -0.08888919, 0.67007357, 9.857600212097168, 0.39205262064933777, -0.7851132750511169, -0.9927098155021667, 0.7516751885414124, 0.07893194258213043, 
8, 50571622, 0.11214024, 0.72832143, -0.08876844, 0.6701437, 9.853193283081055, 0.33347034454345703, -0.771555483341217, -0.9993051290512085, 0.7780305743217468, 0.12147463858127594, 
9, 50588289, 0.11210392, 0.7282667, -0.08891167, 0.6701904, 9.843376159667969, 0.2974435091018677, -0.7759090065956116, -0.6821302175521851, 0.6551920175552368, 0.1483551561832428, 
10, 50604956, 0.11193098, 0.7282255, -0.08905615, 0.6702448, 9.835264205932617, 0.2880098521709442, -0.8166269063949585, -0.284672349691391, 0.5504745244979858, 0.21134959161281586, 
11, 50621623, 0.11167358, 0.7282036, -0.08923023, 0.6702883, 9.829914093017578, 0.271916925907135, -0.8140484690666199, -0.04315739870071411, 0.537091851234436, 0.4296722114086151, 
12, 50638290, 0.11123447, 0.72822034, -0.089280814, 0.67033654, 9.83191204071045, 0.2532956004142761, -0.8142452239990234, -0.006441593635827303, 0.39892420172691345, 0.5685955286026001, 
13, 50654957, 0.11087737, 0.7282339, -0.08947933, 0.6703545, 9.850319862365723, 0.24258844554424286, -0.7983632683753967, 0.18185655772686005, 0.29762592911720276, 0.7100800275802612, 
14, 50671624, 0.110528976, 0.7282214, -0.08974326, 0.6703903, 9.864328384399414, 0.2863386869430542, -0.8061321377754211, 0.16105905175209045, 0.4343593418598175, 0.9686914682388306, 
15, 50688291, 0.110204786, 0.7282015, -0.09003492, 0.67042625, 9.854448318481445, 0.3001951277256012, -0.8097569346427917, -0.07279129326343536, 0.44146692752838135, 1.151924729347229, 
16, 50704958, 0.10986335, 0.7281901, -0.090252765, 0.67046535, 9.830835342407227, 0.31981444358825684, -0.7902922034263611, 0.11747904121875763, 0.43868789076805115, 1.0645214319229126, 
17, 50721625, 0.10955238, 0.7281745, -0.09046306, 0.67050475, 9.812644004821777, 0.2857474386692047, -0.783501923084259, 0.30762770771980286, 0.4385598301887512, 1.070553183555603, 
18, 50738292, 0.10925941, 0.72817224, -0.09067107, 0.67052686, 9.838628768920898, 0.26922354102134705, -0.8409299254417419, 0.14105552434921265, 0.24613162875175476, 1.081451416015625, 
19, 50754959, 0.10891452, 0.72818613, -0.09083778, 0.6705455, 9.856146812438965, 0.2873785197734833, -0.8258074522018433, 0.2760216295719147, 0.18076802790164948, 1.2105265855789185, 
20, 50771626, 0.10858289, 0.72818387, -0.0909951, 0.6705803, 9.852621078491211, 0.32351797819137573, -0.7914876937866211, 0.3163488507270813, 0.35616376996040344, 1.2273157835006714, 
21, 50788293, 0.108297594, 0.7281718, -0.09115003, 0.6706186, 9.862074851989746, 0.32434338331222534, -0.8123632073402405, -0.21952642500400543, 0.38873031735420227, 1.1812256574630737, 
22, 50804960, 0.1081948, 0.7281424, -0.091474295, 0.6706229, 9.844019889831543, 0.3292153775691986, -0.8205431699752808, -0.24256505072116852, 0.330538272857666, 1.1666008234024048, 
23, 50821627, 0.10802637, 0.7281344, -0.09164224, 0.6706359, 9.829538345336914, 0.316048800945282, -0.823186457157135, -0.6019625067710876, 0.29356634616851807, 0.906234860420227, 
24, 50838294, 0.107924476, 0.72812355, -0.09182489, 0.67063904, 9.831511497497559, 0.31382352113723755, -0.8204169869422913, -0.7524369955062866, 0.29176065325737, 0.7354622483253479, 
25, 50854961, 0.10788843, 0.7280927, -0.09203741, 0.6706492, 9.84719181060791, 0.3039836883544922, -0.8239249587059021, -0.9757541418075562, 0.43868789076805115, 0.6535272598266602, 
26, 50871628, 0.10788366, 0.7280535, -0.09227189, 0.67066026, 9.826142311096191, 0.25085723400115967, -0.8276282548904419, -1.2667016983032227, 0.4754292964935303, 0.6840319633483887, 
27, 50888295, 0.10786492, 0.72803664, -0.09247437, 0.67065376, 9.842706680297852, 0.21006840467453003, -0.8630871772766113, -1.148857593536377, 0.2921832501888275, 0.5814018249511719, 
28, 50904962, 0.10783975, 0.72800356, -0.092696264, 0.6706631, 9.820965766906738, 0.2236640900373459, -0.8589770793914795, -0.571624219417572, 0.46728453040122986, 0.6674861907958984, 
29, 50921629, 0.107695244, 0.7280107, -0.092781216, 0.67066675, 9.817364692687988, 0.2222505509853363, -0.8613402843475342, -0.23668694496154785, 0.25980880856513977, 0.5751652121543884, 
30, 50938296, 0.107550055, 0.7280118, -0.09285534, 0.67067873, 9.849597930908203, 0.2397347092628479, -0.8605103492736816, -0.18477001786231995, 0.34566259384155273, 0.5382317304611206, 
31, 50954963, 0.10746626, 0.7279962, -0.09298415, 0.67069125, 9.872706413269043, 0.2215031236410141, -0.898711621761322, -0.007402069866657257, 0.4517119526863098, 0.49828866124153137, 
32, 50971630, 0.10727957, 0.72797966, -0.093003005, 0.67073625, 9.84334945678711, 0.1974102258682251, -0.8773258924484253, 0.11920790374279022, 0.6251867413520813, 0.525297224521637, 
33, 50988297, 0.10714732, 0.7279617, -0.09308106, 0.6707661, 9.811546325683594, 0.1794576644897461, -0.9049342274665833, 0.11252298951148987, 0.5702603459358215, 0.5155515670776367, 
