sep=,
DeviceTag:,L Forearm - 10,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:36:09.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1692196246, 0.7102142, 0.37225807, -0.5019914, 0.32407457, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1692212913, 0.71043277, 0.3724134, -0.5013338, 0.3244353, 9.40029239654541, 2.050947427749634, 2.247610330581665, -1.5467125177383423, -0.1172933429479599, 0.5930941104888916, 
2, 1692229580, 0.71112984, 0.37201712, -0.50074714, 0.32426837, 9.37244701385498, 2.014906644821167, 2.2571980953216553, -1.8787299394607544, -0.26250457763671875, 0.9437575340270996, 
3, 1692246247, 0.71171224, 0.37147588, -0.50029093, 0.32431513, 9.355936050415039, 1.9639376401901245, 2.265346050262451, -1.5231231451034546, -0.4817620515823364, 1.3173571825027466, 
4, 1692262914, 0.71208405, 0.3708123, -0.5001257, 0.32451332, 9.31675910949707, 1.9514403343200684, 2.2580528259277344, -0.49706563353538513, -0.6719235777854919, 1.6392830610275269, 
5, 1692279581, 0.7120366, 0.37054712, -0.4999359, 0.32521185, 9.3177490234375, 2.017211675643921, 2.315201759338379, 0.15908688306808472, -1.174508810043335, 2.0730600357055664, 
6, 1692296248, 0.71210283, 0.37016544, -0.49987766, 0.32559142, 9.361469268798828, 2.0570130348205566, 2.3710484504699707, -0.3116041123867035, -1.5319981575012207, 2.6374998092651367, 
7, 1692312915, 0.7122706, 0.36964473, -0.4999278, 0.32573894, 9.343334197998047, 2.0606064796447754, 2.369739294052124, -1.140418291091919, -1.8700345754623413, 3.263679265975952, 
8, 1692329582, 0.71242577, 0.36908892, -0.50009114, 0.3257791, 9.373372077941895, 2.032648801803589, 2.3922314643859863, -1.1604090929031372, -2.27571439743042, 3.8795111179351807, 
9, 1692346249, 0.71243393, 0.36865553, -0.5002686, 0.3259791, 9.376814842224121, 2.0370776653289795, 2.409749746322632, -0.6774432063102722, -2.716073513031006, 4.340616703033447, 
10, 1692362916, 0.7124777, 0.36807716, -0.500586, 0.3260502, 9.325056076049805, 2.04337477684021, 2.4614548683166504, -0.6760472655296326, -2.7784018516540527, 4.871632099151611, 
11, 1692379583, 0.7124708, 0.367551, -0.50085104, 0.32625142, 9.295416831970215, 2.0561704635620117, 2.450920581817627, -0.5901422500610352, -2.7587828636169434, 5.197720050811768, 
12, 1692396250, 0.7124692, 0.36700734, -0.50114334, 0.32641792, 9.346611022949219, 2.0491695404052734, 2.4957962036132812, -0.5850068926811218, -2.7918996810913086, 5.359130859375, 
13, 1692412917, 0.71238655, 0.36660638, -0.5012727, 0.32685018, 9.357980728149414, 2.078651189804077, 2.5405592918395996, -0.744202733039856, -2.3854520320892334, 5.408705234527588, 
14, 1692429584, 0.71243125, 0.36607182, -0.5014134, 0.32713616, 9.373621940612793, 2.102449893951416, 2.5766000747680664, -1.1086585521697998, -1.8690356016159058, 5.2674126625061035, 
15, 1692446251, 0.7125134, 0.36554372, -0.5014316, 0.3275194, 9.398165702819824, 2.0959856510162354, 2.5612802505493164, -1.1800665855407715, -1.0645790100097656, 5.298889636993408, 
16, 1692462918, 0.71266, 0.36496654, -0.5014541, 0.3278097, 9.392447471618652, 2.0767428874969482, 2.515629529953003, -0.914508044719696, -0.6876690983772278, 5.173471450805664, 
17, 1692479585, 0.7127923, 0.36443666, -0.5014368, 0.3281376, 9.37911319732666, 2.09719181060791, 2.507606029510498, -0.6919270753860474, -0.3909394443035126, 5.067697048187256, 
18, 1692496252, 0.7129611, 0.36388606, -0.5014298, 0.32839257, 9.354731559753418, 2.1333789825439453, 2.491288423538208, -0.7330483198165894, -0.14992393553256989, 4.869313716888428, 
19, 1692512919, 0.7131099, 0.3633921, -0.5013663, 0.32871312, 9.447662353515625, 2.133364200592041, 2.4774792194366455, -0.6592708230018616, 0.19448362290859222, 4.842125415802002, 
20, 1692529586, 0.7132541, 0.36293736, -0.50125015, 0.32907975, 9.468501091003418, 2.1063408851623535, 2.4971117973327637, -0.3863804042339325, 0.6703804135322571, 4.8015289306640625, 
21, 1692546253, 0.7133746, 0.36254945, -0.5010707, 0.32951924, 9.434256553649902, 2.1097793579101562, 2.4605517387390137, 0.5619361996650696, 1.162835717201233, 4.847990989685059, 
22, 1692562920, 0.7134889, 0.36225924, -0.5007826, 0.33002853, 9.415677070617676, 2.1219892501831055, 2.479804754257202, 1.1334580183029175, 1.7594196796417236, 4.492025852203369, 
23, 1692579587, 0.7136155, 0.36204287, -0.5004179, 0.33054474, 9.385957717895508, 2.15682053565979, 2.472039222717285, 1.36449134349823, 2.1332054138183594, 3.9857723712921143, 
24, 1692596254, 0.71377933, 0.3618355, -0.5000381, 0.33099273, 9.392233848571777, 2.1528711318969727, 2.4526212215423584, 0.893377423286438, 2.2537193298339844, 3.481630563735962, 
25, 1692612921, 0.71407366, 0.36156404, -0.4996817, 0.33119273, 9.416540145874023, 2.1235921382904053, 2.4564778804779053, 0.5380395650863647, 2.5049283504486084, 2.5617499351501465, 
26, 1692629588, 0.71434414, 0.3614573, -0.49918884, 0.33146894, 9.40414047241211, 2.0929765701293945, 2.4266045093536377, 0.8384894132614136, 2.826995372772217, 1.7766058444976807, 
27, 1692646255, 0.7146384, 0.36142358, -0.49865562, 0.3316745, 9.385897636413574, 2.1359779834747314, 2.433626890182495, 1.037800908088684, 2.9233181476593018, 0.9920567274093628, 
28, 1692662922, 0.7150338, 0.3612954, -0.4981906, 0.33166057, 9.368152618408203, 2.149867057800293, 2.406383752822876, 0.633754312992096, 2.971963405609131, 0.4713442027568817, 
29, 1692679589, 0.7154481, 0.36113787, -0.4977561, 0.33159086, 9.33489990234375, 2.138075590133667, 2.4204771518707275, -0.13745054602622986, 2.8811278343200684, 0.23817892372608185, 
30, 1692696256, 0.71584666, 0.36099595, -0.49730572, 0.33156112, 9.31462287902832, 2.134345769882202, 2.3834452629089355, -0.8194398283958435, 2.883932113647461, 0.10727239400148392, 
31, 1692712923, 0.7162586, 0.36083055, -0.49691018, 0.3314444, 9.313549995422363, 2.102510452270508, 2.37622332572937, -1.0141475200653076, 2.6838459968566895, -0.06360913813114166, 
32, 1692729590, 0.7166921, 0.36064222, -0.49656075, 0.33123586, 9.310769081115723, 2.0692923069000244, 2.3897953033447266, -0.9918133616447449, 2.5790131092071533, -0.26136478781700134, 
33, 1692746257, 0.71705425, 0.36056373, -0.49616665, 0.331128, 9.321613311767578, 2.0711896419525146, 2.3656485080718994, -0.6069697737693787, 2.490009069442749, -0.3522130250930786, 
34, 1692762924, 0.7174074, 0.36051017, -0.49580258, 0.3309668, 9.347071647644043, 2.065843343734741, 2.3640079498291016, -0.2988745868206024, 2.2950448989868164, -0.5572170615196228, 
35, 1692779591, 0.7177573, 0.36047855, -0.49542418, 0.3308092, 9.381563186645508, 2.058934450149536, 2.3721282482147217, -0.18251609802246094, 2.3904778957366943, -0.7133521437644958, 
36, 1692796258, 0.7180863, 0.3605046, -0.49499568, 0.33070827, 9.429211616516113, 2.039616346359253, 2.354396343231201, 0.26190903782844543, 2.61553692817688, -0.8234355449676514, 
37, 1692812925, 0.71843696, 0.36054567, -0.4945905, 0.33050838, 9.460160255432129, 2.04655385017395, 2.3128557205200195, 1.0206019878387451, 2.602250337600708, -1.1250250339508057, 
38, 1692829592, 0.7187174, 0.36070994, -0.4941258, 0.33041403, 9.499669075012207, 2.080665111541748, 2.3288135528564453, 0.9267506003379822, 2.4567248821258545, -1.437896728515625, 
39, 1692846259, 0.7191358, 0.36071214, -0.4936977, 0.33014104, 9.495335578918457, 2.0599253177642822, 2.3221077919006348, -0.10350091010332108, 2.912797689437866, -1.8309621810913086, 
