sep=,
DeviceTag:,L Lower Leg - 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:36:09.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1682064696, 0.63729876, 0.026265327, -0.76819336, -0.055129148, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1682081363, 0.6377172, 0.025641235, -0.76783115, -0.05562938, 9.720664978027344, 1.0926731824874878, -1.6981313228607178, -1.0975425243377686, -0.8154186606407166, 0.6859913468360901, 
2, 1682098030, 0.63847154, 0.024590002, -0.76725113, -0.055455957, 9.782655715942383, 1.17583167552948, -1.791812777519226, -0.39857202768325806, -1.0212936401367188, 0.45536184310913086, 
3, 1682114697, 0.6387115, 0.024085414, -0.7670654, -0.055481464, 9.73103141784668, 1.233441948890686, -1.841087818145752, -0.5493155717849731, -0.8343336582183838, 0.413728266954422, 
4, 1682131364, 0.63849354, 0.023847789, -0.7672213, -0.05593559, 9.727203369140625, 1.2123537063598633, -1.7851688861846924, -0.784414529800415, -0.725287675857544, 0.5278457403182983, 
5, 1682148031, 0.63832206, 0.024010515, -0.7673475, -0.0560918, 9.725186347961426, 1.2028307914733887, -1.7815473079681396, -0.6319293975830078, -0.8230129480361938, 0.6760280132293701, 
6, 1682164698, 0.63818234, 0.023970649, -0.7674422, -0.056401677, 9.70842170715332, 1.14679753780365, -1.8034933805465698, -1.1032798290252686, -0.7578156590461731, 0.5190989971160889, 
7, 1682181365, 0.6380149, 0.023828644, -0.7675715, -0.056596182, 9.732009887695312, 1.0914314985275269, -1.7126604318618774, -0.5682305097579956, -0.8835740089416504, 0.46604228019714355, 
8, 1682198032, 0.63794446, 0.024083909, -0.76764476, -0.056288898, 9.703362464904785, 1.11903977394104, -1.6858866214752197, 0.21473048627376556, -1.23469877243042, 0.18372629582881927, 
9, 1682214699, 0.63788, 0.024077708, -0.7677084, -0.05615349, 9.721108436584473, 1.1677358150482178, -1.676483392715454, 0.23406805098056793, -1.6420683860778809, 0.19477815926074982, 
10, 1682231366, 0.6378306, 0.024069278, -0.76775575, -0.056072406, 9.775165557861328, 1.1983921527862549, -1.7515488862991333, 0.533723771572113, -1.7921972274780273, 0.06552368402481079, 
11, 1682248033, 0.637777, 0.024195887, -0.7678049, -0.055952895, 9.700139999389648, 1.1798776388168335, -1.730140209197998, 0.5294466018676758, -1.691245198249817, -0.08682706207036972, 
12, 1682264700, 0.6376815, 0.024333373, -0.76788926, -0.05582531, 9.749558448791504, 1.1585712432861328, -1.7203404903411865, 1.5339637994766235, -1.8616976737976074, -0.177470400929451, 
13, 1682281367, 0.6375803, 0.024456143, -0.7679766, -0.055727392, 9.744111061096191, 1.2308073043823242, -1.7241512537002563, 1.559064269065857, -1.8804970979690552, -0.30950385332107544, 
14, 1682298034, 0.637464, 0.024587099, -0.7680751, -0.055639394, 9.761834144592285, 1.26645028591156, -1.8058490753173828, 1.5650192499160767, -1.9756097793579102, -0.2005346268415451, 
15, 1682314701, 0.6373473, 0.024799585, -0.7681697, -0.05557706, 9.68757438659668, 1.2264286279678345, -1.800741195678711, 1.031032919883728, -1.7932348251342773, -0.39161819219589233, 
16, 1682331368, 0.6372044, 0.02506457, -0.76829, -0.055433426, 9.73570442199707, 1.2247384786605835, -1.841524600982666, 1.492151141166687, -1.851759910583496, -0.21925753355026245, 
17, 1682348035, 0.6370459, 0.02523626, -0.76842064, -0.05536604, 9.71755313873291, 1.3362640142440796, -1.835781216621399, 1.3194317817687988, -1.7639211416244507, -0.1670844703912735, 
