sep=,
DeviceTag:,L Upper Leg - 6,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:36:09.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1700652416, 0.38551408, 0.5852146, -0.45018053, 0.5533899, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1700669083, 0.38578427, 0.5848201, -0.449533, 0.5541446, 9.799054145812988, -0.46052631735801697, -0.7512935400009155, 2.3846383094787598, -2.8886258602142334, -2.234464645385742, 
2, 1700685750, 0.38658488, 0.5842386, -0.44908267, 0.5545651, 9.845065116882324, -0.4070623219013214, -0.8624698519706726, 0.5222557783126831, -2.7553374767303467, -2.335775852203369, 
3, 1700702417, 0.38699242, 0.5845206, -0.44854215, 0.5544208, 9.875879287719727, -0.4213314652442932, -0.864608645439148, 0.06373079866170883, -2.473175048828125, -2.3205997943878174, 
4, 1700719084, 0.38720432, 0.58489096, -0.44827986, 0.55409443, 9.891411781311035, -0.3902890086174011, -0.7665818929672241, 1.6331360340118408, -2.4128057956695557, -1.9121544361114502, 
5, 1700735751, 0.38740453, 0.58520216, -0.44790354, 0.5539303, 9.818013191223145, -0.31751763820648193, -0.8587182760238647, 1.8868812322616577, -2.750471353530884, -1.6254717111587524, 
6, 1700752418, 0.38789564, 0.58547, -0.44779226, 0.55339324, 9.843623161315918, -0.4365561306476593, -0.8867395520210266, -1.077666997909546, -2.5178306102752686, -1.7458895444869995, 
7, 1700769085, 0.3880904, 0.5857705, -0.4478328, 0.55290544, 9.817596435546875, -0.4714307487010956, -0.7638179063796997, -0.25667765736579895, -2.849156618118286, -1.556138038635254, 
8, 1700785752, 0.3881104, 0.5859645, -0.44783738, 0.55268234, 9.882868766784668, -0.47741803526878357, -0.8104953169822693, 1.3831689357757568, -2.687027931213379, -1.2471718788146973, 
9, 1700802419, 0.3879464, 0.58622825, -0.44778204, 0.55256236, 9.851384162902832, -0.3802182972431183, -0.8475505709648132, 2.194362163543701, -2.9962894916534424, -1.322755217552185, 
10, 1700819086, 0.3880337, 0.5863758, -0.44789615, 0.5522522, 9.849088668823242, -0.40115514397621155, -0.8620829582214355, 1.347618579864502, -2.839564561843872, -1.6210789680480957, 
11, 1700835753, 0.38802955, 0.5865881, -0.447805, 0.5521034, 9.893446922302246, -0.4264364242553711, -0.8048620223999023, 2.6618192195892334, -1.947961449623108, -1.7977811098098755, 
12, 1700852420, 0.38790506, 0.5868515, -0.4476194, 0.55206144, 9.838592529296875, -0.3554169237613678, -0.9105475544929504, 3.301175832748413, -1.9461166858673096, -1.6206178665161133, 
13, 1700869087, 0.38774252, 0.5872205, -0.44755623, 0.5518347, 9.870192527770996, -0.32828736305236816, -0.8943303823471069, 3.500839948654175, -3.246307611465454, -1.6843808889389038, 
14, 1700885754, 0.3876391, 0.5876044, -0.44746605, 0.5515716, 9.853240013122559, -0.3476656377315521, -0.7489781379699707, 2.325946569442749, -3.021376371383667, -1.8792804479599, 
15, 1700902421, 0.387535, 0.5879475, -0.4473095, 0.5514063, 9.876415252685547, -0.3917572498321533, -0.8061694502830505, 3.068523406982422, -2.610292911529541, -1.7279736995697021, 
16, 1700919088, 0.38734925, 0.5883185, -0.44707808, 0.55132854, 9.860442161560059, -0.3212994635105133, -0.8353863954544067, 3.313905715942383, -2.4667718410491943, -1.5793687105178833, 
17, 1700935755, 0.3869439, 0.5887958, -0.44681054, 0.5513206, 9.85126781463623, -0.3475908935070038, -0.8884316086769104, 5.444140434265137, -3.1794073581695557, -1.0087562799453735, 
18, 1700952422, 0.38657305, 0.58922935, -0.44663268, 0.5512617, 9.840411186218262, -0.3068166673183441, -0.873661994934082, 3.591085910797119, -3.2121524810791016, -0.6737292408943176, 
19, 1700969089, 0.38625973, 0.5895781, -0.44654968, 0.5511757, 9.839085578918457, -0.30256667733192444, -0.8017320036888123, 2.9924535751342773, -3.0399329662323, -0.2865036725997925, 
20, 1700985756, 0.3859763, 0.58987045, -0.4465885, 0.5510301, 9.825478553771973, -0.2373899221420288, -0.8286874294281006, 2.885814905166626, -3.3996503353118896, 0.07891912758350372, 
21, 1701002423, 0.38573405, 0.5900545, -0.44674438, 0.5508763, 9.861303329467773, -0.30807095766067505, -0.8735191226005554, 3.1021785736083984, -3.268897533416748, 0.7121931314468384, 
22, 1701019090, 0.3851716, 0.59041977, -0.4467835, 0.55084664, 9.82177448272705, -0.3568390905857086, -0.8610141277313232, 3.4707963466644287, -4.011819839477539, 1.4420270919799805, 
23, 1701035757, 0.38482422, 0.5906124, -0.44706777, 0.55065215, 9.852930068969727, -0.37536823749542236, -0.8188185691833496, 1.8818995952606201, -4.050520896911621, 1.5513166189193726, 
24, 1701052424, 0.38467103, 0.59063876, -0.44739726, 0.55046314, 9.876258850097656, -0.3406171202659607, -0.7885804772377014, 0.6915748715400696, -2.9689855575561523, 1.4517725706100464, 
25, 1701069091, 0.38447425, 0.59067374, -0.4477359, 0.55028784, 9.858604431152344, -0.3561139702796936, -0.8982573747634888, 0.7316460013389587, -3.1613242626190186, 1.6692758798599243, 
26, 1701085758, 0.3839909, 0.59089696, -0.4479837, 0.55018413, 9.875929832458496, -0.4235851466655731, -0.8815884590148926, 2.02793025970459, -4.152036666870117, 2.0676558017730713, 
27, 1701102425, 0.38355857, 0.59104526, -0.44835192, 0.55002636, 9.806330680847168, -0.45963045954704285, -0.8088743090629578, 3.0168752670288086, -4.314600467681885, 2.1851155757904053, 
28, 1701119092, 0.3830565, 0.5912456, -0.44867954, 0.54989356, 9.814790725708008, -0.4867275655269623, -0.8714742064476013, 1.9319086074829102, -4.486334323883057, 2.2903969287872314, 
29, 1701135759, 0.3825355, 0.59141695, -0.44906232, 0.54975957, 9.83393669128418, -0.4565180540084839, -0.8925191164016724, 2.612283945083618, -4.617534160614014, 2.5064010620117188, 
30, 1701152426, 0.38185605, 0.5916467, -0.44931874, 0.54977524, 9.887699127197266, -0.4844323992729187, -0.9281907677650452, 3.3338708877563477, -4.332618713378906, 2.870742082595825, 
31, 1701169093, 0.3812308, 0.5918118, -0.4497338, 0.54969215, 9.8561429977417, -0.614749550819397, -0.9759927988052368, 2.3089401721954346, -4.728719711303711, 3.1822049617767334, 
32, 1701185760, 0.38046354, 0.59195775, -0.45021838, 0.54967004, 9.805335998535156, -0.5922857522964478, -0.9052726030349731, 3.192885398864746, -5.008090019226074, 4.0766520500183105, 
33, 1701202427, 0.3795573, 0.59215987, -0.45082656, 0.5495803, 9.837201118469238, -0.5704949498176575, -0.9124851822853088, 3.1535704135894775, -6.248462677001953, 4.69485330581665, 
34, 1701219094, 0.3786973, 0.5922322, -0.4514454, 0.54958767, 9.828898429870605, -0.6034820079803467, -0.914148211479187, 3.4627156257629395, -5.279636383056641, 5.1164774894714355, 
35, 1701235761, 0.37783965, 0.5922297, -0.45209157, 0.5496496, 9.798898696899414, -0.6045505404472351, -0.9090758562088013, 2.302703619003296, -4.797707557678223, 5.664947509765625, 
36, 1701252428, 0.376926, 0.59225094, -0.45274797, 0.5497135, 9.765728950500488, -0.5920687317848206, -0.9901686310768127, 2.9751274585723877, -5.112015247344971, 5.774468898773193, 
37, 1701269095, 0.3758948, 0.5923872, -0.45331556, 0.54980505, 9.824211120605469, -0.5630571842193604, -0.8789288997650146, 4.510032653808594, -5.569906234741211, 5.519737243652344, 
38, 1701285762, 0.3747327, 0.59268004, -0.4535998, 0.5500484, 9.893040657043457, -0.532508909702301, -0.8426209092140198, 6.14605712890625, -5.203400611877441, 4.868341445922852, 
39, 1701302429, 0.37369958, 0.59299016, -0.45374194, 0.5502997, 9.897453308105469, -0.5135996341705322, -0.9521545171737671, 6.440616130828857, -4.523972511291504, 3.7689034938812256, 
40, 1701319096, 0.3727924, 0.5933207, -0.45383626, 0.55048066, 9.871644973754883, -0.44859641790390015, -0.9002665281295776, 5.723715782165527, -4.3661208152771, 2.911965847015381, 
41, 1701335763, 0.37218463, 0.593605, -0.4539549, 0.5504877, 9.837808609008789, -0.34290361404418945, -0.8413363695144653, 4.095592498779297, -4.068513870239258, 1.589402675628662, 
42, 1701352430, 0.37161162, 0.5939666, -0.4538512, 0.5505704, 9.891151428222656, -0.3908655047416687, -0.8554283380508423, 4.844546318054199, -3.389188289642334, 0.6283244490623474, 
43, 1701369097, 0.3709635, 0.5943907, -0.45356134, 0.55078846, 9.900361061096191, -0.47659820318222046, -1.0043855905532837, 6.5592522621154785, -2.8691346645355225, 0.34791654348373413, 
44, 1701385764, 0.3703499, 0.59480137, -0.45332333, 0.55095404, 9.860688209533691, -0.5177330374717712, -0.9896188378334045, 6.152728080749512, -3.0534181594848633, 0.35342326760292053, 
45, 1701402431, 0.3698547, 0.5951249, -0.45320213, 0.5510369, 9.81606674194336, -0.5903514623641968, -1.0137375593185425, 4.939082145690918, -2.9936892986297607, 0.4370999038219452, 
46, 1701419098, 0.36932087, 0.5954548, -0.4531139, 0.5511111, 9.809845924377441, -0.5403501987457275, -0.9337688088417053, 4.737792015075684, -3.2328219413757324, 0.7009106874465942, 
47, 1701435765, 0.36872676, 0.59572303, -0.45307994, 0.5512472, 9.7962646484375, -0.5076955556869507, -0.9997525215148926, 4.533364772796631, -3.0614092350006104, 1.5455152988433838, 
48, 1701452432, 0.36830655, 0.59585243, -0.45324633, 0.5512516, 9.786581039428711, -0.5424097180366516, -1.0430248975753784, 2.889439344406128, -3.069157361984253, 1.750429630279541, 
49, 1701469099, 0.36779252, 0.5960014, -0.4533802, 0.5513236, 9.804047584533691, -0.48676255345344543, -0.9879193902015686, 3.5375685691833496, -3.0553390979766846, 2.1058061122894287, 
50, 1701485766, 0.36723676, 0.59621114, -0.4535773, 0.55130506, 9.841852188110352, -0.5143194794654846, -0.9984484314918518, 3.3525686264038086, -3.9478907585144043, 2.123670816421509, 
51, 1701502433, 0.36686933, 0.59631956, -0.4538733, 0.55118877, 9.848081588745117, -0.5444046854972839, -0.9799711108207703, 1.6280521154403687, -3.625119209289551, 1.9009554386138916, 
52, 1701519100, 0.36664587, 0.59636796, -0.45415792, 0.5510507, 9.824621200561523, -0.49721503257751465, -0.9737555980682373, 0.43781065940856934, -2.9869272708892822, 1.5023512840270996, 
53, 1701535767, 0.3664934, 0.5964246, -0.45438066, 0.55090714, 9.852455139160156, -0.5492010116577148, -0.9289577603340149, 0.5864412188529968, -2.681861162185669, 0.9319692850112915, 
54, 1701552434, 0.3663161, 0.5965418, -0.45449752, 0.5508017, 9.83908748626709, -0.5404379963874817, -0.9177745580673218, 1.2293518781661987, -2.5724751949310303, 0.5226718783378601, 
55, 1701569101, 0.36621523, 0.5966137, -0.45465252, 0.55066276, 9.860316276550293, -0.5719268918037415, -0.9496205449104309, 0.7912594676017761, -2.4266111850738525, 0.4251900017261505, 
56, 1701585768, 0.36601552, 0.59675264, -0.45476213, 0.55055463, 9.834506034851074, -0.5796340703964233, -0.9753531217575073, 1.6722466945648193, -2.7619454860687256, 0.47887423634529114, 
57, 1701602435, 0.36570153, 0.5969405, -0.45478708, 0.5505389, 9.849902153015137, -0.5739147663116455, -1.0049678087234497, 2.8242745399475098, -2.7150750160217285, 0.6508315801620483, 
58, 1701619102, 0.36550093, 0.59707004, -0.4548898, 0.550447, 9.840087890625, -0.5879485011100769, -0.9894098043441772, 1.839676856994629, -2.6606597900390625, 0.5138483643531799, 
59, 1701635769, 0.3655344, 0.5970645, -0.4551727, 0.5501969, 9.792895317077637, -0.5860894918441772, -0.8838465213775635, -0.42281442880630493, -2.53674578666687, 0.36471840739250183, 
60, 1701652436, 0.36554626, 0.59704965, -0.4554143, 0.55000484, 9.858275413513184, -0.5740925073623657, -0.9239091873168945, -0.25628069043159485, -2.2332866191864014, 0.4828057885169983, 
61, 1701669103, 0.36530927, 0.5971616, -0.4554589, 0.5500039, 9.810464859008789, -0.5154134035110474, -0.9960448741912842, 2.373868227005005, -2.2230029106140137, 0.7077493071556091, 
62, 1701685770, 0.3652205, 0.59723175, -0.45568827, 0.54979694, 9.819231033325195, -0.5855824947357178, -1.0227707624435425, 0.6270949840545654, -2.935023546218872, 0.4888632297515869, 
63, 1701702437, 0.36507475, 0.5973488, -0.45583782, 0.5496427, 9.803213119506836, -0.5759005546569824, -0.9383439421653748, 1.2340391874313354, -2.8599014282226562, 0.3900238573551178, 
64, 1701719104, 0.3649487, 0.59748876, -0.45602816, 0.549416, 9.839058876037598, -0.5515614151954651, -0.8667823076248169, 0.912830114364624, -3.3030648231506348, 0.22000667452812195, 
65, 1701735771, 0.36501443, 0.59747, -0.45625466, 0.5492047, 9.891889572143555, -0.5944458842277527, -0.9722363352775574, -0.46802088618278503, -2.14496111869812, 0.19842800498008728, 
66, 1701752438, 0.3650204, 0.5974392, -0.45642456, 0.5490931, 9.839038848876953, -0.6265693306922913, -1.0675143003463745, 0.2358609437942505, -1.742047667503357, 0.48462429642677307, 
67, 1701769105, 0.36485118, 0.5975076, -0.4565855, 0.54899746, 9.813082695007324, -0.6370200514793396, -1.0073961019515991, 1.2250298261642456, -2.5708491802215576, 0.8424400687217712, 
68, 1701785772, 0.36465552, 0.59759897, -0.45671055, 0.548924, 9.82625961303711, -0.6641846895217896, -0.9482850432395935, 1.5756102800369263, -2.56374192237854, 0.7747906446456909, 
69, 1701802439, 0.36454844, 0.5976716, -0.45692536, 0.5487372, 9.810944557189941, -0.6713840961456299, -0.8964970707893372, 0.36815693974494934, -2.91106915473938, 0.5887335538864136, 
70, 1701819106, 0.3644532, 0.5977141, -0.45711616, 0.5485951, 9.824241638183594, -0.6577681303024292, -0.9565689563751221, 0.6632664203643799, -2.547592878341675, 0.6187900304794312, 
71, 1701835773, 0.36419356, 0.5978443, -0.45724955, 0.54851466, 9.843498229980469, -0.6382110118865967, -0.9568387269973755, 2.027578115463257, -3.013199806213379, 0.8673228621482849, 
72, 1701852440, 0.36395687, 0.597941, -0.4573775, 0.54845977, 9.823471069335938, -0.6325883865356445, -0.9243322610855103, 2.0128698348999023, -2.713268280029297, 0.9168128967285156, 
73, 1701869107, 0.36370116, 0.5980288, -0.45755124, 0.5483884, 9.838644027709961, -0.6830145120620728, -0.9124700427055359, 1.480983853340149, -2.913930892944336, 1.2098863124847412, 
74, 1701885774, 0.36345884, 0.5980851, -0.45767224, 0.5483869, 9.83727741241455, -0.6756048202514648, -1.0185236930847168, 1.9653840065002441, -2.364935874938965, 1.182429552078247, 
75, 1701902441, 0.36326405, 0.59816784, -0.45778728, 0.5483297, 9.803987503051758, -0.6071684956550598, -0.8948689699172974, 1.7870556116104126, -2.541714668273926, 0.7373447418212891, 
76, 1701919108, 0.3631672, 0.5982155, -0.45797136, 0.54818785, 9.830644607543945, -0.5672807693481445, -0.9649094343185425, 0.6397539973258972, -2.6331584453582764, 0.5699465870857239, 
77, 1701935775, 0.3628495, 0.59836173, -0.45799685, 0.54821754, 9.849668502807617, -0.5779113173484802, -0.9118239879608154, 3.0994503498077393, -2.6224074363708496, 0.8523457646369934, 
78, 1701952442, 0.36232436, 0.59859455, -0.457847, 0.54843587, 9.8265962600708, -0.5450910925865173, -0.9554619193077087, 5.31907320022583, -2.3998587131500244, 1.1321262121200562, 
79, 1701969109, 0.3619932, 0.5987822, -0.45774445, 0.5485353, 9.87027645111084, -0.5801840424537659, -0.9233952760696411, 3.8631696701049805, -2.239356756210327, 0.4496757686138153, 
80, 1701985776, 0.36176565, 0.59896886, -0.45760283, 0.5485997, 9.88587474822998, -0.5821672677993774, -0.981704592704773, 3.3118441104888916, -1.9628422260284424, -0.15676254034042358, 
81, 1702002443, 0.36164796, 0.59910274, -0.45752704, 0.5485944, 9.81809139251709, -0.49682655930519104, -1.0487934350967407, 2.5757858753204346, -1.9025880098342896, -0.3445548117160797, 
82, 1702019110, 0.36142063, 0.5993484, -0.45745078, 0.5485394, 9.799981117248535, -0.4347681701183319, -0.8681474328041077, 2.888375997543335, -2.8594017028808594, -0.3581167459487915, 
83, 1702035777, 0.36111268, 0.599628, -0.4573638, 0.54850954, 9.815074920654297, -0.47421836853027344, -0.9460704326629639, 3.495410203933716, -3.136467456817627, -0.1330195814371109, 
84, 1702052444, 0.3608678, 0.5998632, -0.4572546, 0.5485044, 9.856256484985352, -0.6204065680503845, -1.001786231994629, 3.0693752765655518, -2.6133346557617188, -0.21574221551418304, 
85, 1702069111, 0.36051893, 0.6001015, -0.45718876, 0.5485279, 9.860933303833008, -0.6188247799873352, -1.0216469764709473, 3.852975845336914, -2.9820098876953125, 0.35781583189964294, 
86, 1702085778, 0.36041227, 0.6002021, -0.4572124, 0.5484684, 9.798083305358887, -0.5812774300575256, -0.9643117785453796, 1.8520094156265259, -2.270373582839966, 0.05070674046874046, 
87, 1702102445, 0.36045787, 0.6002565, -0.45726603, 0.548334, 9.847928047180176, -0.4795576333999634, -0.8607325553894043, 0.7660694718360901, -2.0149896144866943, -0.436184287071228, 
88, 1702119112, 0.3602773, 0.6004161, -0.4571546, 0.54837084, 9.890263557434082, -0.4390237033367157, -0.9601677656173706, 2.888862371444702, -2.0151429176330566, -0.12542538344860077, 
89, 1702135779, 0.36003897, 0.6005922, -0.45704946, 0.5484223, 9.840558052062988, -0.5423650145530701, -1.0574334859848022, 3.188455104827881, -2.22916316986084, 0.12029647082090378, 
90, 1702152446, 0.35983822, 0.60076624, -0.45701265, 0.548394, 9.813955307006836, -0.6009791493415833, -0.9953249096870422, 2.7012367248535156, -2.6210756301879883, 0.05223069712519646, 
91, 1702169113, 0.35985395, 0.6008395, -0.45704907, 0.5482731, 9.838174819946289, -0.6809881925582886, -0.9149053692817688, 0.9700874090194702, -2.1352667808532715, -0.3699882924556732, 
92, 1702185780, 0.3600058, 0.60082597, -0.45705968, 0.54817915, 9.800381660461426, -0.6280948519706726, -0.9295205473899841, 0.4306967854499817, -1.228231430053711, -0.6629206538200378, 
93, 1702202447, 0.35988766, 0.6009307, -0.4569415, 0.5482407, 9.750016212463379, -0.4436323642730713, -1.004879117012024, 2.8321948051452637, -1.5802011489868164, -0.16740460693836212, 
94, 1702219114, 0.36007118, 0.60087496, -0.45708513, 0.5480614, 9.71169662475586, -0.36203697323799133, -0.7922194600105286, -0.4215594530105591, -1.6913731098175049, -0.31858357787132263, 
95, 1702235781, 0.36060077, 0.60065365, -0.45718274, 0.5478743, 9.906012535095215, -0.15110324323177338, -0.6430577635765076, -2.3716206550598145, 0.0935823917388916, -1.2546507120132446, 
96, 1702252448, 0.36113396, 0.60044247, -0.4571337, 0.54779553, 10.178492546081543, -0.04310358315706253, -0.7704108357429504, -1.357940435409546, 0.8273158073425293, -1.6144131422042847, 
97, 1702269115, 0.36152938, 0.60033655, -0.45694008, 0.5478125, 10.022650718688965, -0.2873144745826721, -1.1011583805084229, 0.27951139211654663, 0.7220475673675537, -1.7314952611923218, 
98, 1702285782, 0.3618825, 0.6003741, -0.45681813, 0.5476397, 9.855464935302734, -0.7939503192901611, -1.2830265760421753, 0.045865945518016815, -0.9229152202606201, -2.1869020462036133, 
99, 1702302449, 0.36188543, 0.600606, -0.45648846, 0.54765844, 9.764057159423828, -1.0919599533081055, -1.281134009361267, 3.3638627529144287, -1.4341574907302856, -1.8778077363967896, 
100, 1702319116, 0.36124995, 0.60112596, -0.45588514, 0.54801005, 9.72116756439209, -1.1351362466812134, -1.2467050552368164, 8.735219955444336, -2.450867176055908, -0.7123790383338928, 
101, 1702335783, 0.36026326, 0.6016771, -0.4551427, 0.5486714, 9.706331253051758, -0.9789905548095703, -1.0082533359527588, 11.77474594116211, -2.035429000854492, 0.6641695499420166, 
