sep=,
DeviceTag:,Pelvis - 7,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:36:09.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1704299227, 0.16035977, -0.5293324, -0.14988394, -0.8195286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1704315894, 0.16139807, -0.5297751, -0.15086466, -0.81885827, 9.101348876953125, 0.7517755031585693, 3.929952383041382, 3.127675771713257, -5.495602130889893, 2.3029725551605225, 
2, 1704332561, 0.16147505, -0.530302, -0.15098426, -0.8184802, 9.079597473144531, 0.7123140096664429, 3.938184976577759, 3.502171754837036, -5.158616065979004, 2.1115176677703857, 
3, 1704349228, 0.16221677, -0.5306312, -0.15120277, -0.8180797, 9.079431533813477, 0.6973738074302673, 3.8960890769958496, 4.136854648590088, -5.387516975402832, 2.033859968185425, 
4, 1704365895, 0.16252835, -0.5311835, -0.15113246, -0.8176722, 9.12717342376709, 0.7168698906898499, 3.867497682571411, 4.7301483154296875, -5.551540851593018, 2.0787718296051025, 
5, 1704382562, 0.16269621, -0.5319189, -0.15113468, -0.8171601, 9.18089485168457, 0.7173129320144653, 3.867358446121216, 4.735078811645508, -5.878167629241943, 2.214237928390503, 
6, 1704399229, 0.16296142, -0.53265256, -0.15122207, -0.8166131, 9.179543495178223, 0.7435920238494873, 3.841006278991699, 4.721798419952393, -5.480747222900391, 2.6152172088623047, 
7, 1704415896, 0.16321988, -0.5333497, -0.15135632, -0.81608146, 9.205253601074219, 0.7649269700050354, 3.81440806388855, 4.7797465324401855, -5.015185356140137, 3.0241880416870117, 
8, 1704432563, 0.1634714, -0.53392863, -0.15155897, -0.81561476, 9.212373733520508, 0.786361038684845, 3.8332204818725586, 4.862526893615723, -3.9443178176879883, 3.0073349475860596, 
9, 1704449230, 0.16372102, -0.5344183, -0.15184091, -0.81519127, 9.17918586730957, 0.803834855556488, 3.781209707260132, 4.713883876800537, -3.5713586807250977, 2.7898573875427246, 
10, 1704465897, 0.16392209, -0.534981, -0.15215994, -0.8147222, 9.193449020385742, 0.8449047803878784, 3.80910062789917, 4.355228900909424, -4.228477478027344, 2.7438948154449463, 
11, 1704482564, 0.16413213, -0.53546995, -0.15246058, -0.8143024, 9.196483612060547, 0.8852267265319824, 3.8152215480804443, 4.071887969970703, -3.790846824645996, 3.0218443870544434, 
12, 1704499231, 0.16420603, -0.5358473, -0.15262012, -0.8140093, 9.153352737426758, 0.9031394124031067, 3.839694023132324, 3.1990716457366943, -2.8363378047943115, 3.066666841506958, 
13, 1704515898, 0.16419904, -0.53612727, -0.15276448, -0.8137993, 9.1676607131958, 0.858573853969574, 3.8408279418945312, 2.2532706260681152, -2.3935322761535645, 2.4942221641540527, 
14, 1704532565, 0.16416374, -0.536331, -0.15297523, -0.81363255, 9.232945442199707, 0.8109534978866577, 3.8527793884277344, 2.3367810249328613, -2.1340885162353516, 1.8444023132324219, 
