sep=,
DeviceTag:,R Foot - 1,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:36:09.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1674305829, 0.9500391, -0.2732443, -0.14064461, -0.05461252, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1674322496, 0.9502519, -0.27253714, -0.1406635, -0.054393202, 2.9500341415405273, -5.093301773071289, 8.100875854492188, 5.623300075531006, -1.2448923587799072, 2.112208604812622, 
2, 1674339163, 0.95035183, -0.27234504, -0.1404543, -0.05414936, 2.939643383026123, -5.067580699920654, 8.106626510620117, 6.066042423248291, -1.0529510974884033, 2.023768663406372, 
3, 1674355830, 0.9504947, -0.2720367, -0.14017923, -0.053905144, 2.9379491806030273, -5.076650619506836, 8.095057487487793, 6.449041843414307, -0.8626359701156616, 1.9728504419326782, 
4, 1674372497, 0.9506454, -0.2716485, -0.13999297, -0.053688478, 2.9153876304626465, -5.067801475524902, 8.11520767211914, 6.957683563232422, -0.9456977844238281, 1.7178887128829956, 
5, 1674389164, 0.95081854, -0.2711771, -0.13983887, -0.05340636, 2.928440809249878, -5.00788688659668, 8.15678596496582, 6.828615188598633, -1.2352237701416016, 1.7917494773864746, 
6, 1674405831, 0.95102286, -0.27052787, -0.13974196, -0.05331344, 2.9382083415985107, -5.015617370605469, 8.138303756713867, 6.667236804962158, -1.604584813117981, 1.785288691520691, 
7, 1674422498, 0.9512087, -0.26991686, -0.139669, -0.05328802, 2.9437379837036133, -5.00213623046875, 8.151695251464844, 6.1350297927856445, -1.5328433513641357, 2.013369560241699, 
8, 1674439165, 0.9513909, -0.26927963, -0.13966708, -0.053265125, 2.911141872406006, -5.0757646560668945, 8.127867698669434, 6.0107831954956055, -1.6289293766021729, 1.8529061079025269, 
9, 1674455832, 0.9515413, -0.26874042, -0.13963526, -0.05338256, 2.941159248352051, -5.042423248291016, 8.167765617370605, 5.929897785186768, -1.6640830039978027, 1.5689893960952759, 
10, 1674472499, 0.9516847, -0.2682145, -0.13963899, -0.053460646, 2.9408648014068604, -5.048416614532471, 8.167905807495117, 5.766705513000488, -1.6731239557266235, 1.517789363861084, 
11, 1674489166, 0.9518231, -0.26767805, -0.13973549, -0.053434886, 2.916591167449951, -5.024017333984375, 8.16915225982666, 5.846604824066162, -2.136317014694214, 1.6128253936767578, 
