sep=,
DeviceTag:,R Forearm - 9,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:36:09.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1688509246, 0.5998152, -0.5975068, -0.40401417, -0.34638134, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1688525913, 0.5989297, -0.6013297, -0.4020222, -0.3436046, 8.639305114746094, -4.92263650894165, -0.7745366096496582, -10.774755477905273, -2.133756637573242, 1.4485334157943726, 
2, 1688542580, 0.5980743, -0.6069728, -0.39905116, -0.33859935, 8.60224723815918, -4.712798595428467, -0.7045340538024902, -6.6531171798706055, -2.668766736984253, 1.388163447380066, 
3, 1688559247, 0.5968248, -0.6115449, -0.39650097, -0.33555925, 8.601358413696289, -4.552108287811279, -0.7584614753723145, -5.791543960571289, -3.2195677757263184, 0.4099760949611664, 
4, 1688575914, 0.5948629, -0.6151168, -0.39474773, -0.3345802, 8.700648307800293, -4.577839374542236, -0.7613928318023682, -8.958901405334473, -3.0783400535583496, 0.7064944505691528, 
5, 1688592581, 0.5928869, -0.6177888, -0.39357707, -0.33454338, 8.64065933227539, -4.742279052734375, -0.8806967735290527, -9.458440780639648, -3.360464334487915, 0.6601356267929077, 
6, 1688609248, 0.5912629, -0.61993814, -0.39291742, -0.33421695, 8.569581031799316, -4.695454120635986, -1.0376993417739868, -5.634141445159912, -5.120479106903076, 0.1575373411178589, 
7, 1688625915, 0.58957344, -0.62195855, -0.39264688, -0.33376515, 8.734000205993652, -4.635291576385498, -1.0198054313659668, -3.3147833347320557, -7.097728729248047, -0.44491827487945557, 
8, 1688642582, 0.5879241, -0.6237298, -0.3925684, -0.3334613, 8.778704643249512, -4.392380714416504, -1.0133328437805176, -3.6588261127471924, -6.886961936950684, -0.21567177772521973, 
9, 1688659249, 0.5860462, -0.6255585, -0.39263618, -0.33326182, 8.70687484741211, -4.77493143081665, -1.1593714952468872, -7.724306106567383, -7.547796249389648, 1.5757386684417725, 
10, 1688675916, 0.5843538, -0.62734497, -0.39249298, -0.3330443, 8.497264862060547, -4.754645347595215, -0.835922122001648, -7.28931188583374, -6.429595470428467, 2.042863130569458, 
11, 1688692583, 0.5825132, -0.6290816, -0.39214942, -0.33339706, 8.367530822753906, -4.262615203857422, -0.9327094554901123, -10.713090896606445, -5.316276550292969, -0.723802387714386, 
12, 1688709250, 0.58044076, -0.630898, -0.39196023, -0.3338019, 8.728171348571777, -4.9695587158203125, -1.0092371702194214, -15.122136116027832, -5.786170482635498, -0.47259321808815, 
13, 1688725917, 0.5789937, -0.632291, -0.39187774, -0.3337762, 8.728050231933594, -5.216601848602295, -1.1879185438156128, -9.504966735839844, -6.136293411254883, 0.08603949844837189, 
14, 1688742584, 0.5780015, -0.6335321, -0.3916577, -0.33340022, 8.593226432800293, -5.128940105438232, -1.0345783233642578, -6.296627044677734, -5.651097297668457, 1.4315004348754883, 
15, 1688759251, 0.5772782, -0.6346502, -0.39123717, -0.3330209, 8.501277923583984, -4.952183246612549, -1.0363941192626953, -3.795738458633423, -5.1677470207214355, 1.6617329120635986, 
16, 1688775918, 0.57691014, -0.63551265, -0.3910214, -0.33226612, 8.47386360168457, -5.158423900604248, -1.219751238822937, -0.8968799114227295, -5.903048992156982, 2.3290719985961914, 
17, 1688792585, 0.57719874, -0.63582134, -0.39129588, -0.33084822, 8.41796875, -5.2665510177612305, -1.3767191171646118, 7.286631107330322, -7.807611465454102, 2.3535454273223877, 
18, 1688809252, 0.5780796, -0.63546264, -0.3921001, -0.3290421, 8.549798011779785, -4.838997840881348, -0.9887449741363525, 14.00643539428711, -7.801313877105713, 0.7823725342750549, 
19, 1688825919, 0.57883507, -0.6352031, -0.3927239, -0.32746798, 8.794325828552246, -4.884068965911865, -0.5395545959472656, 12.333707809448242, -7.302403926849365, 1.0025393962860107, 
20, 1688842586, 0.5797223, -0.63483137, -0.3929874, -0.32630077, 8.746801376342773, -4.787039756774902, -0.7249820232391357, 10.972901344299316, -4.368759632110596, 1.441105604171753, 
21, 1688859253, 0.58024627, -0.6346318, -0.3933441, -0.32532638, 8.572354316711426, -4.397951126098633, -1.0828839540481567, 7.994822025299072, -5.6089911460876465, 0.4295571744441986, 
22, 1688875920, 0.5802872, -0.634969, -0.39346018, -0.3244537, 8.72844123840332, -4.754751682281494, -1.0525527000427246, 3.6987507343292236, -7.025911331176758, 2.0466666221618652, 
23, 1688892587, 0.5802673, -0.6354222, -0.39331537, -0.3237775, 8.825737953186035, -4.476425647735596, -0.7435559630393982, 2.4748594760894775, -5.890307426452637, 2.805148124694824, 
24, 1688909254, 0.57989764, -0.63620585, -0.3929391, -0.3233573, 8.821308135986328, -4.47562837600708, -0.711922824382782, -2.9163007736206055, -5.113832473754883, 3.6071457862854004, 
25, 1688925921, 0.5791405, -0.6373914, -0.3922207, -0.32325152, 8.76686954498291, -4.621275901794434, -1.034494400024414, -7.636557102203369, -4.7130584716796875, 4.461983680725098, 
