sep=,
DeviceTag:,R Lower Leg - 3,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:36:09.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1678883548, 0.55138767, 0.26965955, -0.7338432, 0.2910827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1678900215, 0.55086976, 0.26946566, -0.7343172, 0.29104814, 9.63813304901123, -1.3230797052383423, -2.323108196258545, 1.455665946006775, -1.6243319511413574, 0.3879363536834717, 
2, 1678916882, 0.5498276, 0.2695748, -0.73510313, 0.29093406, 9.637307167053223, -1.34221351146698, -2.466287851333618, 1.5286237001419067, -2.0259006023406982, 0.4750579595565796, 
3, 1678933549, 0.5480464, 0.27012277, -0.73628575, 0.29079592, 9.655835151672363, -1.359503149986267, -2.507535696029663, 1.8377046585083008, -1.859507441520691, 0.5475803017616272, 
4, 1678950216, 0.54636335, 0.27059972, -0.7374203, 0.29064438, 9.65340518951416, -1.3486300706863403, -2.5345613956451416, 1.7353180646896362, -1.5865658521652222, 0.541638195514679, 
5, 1678966883, 0.5447696, 0.2714723, -0.73822236, 0.29078612, 9.62285327911377, -1.4288684129714966, -2.4785773754119873, 1.2525826692581177, -1.613433599472046, 0.5538169741630554, 
6, 1678983550, 0.54356354, 0.27191198, -0.73886764, 0.29099366, 9.688287734985352, -1.4523513317108154, -2.5062336921691895, 0.9133681058883667, -1.4362064599990845, 0.5827593803405762, 
7, 1679000217, 0.542615, 0.2721456, -0.73937875, 0.29124707, 9.67687702178955, -1.3571194410324097, -2.511448383331299, 0.6619794368743896, -1.185189127922058, 0.6360465884208679, 
8, 1679016884, 0.54185325, 0.27247947, -0.7397305, 0.2914602, 9.627812385559082, -1.3372998237609863, -2.4460208415985107, -0.3697192668914795, -1.0279912948608398, 0.6763225197792053, 
9, 1679033551, 0.5412798, 0.27277282, -0.73999405, 0.291582, 9.598252296447754, -1.3516838550567627, -2.4297330379486084, -0.656069278717041, -1.209892749786377, 0.5920183658599854, 
10, 1679050218, 0.540787, 0.27310425, -0.74017674, 0.2917225, 9.628905296325684, -1.402334451675415, -2.4828150272369385, -0.520424485206604, -1.436372995376587, 0.493742436170578, 
11, 1679066885, 0.5403525, 0.2733408, -0.7403526, 0.29185987, 9.67404556274414, -1.425864815711975, -2.52573823928833, -0.0678352415561676, -1.4513821601867676, 0.5680192708969116, 
12, 1679083552, 0.54000306, 0.27345833, -0.74052054, 0.29197028, 9.640406608581543, -1.3538768291473389, -2.4931857585906982, -0.08120507001876831, -1.0709567070007324, 0.6412075757980347, 
13, 1679100219, 0.53966, 0.2736432, -0.74065936, 0.29207927, 9.59738826751709, -1.359814167022705, -2.483083963394165, -0.2545006275177002, -1.229909062385559, 0.5722966194152832, 
14, 1679116886, 0.5393429, 0.2738363, -0.74077487, 0.292191, 9.61544418334961, -1.390584111213684, -2.482099771499634, 0.1328466534614563, -1.253408670425415, 0.4777088165283203, 
15, 1679133553, 0.5390523, 0.27396047, -0.7409138, 0.29225865, 9.67812728881836, -1.4090381860733032, -2.474224090576172, 0.06813618540763855, -1.3868380784988403, 0.5371559858322144, 
16, 1679150220, 0.5388507, 0.27390832, -0.7410904, 0.2922316, 9.647811889648438, -1.436729073524475, -2.4921202659606934, 0.24455644190311432, -1.3099870681762695, 0.5642797946929932, 
17, 1679166887, 0.53862345, 0.27403405, -0.74116176, 0.2923518, 9.63060188293457, -1.380295991897583, -2.5602617263793945, -0.14930923283100128, -0.929228663444519, 0.528217077255249, 
18, 1679183554, 0.53847283, 0.27402982, -0.7412671, 0.29236603, 9.564064025878906, -1.444115400314331, -2.604681968688965, -0.1271926611661911, -0.7343032360076904, 0.4491378664970398, 
19, 1679200221, 0.53826165, 0.27421317, -0.7412855, 0.2925359, 9.632913589477539, -1.4426891803741455, -2.6402721405029297, 0.7146775722503662, -0.5531575083732605, 0.20790471136569977, 
20, 1679216888, 0.5380509, 0.27443585, -0.74126375, 0.2927701, 9.680023193359375, -1.3429620265960693, -2.5964858531951904, 1.064291000366211, -0.2282859981060028, 0.20023368299007416, 
21, 1679233555, 0.53798455, 0.27442417, -0.74130833, 0.29279006, 9.60037899017334, -1.3313647508621216, -2.586831569671631, -0.23385673761367798, 0.17871901392936707, 0.28169482946395874, 
22, 1679250222, 0.5378722, 0.27454665, -0.74129885, 0.2929058, 9.585441589355469, -1.4042977094650269, -2.5979461669921875, 0.08984295278787613, 0.18800362944602966, 0.2640092968940735, 
23, 1679266889, 0.53776705, 0.27472338, -0.74123734, 0.2930887, 9.627071380615234, -1.3494038581848145, -2.4716298580169678, 1.0482189655303955, 0.39997434616088867, 0.032829076051712036, 
24, 1679283556, 0.5376424, 0.2749737, -0.7411505, 0.29330206, 9.63599967956543, -1.2940514087677002, -2.4314115047454834, 1.2785155773162842, 0.22638428211212158, -0.10951991379261017, 
25, 1679300223, 0.53752166, 0.27521715, -0.7410677, 0.29350424, 9.616065979003906, -1.3230637311935425, -2.412693500518799, 1.572382926940918, 0.03571050614118576, -0.12826839089393616, 
26, 1679316890, 0.53742564, 0.27536842, -0.7410193, 0.2936604, 9.627270698547363, -1.385610580444336, -2.477928638458252, 1.83975350856781, -0.12262078374624252, -0.015803035348653793, 
27, 1679333557, 0.53728575, 0.27565348, -0.7408999, 0.29395005, 9.613104820251465, -1.378328800201416, -2.5293521881103516, 2.547778367996216, -0.05422208085656166, -0.07937374711036682, 
28, 1679350224, 0.5371576, 0.27589855, -0.7407983, 0.29421023, 9.629039764404297, -1.3276219367980957, -2.4988045692443848, 2.3463985919952393, -0.061918705701828, -0.016276871785521507, 
29, 1679366891, 0.5370396, 0.2761357, -0.7407034, 0.29444215, 9.646193504333496, -1.3322080373764038, -2.5220420360565186, 1.9169632196426392, -0.06528677046298981, 0.004232498351484537, 
30, 1679383558, 0.5369271, 0.27642602, -0.740581, 0.29468274, 9.643621444702148, -1.3632593154907227, -2.489999532699585, 1.9253257513046265, 0.005269812885671854, -0.1976659893989563, 
31, 1679400225, 0.53681946, 0.27663928, -0.7404998, 0.2948827, 9.63273811340332, -1.3814129829406738, -2.4682230949401855, 1.7415289878845215, -0.12805068492889404, 0.011762632057070732, 
32, 1679416892, 0.5367216, 0.27685037, -0.7404249, 0.29505077, 9.653031349182129, -1.2970938682556152, -2.4762299060821533, 0.7976626753807068, -0.08285707980394363, 0.08163407444953918, 
33, 1679433559, 0.5367059, 0.27687037, -0.74043125, 0.29504454, 9.627206802368164, -1.2732839584350586, -2.4981486797332764, -0.2590980529785156, -0.05769260227680206, 0.21269425749778748, 
34, 1679450226, 0.53671855, 0.2768406, -0.74045455, 0.29499075, 9.582193374633789, -1.3274238109588623, -2.4811153411865234, -0.744676411151886, 0.023723764345049858, 0.2962300777435303, 
35, 1679466893, 0.53672636, 0.27678967, -0.7404962, 0.29491988, 9.624521255493164, -1.3759279251098633, -2.5380377769470215, -0.14710654318332672, -0.18423216044902802, 0.18738892674446106, 
36, 1679483560, 0.53668797, 0.27683148, -0.74049014, 0.2949658, 9.630093574523926, -1.3258826732635498, -2.5235116481781006, 0.4008963704109192, -0.11588466167449951, 0.2857416868209839, 
37, 1679500227, 0.53667736, 0.27681363, -0.7404988, 0.29498023, 9.637260437011719, -1.3004984855651855, -2.529451370239258, -0.27328750491142273, 0.06405095756053925, 0.5081368088722229, 
38, 1679516894, 0.53662837, 0.27689153, -0.7404716, 0.29506427, 9.628083229064941, -1.386608600616455, -2.5733964443206787, -0.5826248526573181, 0.11252298206090927, 0.6075140237808228, 
39, 1679533561, 0.5366689, 0.2768716, -0.7404337, 0.29510435, 9.663310050964355, -1.3699265718460083, -2.641561269760132, -0.15874750912189484, 0.5708237886428833, 0.4244984984397888, 
40, 1679550228, 0.5367229, 0.2768849, -0.7403532, 0.29519567, 9.609515190124512, -1.3483363389968872, -2.5866355895996094, 0.3446124792098999, 0.8513469696044922, 0.3140437602996826, 
41, 1679566895, 0.53677976, 0.27691075, -0.7402539, 0.29531705, 9.61898136138916, -1.3111042976379395, -2.4996752738952637, 0.4884277284145355, 0.998709499835968, 0.34078338742256165, 
42, 1679583562, 0.5367976, 0.2769707, -0.74017364, 0.2954296, 9.621664047241211, -1.3056195974349976, -2.42232608795166, 0.4056987464427948, 0.6643614172935486, 0.3121483623981476, 
43, 1679600229, 0.53682476, 0.27697754, -0.7401243, 0.2954976, 9.616639137268066, -1.2911324501037598, -2.413081645965576, 0.041998427361249924, 0.5697097778320312, 0.4285581111907959, 
44, 1679616896, 0.53686464, 0.27688673, -0.74013406, 0.29548565, 9.638351440429688, -1.3322265148162842, -2.459808111190796, -0.08769787847995758, 0.3220476508140564, 0.525937557220459, 
45, 1679633563, 0.5368717, 0.2768606, -0.74012786, 0.29551303, 9.652819633483887, -1.3476148843765259, -2.4799742698669434, -0.2688564658164978, 0.24883374571800232, 0.5653811097145081, 
46, 1679650230, 0.5368888, 0.2767921, -0.7401337, 0.2955315, 9.607227325439453, -1.3394148349761963, -2.4516940116882324, -0.2741455137729645, 0.27967146039009094, 0.6832891702651978, 
47, 1679666897, 0.5369325, 0.2767013, -0.7401481, 0.29550076, 9.64248275756836, -1.3443506956100464, -2.509399890899658, -0.775053083896637, 0.34036073088645935, 0.6027116179466248, 
48, 1679683564, 0.5369636, 0.27665657, -0.74014115, 0.29550362, 9.600024223327637, -1.3631644248962402, -2.549034833908081, -0.5425153970718384, 0.3509387671947479, 0.5216090083122253, 
49, 1679700231, 0.53708506, 0.27638832, -0.7402099, 0.29536167, 9.612165451049805, -1.3661284446716309, -2.5300564765930176, -0.5289534330368042, 0.4437592029571533, 0.5851284861564636, 
50, 1679716898, 0.53714085, 0.27632788, -0.7401851, 0.295379, 9.639663696289062, -1.3714302778244019, -2.557917594909668, -0.3640460968017578, 0.5946692824363708, 0.5110821723937988, 
51, 1679733565, 0.53724277, 0.27618796, -0.74017155, 0.2953585, 9.62547779083252, -1.3675917387008667, -2.532419204711914, -0.2569594085216522, 0.7845617532730103, 0.5166017413139343, 
52, 1679750232, 0.5372967, 0.27617088, -0.7401133, 0.29542226, 9.635381698608398, -1.320978045463562, -2.5080063343048096, -0.3839600086212158, 0.7955623865127563, 0.516921877861023, 
53, 1679766899, 0.53736883, 0.27606392, -0.74010044, 0.29542324, 9.62571907043457, -1.3447842597961426, -2.461087942123413, -0.4618866443634033, 0.682226300239563, 0.6150954365730286, 
54, 1679783566, 0.5374179, 0.2760058, -0.74007374, 0.29545504, 9.646265983581543, -1.3345527648925781, -2.4465322494506836, -0.34090501070022583, 0.6087689995765686, 0.5756902098655701, 
55, 1679800233, 0.53751093, 0.27585325, -0.7400883, 0.29539198, 9.637965202331543, -1.3172345161437988, -2.5034594535827637, -0.9211096167564392, 0.6204100251197815, 0.587817907333374, 
56, 1679816900, 0.5376057, 0.27569202, -0.7400962, 0.29535007, 9.617415428161621, -1.3881630897521973, -2.5443389415740967, -0.7297057509422302, 0.6979780197143555, 0.6714945435523987, 
57, 1679833567, 0.5376871, 0.27557176, -0.74007696, 0.2953625, 9.61331844329834, -1.3777496814727783, -2.5231053829193115, -0.3696296811103821, 0.7795929908752441, 0.6695351600646973, 
58, 1679850234, 0.5377946, 0.27547637, -0.74002814, 0.29537815, 9.621264457702637, -1.3407618999481201, -2.5401878356933594, -0.19497664272785187, 0.9740957617759705, 0.4258815348148346, 
59, 1679866901, 0.53786445, 0.27544516, -0.7399636, 0.29544175, 9.620854377746582, -1.3421282768249512, -2.5510945320129395, -0.06413419544696808, 0.8745263814926147, 0.44149249792099, 
60, 1679883568, 0.53797406, 0.27539814, -0.7398765, 0.29550388, 9.624604225158691, -1.4015367031097412, -2.547560453414917, 0.19470132887363434, 1.147762656211853, 0.302389919757843, 
61, 1679900235, 0.53804815, 0.27542832, -0.7397475, 0.29566422, 9.631877899169922, -1.4128508567810059, -2.5097663402557373, 0.9455888867378235, 1.1861435174942017, 0.3057580292224884, 
62, 1679916902, 0.53812796, 0.27546713, -0.7396149, 0.29581422, 9.650999069213867, -1.3222280740737915, -2.419616222381592, 0.8627189993858337, 1.2008577585220337, 0.2116057127714157, 
63, 1679933569, 0.5382368, 0.2754645, -0.7394982, 0.29591054, 9.645549774169922, -1.2744113206863403, -2.415287733078003, 0.39980781078338623, 1.256514310836792, 0.1867101937532425, 
64, 1679950236, 0.5383862, 0.27540565, -0.73940676, 0.29592186, 9.619368553161621, -1.3345106840133667, -2.444856643676758, 0.25430208444595337, 1.2210279703140259, -0.026073729619383812, 
65, 1679966903, 0.53847486, 0.27541515, -0.73930824, 0.2959979, 9.573216438293457, -1.3639363050460815, -2.4577457904815674, 0.8098927736282349, 0.9413500428199768, 0.01936960406601429, 
66, 1679983570, 0.53849113, 0.2754999, -0.7391957, 0.29617056, 9.646799087524414, -1.3966001272201538, -2.450333833694458, 1.627834439277649, 0.6716738939285278, 0.14083783328533173, 
67, 1680000237, 0.53847903, 0.27562663, -0.7390635, 0.2964043, 9.686193466186523, -1.338767409324646, -2.392348289489746, 1.9483516216278076, 0.6618512868881226, 0.22911199927330017, 
68, 1680016904, 0.5384841, 0.27567086, -0.7389844, 0.29655117, 9.675735473632812, -1.3016279935836792, -2.4315478801727295, 0.94493567943573, 0.563895583152771, 0.42462652921676636, 
69, 1680033571, 0.53855115, 0.27559045, -0.7389456, 0.29660076, 9.6502685546875, -1.3197540044784546, -2.483642816543579, 0.31120067834854126, 0.7182888984680176, 0.5235939621925354, 
70, 1680050238, 0.5386229, 0.27556005, -0.73887235, 0.29668105, 9.587104797363281, -1.3734360933303833, -2.4589593410491943, 0.3633866012096405, 0.8806607127189636, 0.4015239179134369, 
71, 1680066905, 0.53866106, 0.27559817, -0.73876244, 0.29685, 9.61421012878418, -1.3609495162963867, -2.410015106201172, 1.3631781339645386, 0.8511291742324829, 0.3380299508571625, 
72, 1680083572, 0.53866583, 0.2756358, -0.7386751, 0.29702383, 9.639058113098145, -1.280276894569397, -2.3404345512390137, 1.3966927528381348, 0.6057595610618591, 0.47113925218582153, 
73, 1680100239, 0.53865725, 0.27557376, -0.7386742, 0.2970991, 9.656597137451172, -1.26022207736969, -2.3903305530548096, 0.3920600116252899, 0.22041647136211395, 0.8077412843704224, 
74, 1680116906, 0.5386656, 0.2755094, -0.7386627, 0.29717228, 9.641175270080566, -1.342379093170166, -2.50201678276062, 0.073899045586586, 0.38251930475234985, 0.8414604663848877, 
75, 1680133573, 0.538683, 0.2754719, -0.73861545, 0.29729307, 9.613320350646973, -1.3936767578125, -2.5453011989593506, 0.8499253988265991, 0.5474137663841248, 0.7011156678199768, 
76, 1680150240, 0.5386608, 0.27555656, -0.73851043, 0.29751563, 9.6166353225708, -1.3498855829238892, -2.49072527885437, 1.6556880474090576, 0.5684289932250977, 0.5173060297966003, 
77, 1680166907, 0.53862053, 0.27565998, -0.7384046, 0.2977554, 9.652054786682129, -1.3040968179702759, -2.4320738315582275, 1.3736538887023926, 0.5481821894645691, 0.6403750777244568, 
78, 1680183574, 0.5386308, 0.27558625, -0.73838437, 0.2978553, 9.652974128723145, -1.3136667013168335, -2.454010009765625, 0.41358742117881775, 0.4843425452709198, 0.918567419052124, 
79, 1680200241, 0.5386897, 0.27548975, -0.73833823, 0.29795253, 9.642911911010742, -1.330458164215088, -2.519845724105835, 0.1466134935617447, 0.8888054490089417, 0.9138162732124329, 
80, 1680216908, 0.5387194, 0.27547985, -0.738249, 0.2981287, 9.575130462646484, -1.370890498161316, -2.489107131958008, 1.2930892705917358, 0.8394243121147156, 0.6782947778701782, 
81, 1680233575, 0.5387424, 0.27558422, -0.73809636, 0.2983688, 9.703384399414062, -1.2099963426589966, -2.352419853210449, 1.8905823230743408, 0.9769772291183472, 0.3039395213127136, 
82, 1680250242, 0.53872716, 0.2757818, -0.73787993, 0.29874873, 9.590429306030273, -1.2633625268936157, -1.9542465209960938, 3.585822820663452, 1.017304539680481, 0.2119130939245224, 
83, 1680266909, 0.53842175, 0.27619058, -0.7377219, 0.29931137, 9.521048545837402, -1.1965395212173462, -1.610893964767456, 5.8363728523254395, -0.8187612295150757, 0.5041540265083313, 
84, 1680283576, 0.5377058, 0.27677143, -0.7377239, 0.30005646, 9.602740287780762, -0.949005126953125, -1.451845407485962, 6.722073554992676, -3.399036407470703, 1.7500584125518799, 
85, 1680300243, 0.53683585, 0.27704003, -0.73810136, 0.30043724, 9.703575134277344, -1.104186773300171, -1.8124573230743408, 4.1012282371521, -5.8350605964660645, 2.8402247428894043, 
86, 1680316910, 0.5359724, 0.27704063, -0.7386801, 0.30055597, 9.832388877868652, -1.45443594455719, -2.6435799598693848, 1.401239037513733, -6.549680233001709, 3.6161489486694336, 
87, 1680333577, 0.5351654, 0.27709565, -0.7391481, 0.3007929, 9.717828750610352, -1.6957521438598633, -3.309464454650879, 2.003265619277954, -5.6739182472229, 3.5266969203948975, 
88, 1680350244, 0.5347273, 0.27698871, -0.73944795, 0.30093333, 9.665628433227539, -1.585360050201416, -3.7388052940368652, 0.9330898523330688, -3.0123355388641357, 2.7951204776763916, 
89, 1680366911, 0.5344818, 0.27690616, -0.739543, 0.301212, 9.441286087036133, -1.4353562593460083, -3.4467296600341797, 1.4781023263931274, -0.9071376919746399, 2.4599907398223877, 
90, 1680383578, 0.53443503, 0.27670544, -0.7396134, 0.3013064, 9.56270694732666, -1.43172287940979, -3.0227677822113037, 0.3292320668697357, 0.08565527945756912, 1.782509446144104, 
91, 1680400245, 0.5344648, 0.276409, -0.7396806, 0.3013607, 9.724170684814453, -1.4422129392623901, -2.8771207332611084, -0.4664328694343567, 0.6716482639312744, 1.9841324090957642, 
92, 1680416912, 0.5346087, 0.27599883, -0.73969144, 0.30145445, 9.58781623840332, -1.3721705675125122, -2.6189684867858887, -1.2250298261642456, 1.8678380250930786, 2.480417013168335, 
93, 1680433579, 0.53477204, 0.2755288, -0.73973554, 0.30148646, 9.593424797058105, -1.4779952764511108, -2.5172312259674072, -2.314831256866455, 1.9323631525039673, 2.702550172805786, 
94, 1680450246, 0.5349957, 0.2750461, -0.73972386, 0.30155927, 9.581822395324707, -1.5185829401016235, -2.6174473762512207, -1.5999231338500977, 2.460676431655884, 2.542534589767456, 
95, 1680466913, 0.5352138, 0.27472505, -0.73957825, 0.30182227, 9.580201148986816, -1.4076004028320312, -2.674583911895752, 0.08936911821365356, 2.9841039180755615, 2.2127773761749268, 
96, 1680483580, 0.5355286, 0.27429736, -0.7394388, 0.30199465, 9.565650939941406, -1.3064258098602295, -2.6345229148864746, -0.37310025095939636, 3.4225804805755615, 2.0891191959381104, 
97, 1680500247, 0.535923, 0.27386078, -0.7392823, 0.30207393, 9.567290306091309, -1.427952527999878, -2.5633790493011475, -1.4614413976669312, 3.8216962814331055, 1.7270642518997192, 
98, 1680516914, 0.5362937, 0.27355838, -0.73905224, 0.302253, 9.646828651428223, -1.5491186380386353, -2.585658550262451, -0.9613919258117676, 4.0032267570495605, 1.500532865524292, 
