sep=,
DeviceTag:,R Upper Leg - 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:36:09.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1697582793, 0.5353181, -0.40451452, -0.64906096, -0.35850024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1697599460, 0.5355861, -0.40438202, -0.6493996, -0.3576352, 9.73149299621582, 0.26290106773376465, -1.6991970539093018, 2.67598295211792, 0.6573563814163208, 1.7755557298660278, 
2, 1697616127, 0.53578794, -0.40512255, -0.6489545, -0.35730267, 9.7394380569458, 0.23288854956626892, -1.6870297193527222, 3.4096455574035645, 1.6524609327316284, 1.7224091291427612, 
3, 1697632794, 0.5365438, -0.4052344, -0.6487535, -0.35640562, 9.720354080200195, 0.22776708006858826, -1.7086893320083618, 5.629665374755859, 1.9979379177093506, 1.53224778175354, 
4, 1697649461, 0.537245, -0.405189, -0.64875716, -0.3553927, 9.69461727142334, 0.20612560212612152, -1.6380921602249146, 5.681351184844971, 1.5425440073013306, 1.7038142681121826, 
5, 1697666128, 0.5379723, -0.40516326, -0.64866847, -0.35448274, 9.684054374694824, 0.12176301330327988, -1.6484017372131348, 6.6484246253967285, 0.792412281036377, 2.157172441482544, 
6, 1697682795, 0.5387424, -0.40527964, -0.64849293, -0.35350025, 9.68631649017334, 0.11624158918857574, -1.645833969116211, 7.688465595245361, 0.5764330625534058, 2.5478429794311523, 
7, 1697699462, 0.53957254, -0.4052127, -0.64846057, -0.35236818, 9.736394882202148, 0.16993103921413422, -1.6592637300491333, 8.063218116760254, 0.256517618894577, 2.50576114654541, 
8, 1697716129, 0.5402146, -0.40521854, -0.64834315, -0.35159308, 9.740782737731934, 0.24628807604312897, -1.6237667798995972, 5.6302666664123535, 0.6371479630470276, 2.3017430305480957, 
9, 1697732796, 0.5406622, -0.40529287, -0.64811647, -0.35123646, 9.734679222106934, 0.309231162071228, -1.7016502618789673, 4.427097797393799, 1.0094797611236572, 1.9375303983688354, 
10, 1697749463, 0.5410891, -0.40507734, -0.6481106, -0.3508385, 9.756458282470703, 0.355525404214859, -1.6046745777130127, 5.665952205657959, 1.1095550060272217, 1.419904112815857, 
11, 1697766130, 0.54137933, -0.4048174, -0.6481068, -0.35069796, 9.696810722351074, 0.3202808201313019, -1.6969692707061768, 4.191448211669922, 1.0780448913574219, 0.875832736492157, 
12, 1697782797, 0.5415645, -0.40454286, -0.64817387, -0.35060477, 9.756529808044434, 0.27381864190101624, -1.6927303075790405, 4.226588726043701, 0.8441368937492371, 0.500209629535675, 
13, 1697799464, 0.5416498, -0.40430716, -0.6482432, -0.35061714, 9.749813079833984, 0.2826184630393982, -1.7166783809661865, 2.8860390186309814, 0.7429220080375671, 0.12227503210306168, 
14, 1697816131, 0.5418647, -0.4038082, -0.6484929, -0.35039827, 9.714667320251465, 0.3229689300060272, -1.6837594509124756, 3.9300899505615234, 0.7935327291488647, -0.07845170795917511, 
15, 1697832798, 0.5419934, -0.4034656, -0.64861524, -0.3503673, 9.695897102355957, 0.3320584297180176, -1.6605885028839111, 3.3067209720611572, 1.1047332286834717, -0.08979811519384384, 
16, 1697849465, 0.541993, -0.40327537, -0.64864945, -0.3505233, 9.720719337463379, 0.28908419609069824, -1.6543638706207275, 0.9062604308128357, 0.9910002946853638, -0.061508893966674805, 
17, 1697866132, 0.5420468, -0.4029952, -0.6487155, -0.35063982, 9.74233627319336, 0.24063770473003387, -1.7176401615142822, 1.6520254611968994, 1.1929947137832642, -0.36192023754119873, 
18, 1697882799, 0.54204404, -0.40272662, -0.648825, -0.35075024, 9.717249870300293, 0.29319578409194946, -1.6621811389923096, 2.032258987426758, 0.8315739631652832, -0.7992570400238037, 
19, 1697899466, 0.5420134, -0.40245602, -0.6489495, -0.35087797, 9.70584487915039, 0.34049516916275024, -1.639223337173462, 1.0377241373062134, 0.6716290712356567, -0.8977378606796265, 
20, 1697916133, 0.5419786, -0.40223378, -0.6489863, -0.3511184, 9.732539176940918, 0.2552865743637085, -1.690025806427002, 0.28680458664894104, 1.1356606483459473, -0.8949334025382996, 
21, 1697932800, 0.54199904, -0.40195113, -0.64904696, -0.35129845, 9.75548267364502, 0.27329105138778687, -1.744797945022583, 1.014775037765503, 1.300804853439331, -1.0061500072479248, 
22, 1697949467, 0.54204565, -0.40160236, -0.6491454, -0.35144305, 9.729097366333008, 0.2943390905857086, -1.6667276620864868, 1.7071952819824219, 1.4209349155426025, -1.3233568668365479, 
23, 1697966134, 0.5421284, -0.4011731, -0.6493354, -0.35145497, 9.707904815673828, 0.35386618971824646, -1.6633657217025757, 2.9392812252044678, 1.0562868118286133, -1.4193404912948608, 
24, 1697982801, 0.54209787, -0.40081766, -0.6494818, -0.35163704, 9.70077896118164, 0.37558698654174805, -1.6319348812103271, 1.6671627759933472, 0.9984534978866577, -1.90936279296875, 
25, 1697999468, 0.5420383, -0.40047607, -0.649582, -0.3519327, 9.731429100036621, 0.32626914978027344, -1.6757169961929321, 0.915724515914917, 1.2849059104919434, -2.2062013149261475, 
26, 1698016135, 0.5420093, -0.40008226, -0.6497189, -0.35217285, 9.748435020446777, 0.45592445135116577, -1.6296253204345703, 2.046013355255127, 1.2750579118728638, -2.394134283065796, 
27, 1698032802, 0.54186904, -0.39965966, -0.6499242, -0.35248953, 9.745902061462402, 0.5193273425102234, -1.6174243688583374, 0.30818480253219604, 0.7397075891494751, -2.988412857055664, 
28, 1698049469, 0.5415529, -0.399524, -0.6499235, -0.35313007, 9.67337417602539, 0.374601274728775, -1.6371104717254639, -0.8927562236785889, 0.9400180578231812, -3.085702657699585, 
29, 1698066136, 0.54134923, -0.39915773, -0.65010136, -0.35352877, 9.727792739868164, 0.30592480301856995, -1.585594892501831, -0.3387535512447357, 0.6111125349998474, -3.1238527297973633, 
30, 1698082803, 0.5411719, -0.39890924, -0.65016687, -0.35395974, 9.738712310791016, 0.3653864860534668, -1.5635051727294922, 0.25521135330200195, 0.9474073052406311, -2.66418194770813, 
31, 1698099470, 0.54105055, -0.39862955, -0.6502354, -0.35433415, 9.756065368652344, 0.3934251070022583, -1.633435606956482, -0.20033611357212067, 1.0336644649505615, -2.3527631759643555, 
32, 1698116137, 0.5410112, -0.3983065, -0.650318, -0.3546058, 9.711021423339844, 0.36303383111953735, -1.6758315563201904, 0.7645967602729797, 1.171582579612732, -2.0531909465789795, 
33, 1698132804, 0.54098004, -0.39796028, -0.65044767, -0.35480392, 9.731184959411621, 0.4397929608821869, -1.6552813053131104, 1.6067743301391602, 0.9199185967445374, -2.0905981063842773, 
34, 1698149471, 0.54093367, -0.39769015, -0.65051496, -0.35505474, 9.729869842529297, 0.4518733024597168, -1.594213604927063, 0.8536073565483093, 1.0492498874664307, -1.8208709955215454, 
35, 1698166138, 0.5409422, -0.39738733, -0.65058804, -0.3552464, 9.73245620727539, 0.49043673276901245, -1.6434626579284668, 1.8529314994812012, 1.189588189125061, -1.7134000062942505, 
36, 1698182805, 0.54102373, -0.39695415, -0.65074265, -0.35532337, 9.740769386291504, 0.46686819195747375, -1.6101616621017456, 1.5517069101333618, 1.1682078838348389, -1.6327840089797974, 
37, 1698199472, 0.54099745, -0.3967361, -0.6507566, -0.3555815, 9.7382230758667, 0.474478155374527, -1.6799132823944092, 0.2912483811378479, 1.2031885385513306, -1.3970320224761963, 
38, 1698216139, 0.5409006, -0.39659622, -0.6507944, -0.3558156, 9.716666221618652, 0.5162615776062012, -1.6236706972122192, -0.16376759111881256, 0.5554305911064148, -1.1845104694366455, 
39, 1698232806, 0.54087484, -0.39646167, -0.65079147, -0.35600996, 9.728180885314941, 0.4832782745361328, -1.6348704099655151, 0.08692309260368347, 0.9044164419174194, -0.7257742285728455, 
40, 1698249473, 0.5409154, -0.39626095, -0.65082985, -0.35610166, 9.716394424438477, 0.4490041732788086, -1.6022717952728271, 0.6185146570205688, 0.9149560332298279, -0.5276088714599609, 
41, 1698266140, 0.54090005, -0.396192, -0.6507546, -0.356339, 9.733357429504395, 0.44037941098213196, -1.5303822755813599, -0.43690142035484314, 1.1741819381713867, -0.4133761525154114, 
42, 1698282807, 0.5408451, -0.39626467, -0.65055954, -0.35669762, 9.74647331237793, 0.46088218688964844, -1.6540924310684204, -0.9315723776817322, 1.433799147605896, -0.1850389689207077, 
43, 1698299474, 0.54075176, -0.39632103, -0.65042406, -0.35702354, 9.723650932312012, 0.4704539477825165, -1.5475434064865112, -1.3880163431167603, 0.9770604968070984, -0.29623648524284363, 
44, 1698316141, 0.5406147, -0.39648706, -0.65017176, -0.357506, 9.734707832336426, 0.46953076124191284, -1.5764265060424805, -2.0928902626037598, 1.3857558965682983, -0.32236143946647644, 
45, 1698332808, 0.54054904, -0.39639503, -0.65020734, -0.35764262, 9.714473724365234, 0.5126993656158447, -1.630038857460022, -0.06868045032024384, 0.2678704261779785, -0.5894890427589417, 
46, 1698349475, 0.54048306, -0.39629707, -0.6502144, -0.35783818, 9.732787132263184, 0.4909723699092865, -1.608899474143982, 0.06507545709609985, 0.5729880928993225, -0.8338086009025574, 
47, 1698366142, 0.54046017, -0.3961283, -0.6502627, -0.35797143, 9.721912384033203, 0.45260924100875854, -1.5930851697921753, 0.7993018627166748, 0.6169523000717163, -0.9308552145957947, 
48, 1698382809, 0.54043347, -0.39599672, -0.65028435, -0.3581184, 9.733363151550293, 0.4952112138271332, -1.5619685649871826, 0.6597062945365906, 0.6496790051460266, -0.7929691672325134, 
49, 1698399476, 0.5403871, -0.39594346, -0.6502444, -0.35831952, 9.736048698425293, 0.47184431552886963, -1.5880624055862427, -0.4683089852333069, 0.7207541465759277, -0.4709855318069458, 
50, 1698416143, 0.5404125, -0.3958576, -0.6502333, -0.3583963, 9.75050163269043, 0.41864487528800964, -1.6727997064590454, 0.287745863199234, 0.6674796342849731, -0.040897075086832047, 
51, 1698432810, 0.54041713, -0.3959007, -0.6501075, -0.35856974, 9.744379997253418, 0.4431411921977997, -1.5939182043075562, -0.19847920536994934, 0.9921077489852905, 0.2910883128643036, 
52, 1698449477, 0.54046476, -0.39586192, -0.650066, -0.358616, 9.71988582611084, 0.4786043167114258, -1.6456605195999146, -0.32024842500686646, 0.6745681166648865, 0.46841150522232056, 
53, 1698466144, 0.5404347, -0.395997, -0.649902, -0.35880962, 9.71600341796875, 0.4876171946525574, -1.608340859413147, -0.019235137850046158, 0.8478380441665649, 0.49041277170181274, 
54, 1698482811, 0.5404816, -0.39600876, -0.6498491, -0.35882148, 9.719969749450684, 0.5173641443252563, -1.554335117340088, 0.41433021426200867, 0.5389103889465332, 0.7079926133155823, 
55, 1698499478, 0.5404068, -0.39613974, -0.64974344, -0.35898113, 9.747319221496582, 0.5146632194519043, -1.6491730213165283, -1.0615054368972778, 0.2964029312133789, 0.5194127559661865, 
56, 1698516145, 0.5403546, -0.39623496, -0.64961356, -0.35918963, 9.738036155700684, 0.5056845545768738, -1.6142231225967407, -1.2871789932250977, 0.7119370102882385, 0.3200242817401886, 
