sep=,
DeviceTag:,Trunk - 8,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:36:09.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1708317526, 0.8221511, 0.08021082, -0.52475023, 0.20559908, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1708334193, 0.82207686, 0.08027934, -0.5247095, 0.20597322, 8.956483840942383, -0.8457407355308533, 4.347392559051514, 2.841914415359497, -1.582916021347046, 1.8743950128555298, 
2, 1708350860, 0.82176894, 0.08050065, -0.5249383, 0.20653197, 8.955365180969238, -0.8336899876594543, 4.3528971672058105, 2.7944931983947754, -1.7185484170913696, 2.1745760440826416, 
3, 1708367527, 0.82148015, 0.08082904, -0.5251032, 0.2071325, 8.940448760986328, -0.8223398923873901, 4.373172760009766, 2.693361520767212, -1.4566072225570679, 2.394717216491699, 
4, 1708384194, 0.82143044, 0.08085121, -0.5251443, 0.20721635, 8.916813850402832, -0.8342512845993042, 4.386101245880127, 2.800473928451538, -1.232547402381897, 2.605573892593384, 
5, 1708400861, 0.8213792, 0.08095452, -0.5250654, 0.20757921, 8.893838882446289, -0.8532562851905823, 4.379174709320068, 2.9418811798095703, -1.197675347328186, 2.8741226196289062, 
6, 1708417528, 0.8213821, 0.08092192, -0.5249685, 0.20782547, 8.88637924194336, -0.8548095226287842, 4.382468223571777, 3.219855546951294, -1.095992922782898, 2.8160202503204346, 
7, 1708434195, 0.8213185, 0.081049636, -0.52485734, 0.20830691, 8.876082420349121, -0.8604041337966919, 4.363963603973389, 3.5784342288970947, -1.2070242166519165, 2.7354557514190674, 
8, 1708450862, 0.8212138, 0.0812209, -0.52479935, 0.2087989, 8.894641876220703, -0.8642615079879761, 4.397066116333008, 3.7511274814605713, -1.4606796503067017, 2.5607388019561768, 
9, 1708467529, 0.8211415, 0.081254594, -0.5247773, 0.20912506, 8.916091918945312, -0.8709496855735779, 4.4077653884887695, 3.7102231979370117, -1.550759196281433, 2.7300896644592285, 
10, 1708484196, 0.8210647, 0.081142634, -0.52477205, 0.20948279, 8.871606826782227, -0.9160496592521667, 4.519987106323242, 2.2145066261291504, -1.2903168201446533, 3.052771806716919, 
11, 1708500863, 0.82095164, 0.081340216, -0.5247618, 0.20987462, 8.905381202697754, -0.8217269778251648, 4.185184955596924, 4.95873498916626, -2.4267396926879883, 2.353602647781372, 
12, 1708517530, 0.8208304, 0.08149255, -0.52472234, 0.21038854, 8.990324974060059, -0.8636181354522705, 4.440115928649902, 4.5871901512146, -1.0208197832107544, 3.198559045791626, 
13, 1708534197, 0.8208122, 0.081513815, -0.5245277, 0.2109348, 8.841771125793457, -0.9778777360916138, 4.519754409790039, 2.9455950260162354, 0.5318413376808167, 3.1266894340515137, 
14, 1708550864, 0.82073146, 0.08175536, -0.5244384, 0.21137756, 8.802788734436035, -0.8451032042503357, 4.2371721267700195, 4.596211910247803, -1.1475257873535156, 1.9888519048690796, 
15, 1708567531, 0.8204624, 0.08194229, -0.52471393, 0.21166636, 8.882037162780762, -0.8392285704612732, 4.488844394683838, 3.838031530380249, -3.5587568283081055, 2.188816785812378, 
16, 1708584198, 0.8202516, 0.08218558, -0.5248086, 0.21215314, 8.937249183654785, -0.8573917150497437, 4.4784345626831055, 4.172904968261719, -2.3867452144622803, 2.6154730319976807, 
17, 1708600865, 0.82016194, 0.08249089, -0.52468884, 0.21267697, 8.875429153442383, -0.8672928810119629, 4.472344875335693, 4.959726810455322, -0.8682577610015869, 2.4118006229400635, 
18, 1708617532, 0.8201814, 0.08266438, -0.52446383, 0.2130887, 8.91585636138916, -0.9145455956459045, 4.4731903076171875, 4.452275276184082, 0.13355103135108948, 2.331235885620117, 
19, 1708634199, 0.82015526, 0.08290689, -0.5242523, 0.21361555, 8.931244850158691, -0.8732659816741943, 4.458781719207764, 4.945102214813232, -0.11226046830415726, 2.598184823989868, 
20, 1708650866, 0.82010955, 0.0831059, -0.52409273, 0.21410392, 8.911665916442871, -0.8762876391410828, 4.462303638458252, 5.0832695960998535, -0.4483887553215027, 2.9104034900665283, 
21, 1708667533, 0.8200767, 0.083286226, -0.52390015, 0.21463063, 8.85195255279541, -0.868185818195343, 4.469541549682617, 4.690383434295654, -0.09080983698368073, 2.943085193634033, 
22, 1708684200, 0.820058, 0.08347361, -0.5236702, 0.2151901, 8.857213973999023, -0.900353193283081, 4.493553161621094, 4.628964424133301, 0.19995196163654327, 2.9512171745300293, 
23, 1708700867, 0.8200398, 0.083669774, -0.5234198, 0.21579215, 8.884696960449219, -0.8948068618774414, 4.509705543518066, 4.7593841552734375, 0.32836124300956726, 3.079357624053955, 
24, 1708717534, 0.82006454, 0.08376914, -0.5231429, 0.21633008, 8.926020622253418, -0.8906832337379456, 4.468644142150879, 5.024641036987305, 0.637301504611969, 3.487175226211548, 
25, 1708734201, 0.82003796, 0.08390916, -0.5228974, 0.2169682, 8.931979179382324, -0.8970255851745605, 4.512552261352539, 4.673691272735596, 0.4228145182132721, 3.5540828704833984, 
26, 1708750868, 0.82009494, 0.08396663, -0.52260077, 0.21744572, 8.899885177612305, -0.8818018436431885, 4.454800128936768, 5.100078582763672, 0.9242600202560425, 3.504624843597412, 
27, 1708767535, 0.8201068, 0.084038526, -0.52238536, 0.21789038, 8.840508460998535, -0.8897228837013245, 4.47389554977417, 5.011317253112793, 0.3163936734199524, 3.41965389251709, 
28, 1708784202, 0.820015, 0.08430597, -0.52220565, 0.21856132, 8.801149368286133, -0.9006738066673279, 4.509854316711426, 5.404357433319092, -0.24137413501739502, 3.4210121631622314, 
