sep=,
DeviceTag:,L Foot - 2,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:49:42.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2485177127, 0.9129011, 0.28570887, -0.29074115, 0.021249304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 2485193794, 0.912498, 0.2870724, -0.29069278, 0.020844053, 5.278342247009277, 5.085693836212158, 6.459585666656494, 3.5324971675872803, 0.28960922360420227, -1.2391681671142578, 
2, 2485210461, 0.9120477, 0.28859523, -0.29064813, 0.02013761, 5.277132987976074, 5.134043216705322, 6.485062122344971, 3.248042345046997, 0.2728969156742096, -0.8301972150802612, 
3, 2485227128, 0.9116556, 0.29015133, -0.29035136, 0.01981958, 5.281296253204346, 5.063902378082275, 6.481265544891357, 2.9300737380981445, 0.16738539934158325, -0.6120283007621765, 
4, 2485243795, 0.9114094, 0.29109046, -0.2901928, 0.019683117, 5.289384365081787, 5.082553863525391, 6.49240779876709, 2.7622082233428955, -0.03995581343770027, -0.5426946878433228, 
5, 2485260462, 0.911263, 0.29161337, -0.29014233, 0.019468404, 5.279548168182373, 5.120886325836182, 6.471912860870361, 2.222125768661499, -0.0811922624707222, -0.45745566487312317, 
6, 2485277129, 0.91115034, 0.29197934, -0.29014587, 0.019200334, 5.279269218444824, 5.101959228515625, 6.472893714904785, 1.684425711631775, -0.08591780066490173, -0.23296032845973969, 
7, 2485293796, 0.91107666, 0.29221633, -0.2901589, 0.018889977, 5.311819076538086, 5.077248573303223, 6.455010414123535, 1.5120264291763306, 0.16308243572711945, -0.22404706478118896, 
8, 2485310463, 0.91101825, 0.29245326, -0.29009372, 0.019039871, 5.295575141906738, 5.12069845199585, 6.447839736938477, 1.175744652748108, 0.35772618651390076, -0.01995229162275791, 
9, 2485327130, 0.9109905, 0.2925055, -0.29014403, 0.018803062, 5.277963161468506, 5.097654342651367, 6.495736122131348, 0.7312489151954651, 0.5657780766487122, 0.06759831309318542, 
10, 2485343797, 0.9109869, 0.29248726, -0.29018906, 0.01856083, 5.289693355560303, 5.106766700744629, 6.459012985229492, 0.5968335866928101, 0.5293697118759155, 0.2226192057132721, 
11, 2485360464, 0.91099584, 0.29244477, -0.29021248, 0.018425751, 5.277151584625244, 5.097436428070068, 6.457181930541992, 0.2590532600879669, 0.5468246936798096, 0.3666522204875946, 
12, 2485377131, 0.9110015, 0.29247382, -0.29015628, 0.018571442, 5.283116340637207, 5.073662757873535, 6.468827247619629, 0.1272374838590622, 0.41625118255615234, 0.3376201391220093, 
13, 2485393798, 0.9110233, 0.29228038, -0.2903111, 0.018115671, 5.291910648345947, 5.102839946746826, 6.486435413360596, 0.07972592860460281, 0.3477500379085541, 0.4337831139564514, 
14, 2485410465, 0.9110547, 0.29213902, -0.2903632, 0.017983876, 5.284626007080078, 5.082040786743164, 6.471458435058594, -0.26699957251548767, 0.331332266330719, 0.500017523765564, 
15, 2485427132, 0.9110949, 0.2919849, -0.29039574, 0.017922616, 5.271050453186035, 5.039741516113281, 6.495569229125977, -0.5292223691940308, 0.2786213457584381, 0.48777467012405396, 
16, 2485443799, 0.91114444, 0.2914484, -0.29086873, 0.016403487, 5.299678325653076, 4.995035171508789, 6.499910354614258, 0.17570950090885162, 0.3790743350982666, 0.2747538089752197, 
17, 2485460466, 0.91115254, 0.2913306, -0.29098526, 0.015974676, 5.243733882904053, 5.058470249176025, 6.510121822357178, 0.8110965490341187, 0.3966062366962433, 0.04403463006019592, 
18, 2485477133, 0.9111255, 0.29168156, -0.29066795, 0.016862517, 5.279983043670654, 5.0457444190979, 6.470305919647217, 1.1521552801132202, 0.3612223267555237, -0.048139069229364395, 
