sep=,
DeviceTag:,R Forearm - 9,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:49:42.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2501200937, 0.61921513, -0.62202436, -0.41811657, -0.23417263, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 2501217604, 0.61692554, -0.62537813, -0.41739234, -0.2325699, 8.162271499633789, -5.809134006500244, -1.6155083179473877, -18.98857879638672, -2.657846212387085, 8.042059898376465, 
2, 2501234271, 0.61277294, -0.62972, -0.41727945, -0.23203439, 7.992504119873047, -5.3864359855651855, -2.030907154083252, -16.399856567382812, -4.69048547744751, 7.048323154449463, 
3, 2501250938, 0.6063644, -0.63405466, -0.4201519, -0.23188268, 8.179550170898438, -5.081734657287598, -1.3269411325454712, -14.738518714904785, -4.812168598175049, 4.027247905731201, 
4, 2501267605, 0.6022125, -0.63531584, -0.42260054, -0.23478262, 7.939422607421875, -4.7983479499816895, -1.3142255544662476, -21.20241928100586, -0.8638153672218323, 1.544569969177246, 
5, 2501284272, 0.5986983, -0.63576204, -0.42469606, -0.23874788, 7.979734897613525, -5.011847972869873, -1.516892433166504, -27.315462112426758, 0.34041282534599304, -1.0926917791366577, 
6, 2501300939, 0.5955523, -0.6363129, -0.42620775, -0.24242683, 8.143362998962402, -5.475758075714111, -1.6693695783615112, -28.981815338134766, 1.8877577781677246, -2.588106870651245, 
7, 2501317606, 0.59313655, -0.6368767, -0.42733938, -0.24486385, 8.126625061035156, -5.489818572998047, -1.8588013648986816, -24.554948806762695, 1.1179903745651245, -3.2442524433135986, 
8, 2501334273, 0.5910194, -0.63762677, -0.4282266, -0.24647576, 8.256211280822754, -5.6919732093811035, -1.6370121240615845, -20.113924026489258, -0.3926176130771637, -3.4534800052642822, 
9, 2501350940, 0.58983856, -0.63801265, -0.42867446, -0.2475254, 8.430632591247559, -5.526889324188232, -1.3513820171356201, -15.712058067321777, 1.789259672164917, -2.5269761085510254, 
10, 2501367607, 0.58941287, -0.63763016, -0.42931142, -0.24841914, 7.820760250091553, -5.126046180725098, -2.3301591873168945, -8.421369552612305, 0.5436617732048035, -4.97177267074585, 
11, 2501384274, 0.5884472, -0.637617, -0.43058488, -0.2485381, 8.096802711486816, -5.343613147735596, -2.204746961593628, -5.976160526275635, -4.587030410766602, -5.284656524658203, 
12, 2501400941, 0.5880897, -0.6370565, -0.43207157, -0.24824151, 8.502808570861816, -5.1538496017456055, -1.5729670524597168, 0.9675263166427612, -3.0050361156463623, -5.703513145446777, 
13, 2501417608, 0.5873202, -0.6368361, -0.43303335, -0.2489517, 8.49330997467041, -4.254307270050049, -1.0917425155639648, -6.023018836975098, -0.1938241422176361, -6.487940788269043, 
14, 2501434275, 0.585128, -0.63792986, -0.43319824, -0.25101846, 8.341657638549805, -5.135448455810547, -1.751845121383667, -23.412628173828125, 0.14660097658634186, -4.386824131011963, 
15, 2501450942, 0.58339804, -0.63864225, -0.43356836, -0.25258923, 8.331327438354492, -5.684155464172363, -1.6899598836898804, -18.574865341186523, -0.3760461211204529, -4.057620048522949, 
16, 2501467609, 0.5828553, -0.63836944, -0.4339912, -0.25380316, 8.138198852539062, -5.306846618652344, -1.5323538780212402, -7.898983955383301, 2.5774643421173096, -5.459540367126465, 
17, 2501484276, 0.5816287, -0.63877827, -0.43397814, -0.25560433, 8.325579643249512, -4.790130138397217, -1.4802777767181396, -14.503575325012207, 2.242208242416382, -6.243396282196045, 
18, 2501500943, 0.5801651, -0.6395611, -0.43356493, -0.2576655, 8.519262313842773, -5.513915538787842, -1.5542558431625366, -19.314449310302734, 3.7982213497161865, -4.3167314529418945, 
19, 2501517610, 0.57948875, -0.6398073, -0.433415, -0.25882655, 8.362871170043945, -5.566293239593506, -2.034280776977539, -13.47262191772461, 3.615997076034546, -2.0717740058898926, 
20, 2501534277, 0.57876086, -0.64038527, -0.432875, -0.2599266, 8.375899314880371, -5.514850616455078, -1.6561957597732544, -11.588805198669434, 2.3476035594940186, -0.7571629881858826, 
