sep=,
DeviceTag:,R Lower Leg - 3,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:49:42.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2491516494, 0.49650663, 0.33476233, -0.7194035, 0.3519572, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 2491533161, 0.49679548, 0.33475477, -0.7189392, 0.35250562, 9.581818580627441, -1.7170912027359009, -2.554365634918213, 5.156061172485352, 0.4185819923877716, -0.19570665061473846, 
2, 2491549828, 0.49735877, 0.33472583, -0.7184411, 0.35275424, 9.589516639709473, -1.6555595397949219, -2.5702381134033203, 4.554444313049316, 0.5140789151191711, 0.00804879143834114, 
3, 2491566495, 0.49801055, 0.33495963, -0.7179804, 0.3525504, 9.529541969299316, -1.653768539428711, -2.6187546253204346, 3.7970895767211914, 0.6674350500106812, 0.08363188058137894, 
4, 2491583162, 0.49836236, 0.3351227, -0.71787745, 0.35210782, 9.58576488494873, -1.562488317489624, -2.610548496246338, 3.1257288455963135, 0.7535576224327087, 0.3486592471599579, 
5, 2491599829, 0.49869543, 0.33551973, -0.7177505, 0.35151654, 9.590686798095703, -1.6100308895111084, -2.5657742023468018, 1.4094347953796387, 0.6514269709587097, 0.4820758104324341, 
6, 2491616496, 0.49903956, 0.33578607, -0.7175901, 0.3511009, 9.519638061523438, -1.7990854978561401, -2.543790578842163, 1.1643468141555786, 0.8842591643333435, 0.5005682110786438, 
7, 2491633163, 0.49925825, 0.33559585, -0.7175805, 0.35099134, 9.54187297821045, -1.7851742506027222, -2.4806315898895264, 2.287271738052368, 0.8125565052032471, 0.4138692021369934, 
8, 2491649830, 0.49927, 0.3356194, -0.71737254, 0.3513772, 9.522018432617188, -1.7106925249099731, -2.4109222888946533, 3.741394519805908, 0.7042787671089172, 0.24417227506637573, 
9, 2491666497, 0.49930704, 0.33557802, -0.7171601, 0.3517974, 9.60906982421875, -1.5786621570587158, -2.324915885925293, 3.379704475402832, 0.3287069797515869, 0.5000430941581726, 
10, 2491683164, 0.49951982, 0.33543107, -0.71696436, 0.3520343, 9.595333099365234, -1.6320641040802002, -2.464427947998047, 1.6696213483810425, 0.035275090485811234, 0.8593508005142212, 
11, 2491699831, 0.49973252, 0.33528438, -0.71678174, 0.3522439, 9.54305648803711, -1.7596429586410522, -2.6394171714782715, 2.0991721153259277, 0.13831499218940735, 0.840218186378479, 
12, 2491716498, 0.49969786, 0.335357, -0.71658534, 0.35262334, 9.54814624786377, -1.7170689105987549, -2.5679452419281006, 3.1860342025756836, 0.060260284692049026, 0.7548255324363708, 
13, 2491733165, 0.49961236, 0.3355142, -0.71639174, 0.3529882, 9.588922500610352, -1.7341140508651733, -2.4708070755004883, 2.9609498977661133, 0.08352941274642944, 0.43972522020339966, 
14, 2491749832, 0.4994922, 0.33561403, -0.7162484, 0.3533541, 9.555469512939453, -1.7087595462799072, -2.3619017601013184, 3.538451910018921, -0.3000015616416931, 0.5972304940223694, 
15, 2491766499, 0.4994732, 0.33544803, -0.71623117, 0.35357362, 9.584118843078613, -1.6494559049606323, -2.321152925491333, 3.3978893756866455, -0.5516719818115234, 0.8860008716583252, 
16, 2491783166, 0.49919176, 0.33576268, -0.7160206, 0.35409862, 9.578609466552734, -1.6682003736495972, -2.4233014583587646, 2.6366546154022217, -0.9974225759506226, 1.2137924432754517, 
17, 2491799833, 0.49902034, 0.33578727, -0.7159529, 0.35445362, 9.556032180786133, -1.7546418905258179, -2.480175018310547, 2.3708715438842773, -0.9722325205802917, 1.6207398176193237, 
18, 2491816500, 0.4987943, 0.33581373, -0.7159029, 0.35484752, 9.569206237792969, -1.7695218324661255, -2.5519566535949707, 2.4116854667663574, -1.019078016281128, 1.8794021606445312, 
19, 2491833167, 0.49853727, 0.33580306, -0.7158825, 0.35525942, 9.572089195251465, -1.7517684698104858, -2.571324110031128, 2.770685911178589, -0.9840527772903442, 2.081627130508423, 
20, 2491849834, 0.49829093, 0.33579332, -0.7158586, 0.3556621, 9.544608116149902, -1.788569688796997, -2.598332643508911, 2.462218999862671, -0.6944113969802856, 2.0565524101257324, 
21, 2491866501, 0.4980334, 0.3358099, -0.71582013, 0.35608438, 9.508299827575684, -1.8129119873046875, -2.634925603866577, 2.74208927154541, -0.5283514857292175, 1.9212404489517212, 
22, 2491883168, 0.49774647, 0.33580297, -0.7157751, 0.35658237, 9.516477584838867, -1.7389370203018188, -2.570295810699463, 3.3255343437194824, -0.2526565194129944, 2.2297585010528564, 
23, 2491899835, 0.49740487, 0.3358042, -0.7157815, 0.35704464, 9.610793113708496, -1.6314290761947632, -2.412393093109131, 2.279728651046753, -0.5425025820732117, 2.5896167755126953, 
24, 2491916502, 0.49721792, 0.33550417, -0.71595526, 0.357239, 9.628268241882324, -1.6528196334838867, -2.3681094646453857, -0.042926888912916183, -0.47375816106796265, 3.1021785736083984, 
25, 2491933169, 0.49723017, 0.3349424, -0.71624196, 0.35717413, 9.583940505981445, -1.4855483770370483, -2.325779438018799, -2.8951315879821777, 0.04011588916182518, 3.365604877471924, 
26, 2491949836, 0.4976995, 0.333751, -0.71684384, 0.35642734, 9.579608917236328, -1.6395858526229858, -2.5016448497772217, -8.868041038513184, 0.8222383260726929, 3.5965044498443604, 
27, 2491966503, 0.49817997, 0.33266607, -0.71734047, 0.35577068, 9.542431831359863, -1.9028191566467285, -2.85783052444458, -9.080638885498047, 1.455077052116394, 3.505899429321289, 
28, 2491983170, 0.49885845, 0.33117786, -0.718032, 0.3548123, 9.71402645111084, -1.646849274635315, -2.952239990234375, -12.259424209594727, 2.213297128677368, 4.133520603179932, 
29, 2491999837, 0.49982947, 0.32923007, -0.71901834, 0.35325757, 9.639657020568848, -1.6040985584259033, -3.070359706878662, -18.495529174804688, 2.727839231491089, 4.48652458190918, 
30, 2492016504, 0.50098723, 0.3271203, -0.7200673, 0.35143593, 9.453836441040039, -1.9377610683441162, -3.1042537689208984, -21.56879425048828, 3.6325523853302, 4.3151960372924805, 
31, 2492033171, 0.5021796, 0.32511675, -0.72095466, 0.3497702, 9.435552597045898, -2.0453786849975586, -2.8821792602539062, -19.6429443359375, 4.636641502380371, 3.623030662536621, 
32, 2492049838, 0.5032119, 0.32347262, -0.7216076, 0.34846216, 9.528118133544922, -1.9735198020935059, -2.637359857559204, -16.251224517822266, 4.79974889755249, 2.9050469398498535, 
33, 2492066505, 0.50423187, 0.3218194, -0.7222389, 0.3472084, 9.524580001831055, -1.8602089881896973, -2.4753777980804443, -15.184081077575684, 4.78364372253418, 2.809760570526123, 
34, 2492083172, 0.50538677, 0.3199089, -0.7229703, 0.34576973, 9.520920753479004, -1.7410459518432617, -2.4347646236419678, -15.739339828491211, 4.877616882324219, 2.823591709136963, 
35, 2492099839, 0.5063417, 0.31827596, -0.72361106, 0.34453663, 9.52762508392334, -1.8074945211410522, -2.4019155502319336, -15.333158493041992, 4.309321403503418, 3.0287747383117676, 
