sep=,
DeviceTag:,Trunk - 8,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:49:42.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2520965633, 0.7973413, 0.14079179, -0.52099985, 0.27015498, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 2520982300, 0.7967967, 0.14148535, -0.5211912, 0.2710296, 9.063403129577637, -0.5912434458732605, 4.139990329742432, 3.8154795169830322, -0.9772399067878723, 2.6349258422851562, 
2, 2520998967, 0.79640365, 0.14169788, -0.52138305, 0.27170372, 9.047170639038086, -0.6095143556594849, 4.184110164642334, 3.8827385902404785, -0.16059164702892303, 2.4209957122802734, 
3, 2521015634, 0.7960491, 0.14207849, -0.5211358, 0.27301466, 8.999964714050293, -0.6143803000450134, 4.139223575592041, 4.856213092803955, 0.1978261023759842, 2.4679181575775146, 
4, 2521032301, 0.79585236, 0.14211813, -0.52104443, 0.27374116, 8.945778846740723, -0.5738458633422852, 4.225915431976318, 5.5464630126953125, -0.2491987943649292, 2.776372194290161, 
5, 2521048968, 0.7957925, 0.14238681, -0.5205768, 0.27466375, 9.005090713500977, -0.5518794655799866, 4.205145835876465, 6.186358451843262, -0.07809314131736755, 3.0925228595733643, 
6, 2521065635, 0.7957369, 0.14271656, -0.5201154, 0.2755268, 9.01104736328125, -0.5468886494636536, 4.279366493225098, 5.933150768280029, 0.13447311520576477, 3.5112903118133545, 
7, 2521082302, 0.7957582, 0.14297262, -0.51961833, 0.27626923, 9.023911476135254, -0.556225061416626, 4.236828804016113, 5.961389064788818, 0.1693703979253769, 3.890576124191284, 
8, 2521098969, 0.795751, 0.1432655, -0.5191481, 0.27702126, 9.052948951721191, -0.5871015787124634, 4.280112266540527, 6.248366832733154, 0.3854648172855377, 4.013594150543213, 
9, 2521115636, 0.79581755, 0.1434747, -0.51862794, 0.27769467, 9.072211265563965, -0.6082301735877991, 4.333000183105469, 6.734586238861084, 1.1480063199996948, 4.01173734664917, 
