sep=,
DeviceTag:,forearm - 7,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-06 18:26:22.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1992930987, 0.087487414, 0.57693285, -0.41693297, 0.6968954, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1992947654, 0.08782148, 0.57731366, -0.4174627, 0.6962192, 8.753129959106445, -4.745638847351074, -0.2165796309709549, -1.703948974609375, -2.660198926925659, 0.6248153448104858, 
2, 1992964321, 0.0879825, 0.5781213, -0.41779068, 0.69533163, 8.734556198120117, -4.897299289703369, -0.23131097853183746, -0.5861467123031616, -2.9498531818389893, 0.584744393825531, 
3, 1992980988, 0.08743256, 0.5782953, -0.41866192, 0.69473207, 8.728078842163086, -4.920351505279541, -0.16365806758403778, 4.171150207519531, -3.663231134414673, 0.9188364148139954, 
4, 1992997655, 0.085936524, 0.5784388, -0.41885984, 0.69467986, 8.768572807312012, -4.780022144317627, -0.13495409488677979, 6.280958652496338, -4.540415287017822, 1.544465184211731, 
5, 1993014322, 0.08494319, 0.5785474, -0.41889095, 0.6946928, 8.809762954711914, -4.618716716766357, 0.01382279023528099, 5.056222915649414, -4.979301452636719, 2.6983940601348877, 
6, 1993030989, 0.08451994, 0.5786411, -0.41873732, 0.69475913, 8.82465648651123, -4.669652462005615, -0.08288563787937164, 0.6077702641487122, -4.873790264129639, 3.906097650527954, 
7, 1993047656, 0.08432489, 0.57870954, -0.41870743, 0.6947437, 8.758282661437988, -4.871518135070801, -0.13100314140319824, 0.9601243138313293, -5.297206878662109, 4.425831317901611, 
8, 1993064323, 0.0835397, 0.578844, -0.4185448, 0.6948245, 8.806621551513672, -4.795943260192871, -0.16551095247268677, 3.24147367477417, -5.335382461547852, 4.826515197753906, 
9, 1993080990, 0.08263519, 0.57907915, -0.4183629, 0.69484633, 8.789697647094727, -4.807430744171143, -0.16250477731227875, 3.7629356384277344, -5.51495361328125, 4.809175968170166, 
10, 1993097657, 0.08174212, 0.5792953, -0.4181804, 0.69488156, 8.754094123840332, -4.813620090484619, -0.13893796503543854, 5.466704845428467, -5.765650272369385, 4.537924289703369, 
11, 1993114324, 0.0806027, 0.5796251, -0.41779682, 0.6949704, 8.755788803100586, -4.775660514831543, -0.12026838958263397, 6.8814239501953125, -6.066023349761963, 4.3825836181640625, 
12, 1993130991, 0.07928734, 0.58002144, -0.41718882, 0.6951562, 8.78823184967041, -4.6514573097229, -0.09325823932886124, 8.444964408874512, -6.01263427734375, 4.201220512390137, 
13, 1993147658, 0.07826802, 0.5803269, -0.41679677, 0.6952519, 8.732011795043945, -4.5828752517700195, -0.14470741152763367, 7.3244218826293945, -6.009291648864746, 4.270720481872559, 
14, 1993164325, 0.07690503, 0.58089226, -0.41603392, 0.69538885, 8.72260570526123, -4.673527717590332, -0.09365333616733551, 8.040335655212402, -6.157513618469238, 4.141658782958984, 
15, 1993180992, 0.07563798, 0.5813976, -0.41528952, 0.6955506, 8.735671043395996, -4.5808916091918945, -0.10647902637720108, 8.937318801879883, -6.242125988006592, 3.9030511379241943, 
16, 1993197659, 0.07455443, 0.58191764, -0.41461068, 0.69563746, 8.773919105529785, -4.587389945983887, -0.06547581404447556, 8.168885231018066, -6.331077575683594, 3.367284059524536, 
17, 1993214326, 0.07377188, 0.58234924, -0.4140903, 0.6956696, 8.891988754272461, -4.460258960723877, 0.0034048284869641066, 6.007376670837402, -5.38361120223999, 2.90791916847229, 
18, 1993230993, 0.07347601, 0.58270764, -0.4138437, 0.6955477, 8.853816986083984, -4.552439212799072, -0.08448726683855057, 2.150346517562866, -4.482799053192139, 2.1648175716400146, 
19, 1993247660, 0.07317908, 0.5831215, -0.41344672, 0.6954683, 8.800066947937012, -4.82116174697876, -0.21015237271785736, 3.025801420211792, -4.441037178039551, 1.5009362697601318, 
20, 1993264327, 0.07250379, 0.58358824, -0.4126604, 0.6956145, 8.808150291442871, -4.833189487457275, -0.19987621903419495, 7.746581077575684, -4.791022777557373, 1.3462485074996948, 
21, 1993280994, 0.071623676, 0.58408916, -0.41174462, 0.6958278, 8.764246940612793, -4.677031993865967, -0.16506338119506836, 9.585006713867188, -5.121492385864258, 1.4467213153839111, 
22, 1993297661, 0.07067395, 0.5846458, -0.41078773, 0.69602317, 8.734949111938477, -4.6884307861328125, -0.09538796544075012, 9.807343482971191, -5.391833782196045, 1.3439693450927734, 
23, 1993314328, 0.06987329, 0.5851339, -0.40999112, 0.6961634, 8.76750659942627, -4.598703861236572, -6.441602017730474E-4, 8.845573425292969, -5.261490821838379, 1.3002995252609253, 
24, 1993330995, 0.069308706, 0.5855461, -0.40950426, 0.69615984, 8.780288696289062, -4.592723846435547, -0.05883237347006798, 5.546322345733643, -4.806993007659912, 1.5465912818908691, 
25, 1993347662, 0.0689254, 0.58589906, -0.4092268, 0.6960639, 8.740548133850098, -4.696624755859375, -0.1309633105993271, 3.808615207672119, -4.646668910980225, 1.6145670413970947, 
26, 1993364329, 0.06827057, 0.58634174, -0.4087022, 0.69606394, 8.723368644714355, -4.829056739807129, -0.1393585056066513, 5.557015419006348, -4.796657562255859, 1.6165904998779297, 
27, 1993380996, 0.06747187, 0.58677626, -0.40804482, 0.69616145, 8.752052307128906, -4.743452072143555, -0.10063684731721878, 7.725483417510986, -5.026788234710693, 1.6263427734375, 
28, 1993397663, 0.066732146, 0.5872411, -0.40749407, 0.6961634, 8.788093566894531, -4.702898979187012, -0.10841869562864304, 6.118983745574951, -5.078512668609619, 1.557450771331787, 
29, 1993414330, 0.0660839, 0.5876753, -0.40708104, 0.69610053, 8.759444236755371, -4.804907321929932, -0.11834324896335602, 5.469573497772217, -5.293236255645752, 1.660618782043457, 
30, 1993430997, 0.06538448, 0.5881294, -0.4067105, 0.6959996, 8.703777313232422, -4.769866466522217, -0.1415751427412033, 4.93156623840332, -5.42626953125, 1.9020060300827026, 
31, 1993447664, 0.06451508, 0.58862966, -0.4062263, 0.6959406, 8.653484344482422, -4.874867916107178, -0.14751441776752472, 6.261557102203369, -5.838454723358154, 2.0517632961273193, 
32, 1993464331, 0.063589245, 0.5890308, -0.40581742, 0.695925, 8.733983039855957, -4.693523406982422, -0.10180661082267761, 6.371589660644531, -5.43450403213501, 2.7759499549865723, 
33, 1993480998, 0.062877044, 0.58935416, -0.40563732, 0.69582087, 8.653413772583008, -4.759618759155273, -0.19735896587371826, 4.589745998382568, -5.174925327301025, 2.8207786083221436, 
