sep=,
DeviceTag:,upper arm - 6,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-06 18:26:21.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2292565372, 0.11954152, -0.7013706, -0.16270873, -0.6836048, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 2292582039, 0.118852034, -0.7017194, -0.1616707, -0.68361306, 9.913437843322754, 0.5718417167663574, -0.27658072113990784, 0.19737787544727325, -4.590577602386475, 2.275426149368286, 
2, 2292598706, 0.118620634, -0.70161825, -0.16122599, -0.683862, 9.940248489379883, 0.5977407097816467, -0.252212792634964, 0.8094574213027954, -4.596096515655518, 2.661242723464966, 
3, 2292615373, 0.118472554, -0.70127887, -0.1609797, -0.6842937, 9.92078971862793, 0.6752832531929016, -0.22634656727313995, 0.9436296224594116, -3.983095645904541, 3.2181146144866943, 
4, 2292632040, 0.11840699, -0.70086753, -0.16110909, -0.68469596, 9.911202430725098, 0.7302079796791077, -0.28180670738220215, -0.09872414916753769, -3.8577723503112793, 4.308779716491699, 
5, 2292648707, 0.1184458, -0.70063156, -0.1614712, -0.6848454, 9.92263412475586, 0.7099946141242981, -0.32062020897865295, -0.9039492011070251, -3.4693307876586914, 5.322903156280518, 
6, 2292665374, 0.11813559, -0.7006584, -0.16123891, -0.6849261, 9.878607749938965, 0.6612489223480225, -0.3031187653541565, -1.3615071773529053, -2.5988826751708984, 5.978613376617432, 
7, 2292682041, 0.11819204, -0.70068914, -0.16116013, -0.6849035, 9.836421012878418, 0.5514300465583801, -0.3230956494808197, -0.9738845825195312, -2.124342918395996, 5.699075698852539, 
8, 2292698708, 0.11843976, -0.7007381, -0.16119745, -0.68480223, 9.824389457702637, 0.47980940341949463, -0.3404366970062256, 0.813145637512207, -1.7749601602554321, 4.166207313537598, 
9, 2292715375, 0.11883643, -0.7008497, -0.16136114, -0.6845804, 9.811837196350098, 0.4504699110984802, -0.3268502652645111, 2.6737163066864014, -2.0411529541015625, 2.8176980018615723, 
10, 2292732042, 0.119425066, -0.7010408, -0.16168892, -0.6842048, 9.89045238494873, 0.46334803104400635, -0.29301121830940247, 4.442747116088867, -2.888946056365967, 2.125962734222412, 
11, 2292748709, 0.12014081, -0.7011914, -0.16201381, -0.6838482, 9.94914436340332, 0.5018011927604675, -0.2703178822994232, 6.037035942077637, -2.5039877891540527, 2.146056652069092, 
