sep=,
DeviceTag:,L Forearm - 10,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-07 16:19:09.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2655249623, 0.31658193, -0.5600299, -0.31475, -0.6979077, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 2655266290, 0.31699875, -0.55959934, -0.31541637, -0.6977628, 9.70931625366211, 0.8823583722114563, 1.7104302644729614, 4.328540325164795, 1.6943764686584473, 0.033635884523391724, 
2, 2655282957, 0.31713626, -0.5591769, -0.31618437, -0.69769156, 9.749676704406738, 0.8838222622871399, 1.6849299669265747, 4.845852375030518, 1.7448203563690186, -0.16526596248149872, 
3, 2655299624, 0.31741568, -0.55883205, -0.31715256, -0.6974011, 9.797188758850098, 0.9091019630432129, 1.7244000434875488, 4.982086658477783, 1.8296113014221191, -0.352213054895401, 
4, 2655316291, 0.31764552, -0.55840605, -0.31797186, -0.6972648, 9.832738876342773, 0.9238584637641907, 1.7294094562530518, 4.633228778839111, 1.9272469282150269, -0.6004257798194885, 
5, 2655332958, 0.31774533, -0.5580442, -0.31856287, -0.69723916, 9.842663764953613, 0.8854848742485046, 1.7266031503677368, 3.866025924682617, 1.7684097290039062, -0.5517744421958923, 
6, 2655349625, 0.31793413, -0.55774045, -0.31901553, -0.69718915, 9.891898155212402, 0.8517394065856934, 1.7640470266342163, 3.2956695556640625, 1.62637460231781, -0.5947397351264954, 
7, 2655366292, 0.31822684, -0.5574539, -0.31929952, -0.69715476, 9.949464797973633, 0.8047672510147095, 1.7771155834197998, 2.7415385246276855, 1.6699031591415405, -0.5550398826599121, 
8, 2655382959, 0.31863552, -0.55722106, -0.3194229, -0.69709766, 9.999820709228516, 0.7577629685401917, 1.7802761793136597, 2.782480478286743, 1.7030971050262451, -0.15678812563419342, 
9, 2655399626, 0.31905076, -0.5570969, -0.3193226, -0.697053, 10.028943061828613, 0.7858651280403137, 1.8230122327804565, 2.7361342906951904, 1.7796921730041504, 0.3582000136375427, 
10, 2655416293, 0.31960428, -0.55697685, -0.31914675, -0.69697595, 9.980582237243652, 0.778636634349823, 1.8282159566879272, 2.078502655029297, 1.77975594997406, 1.0850883722305298, 
11, 2655432960, 0.32015896, -0.55690295, -0.3188499, -0.6969161, 9.93432331085205, 0.8258700966835022, 1.8126137256622314, 1.435124397277832, 1.7249832153320312, 1.6433428525924683, 
12, 2655449627, 0.32044634, -0.5570138, -0.31828701, -0.6969528, 9.895525932312012, 0.848757803440094, 1.8165308237075806, 0.1620323359966278, 1.3198031187057495, 2.203364372253418, 
13, 2655466294, 0.32069856, -0.55717856, -0.3176931, -0.69697636, 9.855727195739746, 0.8906654119491577, 1.7574541568756104, -1.2530245780944824, 0.8830554485321045, 2.4956438541412354, 
14, 2655482961, 0.3208011, -0.5574621, -0.31702077, -0.69700843, 9.845808029174805, 0.9284321069717407, 1.8021265268325806, -3.1350839138031006, 0.29468050599098206, 2.6501266956329346, 
15, 2655499628, 0.32054603, -0.557957, -0.3160765, -0.6971585, 9.831961631774902, 0.9357874393463135, 1.8038177490234375, -5.184842586517334, -0.3326449692249298, 2.8645565509796143, 
16, 2655516295, 0.32020488, -0.55853236, -0.31507418, -0.6973083, 9.813019752502441, 0.8892187476158142, 1.7709643840789795, -6.617489814758301, -0.8389312624931335, 3.0883796215057373, 
17, 2655532962, 0.31975135, -0.5592317, -0.31397283, -0.6974526, 9.773993492126465, 0.8535959124565125, 1.7786349058151245, -7.2321953773498535, -1.3785526752471924, 3.4893274307250977, 
18, 2655549629, 0.31937388, -0.55996656, -0.3128602, -0.69753605, 9.750114440917969, 0.8713164925575256, 1.7987481355667114, -7.447854995727539, -1.6235767602920532, 4.111511707305908, 
19, 2655566296, 0.31901097, -0.56071365, -0.31169868, -0.69762176, 9.722771644592285, 0.8681482076644897, 1.8078083992004395, -7.6676506996154785, -1.5679585933685303, 4.507484436035156, 
20, 2655582963, 0.31877136, -0.56140053, -0.31062436, -0.69765806, 9.724201202392578, 0.8667724132537842, 1.7540717124938965, -7.415467262268066, -1.5097280740737915, 4.692561149597168, 
21, 2655599630, 0.31859225, -0.5620332, -0.30962706, -0.6976739, 9.720940589904785, 0.8883723020553589, 1.7609893083572388, -6.752457618713379, -1.3406076431274414, 4.694290637969971, 
22, 2655616297, 0.31832895, -0.5626404, -0.3085901, -0.6977643, 9.714754104614258, 0.8912233710289001, 1.7439038753509521, -6.325377464294434, -0.9303558468818665, 4.5294084548950195, 
23, 2655632964, 0.31831595, -0.5631039, -0.3077736, -0.69775677, 9.7009859085083, 0.8884934186935425, 1.729434609413147, -5.228936672210693, -0.6493333578109741, 4.629093170166016, 
24, 2655649631, 0.31833944, -0.56349456, -0.30704162, -0.6977532, 9.725587844848633, 0.9039952754974365, 1.7588260173797607, -3.8732941150665283, -0.3104131519794464, 4.522197723388672, 
25, 2655666298, 0.3183887, -0.5638173, -0.3063704, -0.69776493, 9.722892761230469, 0.9279860854148865, 1.7485982179641724, -2.81817889213562, 0.03883526101708412, 4.4213995933532715, 
26, 2655682965, 0.31844628, -0.56408316, -0.30575275, -0.6977948, 9.696528434753418, 0.9230750799179077, 1.7744371891021729, -1.9951783418655396, 0.3255566656589508, 4.271705627441406, 
27, 2655699632, 0.31852698, -0.5643227, -0.3052155, -0.6977994, 9.710598945617676, 0.9264254570007324, 1.7795352935791016, -2.0796358585357666, 0.1690758615732193, 4.029946804046631, 
28, 2655716299, 0.31854084, -0.5645865, -0.30461636, -0.6978415, 9.738130569458008, 0.9205636978149414, 1.8110500574111938, -2.497366189956665, 0.20317916572093964, 4.034185886383057, 
29, 2655732966, 0.31855857, -0.5648416, -0.3040421, -0.6978773, 9.714550018310547, 0.8699741959571838, 1.8080720901489258, -2.9709577560424805, 0.1068369671702385, 3.8901526927948, 
30, 2655749633, 0.3185714, -0.56509334, -0.30346042, -0.6979209, 9.714089393615723, 0.8347685933113098, 1.8015820980072021, -3.076366901397705, 0.13830216228961945, 3.8794727325439453, 
31, 2655766300, 0.31850892, -0.56535906, -0.30280954, -0.698017, 9.720137596130371, 0.8151243329048157, 1.8331362009048462, -3.223690986633301, 0.296883225440979, 3.80633544921875, 
32, 2655782967, 0.31850806, -0.56557614, -0.30220294, -0.6981044, 9.664894104003906, 0.8030536770820618, 1.849369764328003, -3.3913521766662598, 0.45681533217430115, 3.7004334926605225, 
33, 2655799634, 0.31849143, -0.5657874, -0.3015791, -0.69821054, 9.644601821899414, 0.79107666015625, 1.809350848197937, -3.694453239440918, 0.5233764052391052, 3.601062774658203, 
34, 2655816301, 0.3184544, -0.56599486, -0.30094993, -0.69833094, 9.644268989562988, 0.7792029976844788, 1.7998607158660889, -3.9077301025390625, 0.5525107979774475, 3.4524710178375244, 
