sep=,
DeviceTag:,L Upper Leg - 6,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-07 16:19:09.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2655221081, 0.63059545, -0.23185098, -0.71616036, -0.18896784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 2655237748, 0.6300859, -0.23155044, -0.71674955, -0.18880239, 9.832059860229492, -0.15158788859844208, -1.3608167171478271, -0.30645594000816345, -3.148120880126953, 0.6819060444831848, 
2, 2655254415, 0.6294692, -0.23113924, -0.7174077, -0.188864, 9.830718994140625, -0.18455767631530762, -1.3924599885940552, -0.10725318640470505, -2.891648292541504, 0.6562421917915344, 
3, 2655271082, 0.62885624, -0.2308877, -0.7180692, -0.1886994, 9.761991500854492, -0.22541670501232147, -1.35155189037323, -0.5418366193771362, -2.621805429458618, 0.5030013918876648, 
4, 2655287749, 0.6284227, -0.23097658, -0.71847117, -0.1885048, 9.764552116394043, -0.2170824259519577, -1.342631459236145, -1.2801227569580078, -2.992715835571289, 0.28735530376434326, 
5, 2655304416, 0.6281347, -0.23109029, -0.7187456, -0.1882791, 9.811698913574219, -0.1817900687456131, -1.3924674987792969, -0.6654949188232422, -3.070054054260254, 0.2742159962654114, 
6, 2655321083, 0.6278399, -0.23118457, -0.7190218, -0.188092, 9.814284324645996, -0.16615888476371765, -1.3817471265792847, 0.322483092546463, -2.887037754058838, 0.35402512550354004, 
7, 2655337750, 0.6275764, -0.2311201, -0.7193228, -0.18789896, 9.793466567993164, -0.18720903992652893, -1.318501353263855, -0.48842135071754456, -2.823415994644165, 0.26102542877197266, 
8, 2655354417, 0.6274002, -0.23093124, -0.71959627, -0.18767275, 9.790593147277832, -0.18832816183567047, -1.320152759552002, -1.2446876764297485, -2.8909056186676025, 0.1156221404671669, 
9, 2655371084, 0.6271958, -0.23090759, -0.7197946, -0.18762441, 9.779643058776855, -0.1952962875366211, -1.2958861589431763, -1.7000941038131714, -3.020057439804077, 0.01751268282532692, 
