sep=,
DeviceTag:,Pelvis - 7,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-07 16:19:09.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2655367318, 0.77493685, 0.3140848, -0.5084823, 0.20559515, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 2655383985, 0.774701, 0.31398925, -0.5088654, 0.20568213, 9.127047538757324, 2.839083671569824, 2.8620033264160156, 0.5679680705070496, -3.967663288116455, 2.652355432510376, 
2, 2655400652, 0.77456915, 0.3143436, -0.50891215, 0.20552151, 9.172321319580078, 2.886664628982544, 2.9182918071746826, -0.24271878600120544, -3.5700135231018066, 2.818364143371582, 
3, 2655417319, 0.7746382, 0.31483987, -0.50858015, 0.20532416, 9.144259452819824, 2.8968403339385986, 2.849099636077881, -1.0479052066802979, -3.6762678623199463, 2.3701674938201904, 
4, 2655433986, 0.77472985, 0.31508088, -0.5086397, 0.20445958, 9.130918502807617, 2.8347294330596924, 2.770988702774048, -1.0262755155563354, -3.423931837081909, 1.7021114826202393, 
5, 2655450653, 0.7745467, 0.31541842, -0.5089281, 0.20391434, 9.088561058044434, 2.7472689151763916, 2.7576467990875244, -0.48342686891555786, -3.1316261291503906, 1.093053936958313, 
6, 2655467320, 0.77422833, 0.3155852, -0.5094532, 0.20355338, 9.111298561096191, 2.6903367042541504, 2.7882611751556396, -0.3890697658061981, -3.669480323791504, 0.7811810374259949, 
7, 2655483987, 0.7739306, 0.3154755, -0.51005036, 0.20336004, 9.150522232055664, 2.6362111568450928, 2.81015944480896, 0.11697959899902344, -3.2109615802764893, 1.1864889860153198, 
8, 2655500654, 0.77357256, 0.3153499, -0.5105837, 0.20357908, 9.180014610290527, 2.5987610816955566, 2.742471218109131, 1.1292318105697632, -2.86366605758667, 1.7039167881011963, 
9, 2655517321, 0.7730926, 0.31533304, -0.5111272, 0.20406327, 9.188820838928223, 2.5641655921936035, 2.7168941497802734, 2.0704476833343506, -2.959765672683716, 1.813052773475647, 
