sep=,
DeviceTag:,R Foot - 1,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-07 16:19:09.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2732232282, 0.35261822, -0.30860943, 0.09650157, -0.87812746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 2732248949, 0.35340706, -0.30861533, 0.095246784, -0.8779456, 4.765895843505859, -3.824885129928589, 7.925669193267822, 5.3274736404418945, -2.0460193157196045, 2.2945454120635986, 
2, 2732265616, 0.3538325, -0.30854142, 0.094055936, -0.8779283, 4.754035472869873, -3.8431804180145264, 7.898001194000244, 5.549741744995117, -1.9159457683563232, 2.2907555103302, 
3, 2732282283, 0.35463408, -0.3085732, 0.09305739, -0.87770027, 4.755601406097412, -3.8500258922576904, 7.883551120758057, 5.791013717651367, -1.8224977254867554, 2.4073703289031982, 
4, 2732298950, 0.35515612, -0.30859026, 0.09231091, -0.877562, 4.727569580078125, -3.8876731395721436, 7.878409385681152, 6.389185905456543, -1.6755192279815674, 2.1239402294158936, 
5, 2732315617, 0.3557394, -0.30854157, 0.09178012, -0.87739843, 4.731991291046143, -3.824551820755005, 7.9343767166137695, 6.659104347229004, -1.4367189407348633, 1.9698282480239868, 
6, 2732332284, 0.35622925, -0.3083361, 0.09116326, -0.8773364, 4.735549449920654, -3.8539888858795166, 7.923984050750732, 6.938679218292236, -1.401411771774292, 1.9535126686096191, 
7, 2732348951, 0.3567814, -0.30809048, 0.09049598, -0.8772673, 4.740122318267822, -3.845775604248047, 7.925597190856934, 7.220689296722412, -1.2184730768203735, 1.7336406707763672, 
8, 2732365618, 0.35730228, -0.30779836, 0.08975546, -0.87723386, 4.729541778564453, -3.874115228652954, 7.9048380851745605, 7.755917072296143, -1.0278633832931519, 1.4718660116195679, 
9, 2732382285, 0.3579175, -0.30747646, 0.08891352, -0.8771817, 4.730179786682129, -3.8670589923858643, 7.922084808349609, 8.55349063873291, -0.8716771602630615, 1.2562135457992554, 
10, 2732398952, 0.35855123, -0.30717096, 0.08805997, -0.877116, 4.731813430786133, -3.743846893310547, 7.966569900512695, 8.651605606079102, -0.9931069612503052, 1.281000018119812, 
11, 2732415619, 0.35917243, -0.30687356, 0.08718911, -0.877053, 4.732329368591309, -3.784022808074951, 7.966540813446045, 8.158260345458984, -1.1095356941223145, 1.4140900373458862, 
12, 2732432286, 0.3597701, -0.30657113, 0.08629835, -0.87700194, 4.739871025085449, -3.7553281784057617, 7.968107223510742, 8.16307544708252, -1.14528489112854, 1.3776816129684448, 
13, 2732448953, 0.36031622, -0.30629355, 0.08544792, -0.87695783, 4.741456031799316, -3.695706844329834, 7.981167793273926, 7.813270568847656, -1.2701852321624756, 1.5535129308700562, 
14, 2732465620, 0.36080384, -0.30607104, 0.08467111, -0.87691045, 4.7498393058776855, -3.7256479263305664, 7.987674236297607, 7.122232913970947, -1.5519888401031494, 1.8666346073150635, 
15, 2732482287, 0.36130857, -0.30589277, 0.08389727, -0.87683934, 4.739129543304443, -3.741940975189209, 7.944556713104248, 6.875697612762451, -1.7729495763778687, 1.926043152809143, 
16, 2732498954, 0.361841, -0.30573693, 0.083140835, -0.87674606, 4.717543601989746, -3.7355682849884033, 7.987485885620117, 6.705539703369141, -1.791326642036438, 2.0057241916656494, 
17, 2732515621, 0.36235094, -0.30563086, 0.08247246, -0.8766355, 4.747325420379639, -3.706361770629883, 7.995512008666992, 6.002663612365723, -1.9302756786346436, 2.062751054763794, 
18, 2732532288, 0.36289573, -0.30554768, 0.08181814, -0.87650067, 4.741581916809082, -3.7439260482788086, 7.980005264282227, 5.742143630981445, -1.974380612373352, 2.1295104026794434, 
19, 2732548955, 0.3634441, -0.3054787, 0.08117368, -0.8763573, 4.724710941314697, -3.7410824298858643, 7.995881080627441, 5.611499786376953, -1.9723447561264038, 2.032534599304199, 
20, 2732565622, 0.3639435, -0.3054129, 0.08059183, -0.8762268, 4.728703498840332, -3.736100673675537, 7.993813514709473, 5.368043899536133, -1.955875277519226, 2.1654062271118164, 
21, 2732582289, 0.36447227, -0.30537793, 0.080031894, -0.8760704, 4.73396110534668, -3.7157068252563477, 8.00082015991211, 5.101288318634033, -2.065600633621216, 2.2117912769317627, 
22, 2732598956, 0.36503646, -0.3053699, 0.07948352, -0.8758882, 4.742187023162842, -3.7411961555480957, 7.980955600738525, 4.930720329284668, -2.2041139602661133, 2.3494725227355957, 
23, 2732615623, 0.36553589, -0.3053696, 0.07895781, -0.8757276, 4.71072244644165, -3.7525057792663574, 7.989997386932373, 4.89819860458374, -2.261556625366211, 2.302658796310425, 
24, 2732632290, 0.36608744, -0.305395, 0.07846659, -0.8755324, 4.738771438598633, -3.733279228210449, 7.951745510101318, 4.60136079788208, -2.3328754901885986, 2.492295026779175, 
25, 2732648957, 0.3665901, -0.30541041, 0.07799179, -0.87535906, 4.724071502685547, -3.7954165935516357, 7.971000671386719, 4.6099019050598145, -2.24839186668396, 2.4303765296936035, 
26, 2732665624, 0.3671111, -0.30543238, 0.07750853, -0.875176, 4.74750280380249, -3.760793924331665, 7.993302822113037, 4.680938720703125, -2.2982211112976074, 2.4287116527557373, 
27, 2732682291, 0.36761498, -0.3054339, 0.07701186, -0.8750078, 4.732912540435791, -3.77250075340271, 7.965544700622559, 4.8980512619018555, -2.233696460723877, 2.4255292415618896, 
28, 2732698958, 0.3681274, -0.30543837, 0.07651969, -0.87483406, 4.735607147216797, -3.726315975189209, 7.996049880981445, 4.877004146575928, -2.2275173664093018, 2.4370739459991455, 
29, 2732715625, 0.36862737, -0.3054752, 0.07606992, -0.87464994, 4.727354526519775, -3.743724822998047, 7.976572036743164, 4.554502010345459, -2.37156343460083, 2.5542140007019043, 
30, 2732732292, 0.36914438, -0.3055135, 0.07562679, -0.8744568, 4.718558311462402, -3.7639243602752686, 7.979074001312256, 4.469762325286865, -2.332138776779175, 2.5587728023529053, 
31, 2732748959, 0.36970273, -0.30559385, 0.075183496, -0.87423116, 4.723988056182861, -3.7622103691101074, 7.976147651672363, 4.31561803817749, -2.582669258117676, 2.6369361877441406, 
32, 2732765626, 0.37025917, -0.3056807, 0.0747569, -0.87400186, 4.71506404876709, -3.7535593509674072, 7.967248439788818, 4.237436294555664, -2.6124186515808105, 2.716425657272339, 
33, 2732782293, 0.3708045, -0.30580807, 0.07438889, -0.8737574, 4.729419708251953, -3.733116626739502, 7.962238311767578, 3.8646299839019775, -2.816077947616577, 2.9646127223968506, 
34, 2732798960, 0.37137753, -0.30598214, 0.07403779, -0.8734828, 4.723694801330566, -3.772616147994995, 7.958679676055908, 3.5478458404541016, -3.026691198348999, 2.992933750152588, 
35, 2732815627, 0.37191337, -0.3061388, 0.07370844, -0.8732278, 4.73171329498291, -3.7749581336975098, 7.960626125335693, 3.540341377258301, -2.90688157081604, 2.994317054748535, 
36, 2732832294, 0.37251347, -0.30630666, 0.0733746, -0.87294114, 4.736876010894775, -3.7919199466705322, 7.978244304656982, 3.4716734886169434, -2.93681001663208, 3.114927291870117, 
37, 2732848961, 0.37303898, -0.30645937, 0.0730384, -0.8726913, 4.742250919342041, -3.8242218494415283, 7.941863059997559, 3.6402952671051025, -2.9210457801818848, 2.9797818660736084, 
38, 2732865628, 0.37357715, -0.30661064, 0.072670564, -0.87243867, 4.735604286193848, -3.8145570755004883, 7.931769371032715, 3.776310920715332, -2.9224026203155518, 2.814297914505005, 
39, 2732882295, 0.374142, -0.30675098, 0.072264515, -0.8721809, 4.753270149230957, -3.7903027534484863, 7.963492393493652, 4.049400329589844, -2.9350359439849854, 2.8139841556549072, 
