sep=,
DeviceTag:,R Upper Leg - 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-07 16:19:09.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2732159793, 0.26517075, 0.72837865, -0.26477167, 0.57362443, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 2732176460, 0.26518854, 0.7286381, -0.2646411, 0.5733468, 9.660635948181152, 0.9741936922073364, -2.0179736614227295, 1.2833819389343262, 0.5499879121780396, 1.848244547843933, 
2, 2732193127, 0.26563942, 0.7291724, -0.26345232, 0.5730063, 9.65981674194336, 1.0168688297271729, -2.0796868801116943, -0.2697785794734955, 0.712795078754425, 2.364929437637329, 
3, 2732209794, 0.2666984, 0.72968006, -0.2628109, 0.5721621, 9.628256797790527, 1.0075013637542725, -2.0902724266052246, -1.6814736127853394, 1.2651455402374268, 2.5952768325805664, 
4, 2732226461, 0.26778808, 0.7299984, -0.26276153, 0.57126904, 9.627798080444336, 0.966722846031189, -2.068791627883911, -2.412613868713379, 1.2161870002746582, 2.5670268535614014, 
5, 2732243128, 0.268825, 0.72996473, -0.26324284, 0.5706031, 9.623523712158203, 0.8660565614700317, -2.0769052505493164, -3.0068280696868896, 1.665600061416626, 2.537148952484131, 
6, 2732259795, 0.26953194, 0.7297926, -0.26398328, 0.57014745, 9.613492012023926, 0.7416173219680786, -2.0711162090301514, -3.0707452297210693, 1.4627350568771362, 2.059971809387207, 
7, 2732276462, 0.26973093, 0.7295625, -0.26479974, 0.5699692, 9.631784439086914, 0.6529734134674072, -2.067523956298828, -1.543792724609375, 1.4025450944900513, 1.924019455909729, 
8, 2732293129, 0.2696101, 0.7292806, -0.26568508, 0.5699751, 9.606980323791504, 0.6058734655380249, -2.0612337589263916, 0.0908418521285057, 1.4065662622451782, 1.68696129322052, 
9, 2732309796, 0.26914254, 0.7290563, -0.26644263, 0.57012945, 9.63062572479248, 0.662351667881012, -2.09480357170105, 1.5817440748214722, 1.1063084602355957, 1.62665593624115, 
10, 2732326463, 0.26862797, 0.7288748, -0.26706326, 0.5703137, 9.64642333984375, 0.6921507120132446, -2.0864574909210205, 1.984196424484253, 1.156227707862854, 1.224984884262085, 
