sep=,
DeviceTag:,Trunk - 8,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-07 16:19:09.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2655221498, 0.2647835, -0.6380328, -0.059403814, -0.7206078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 2655238165, 0.26434508, -0.63814294, -0.059715256, -0.7206453, 9.509565353393555, -2.589442729949951, 1.7890828847885132, 2.5230624675750732, -2.0032849311828613, -4.168428897857666, 
2, 2655254832, 0.26442584, -0.6382334, -0.059783828, -0.72052985, 9.507206916809082, -2.570223093032837, 1.797973871231079, 2.5804860591888428, -1.5802780389785767, -4.18455171585083, 
3, 2655271499, 0.264336, -0.6382152, -0.059762247, -0.72058076, 9.481828689575195, -2.5766489505767822, 1.7852882146835327, 3.4955894947052, -1.4084678888320923, -4.181158542633057, 
4, 2655288166, 0.26438192, -0.6381742, -0.059958585, -0.7205838, 9.491061210632324, -2.5465056896209717, 1.7704886198043823, 4.319294452667236, -1.4052664041519165, -4.202992916107178, 
5, 2655304833, 0.2642414, -0.63812953, -0.060229685, -0.72065216, 9.497243881225586, -2.5016140937805176, 1.7647461891174316, 4.673889636993408, -1.039004921913147, -4.093114852905273, 
6, 2655321500, 0.26405293, -0.6380911, -0.06076456, -0.7207105, 9.496017456054688, -2.4787960052490234, 1.7285566329956055, 4.970829486846924, -1.148857831954956, -4.226966381072998, 
7, 2655338167, 0.26377577, -0.63812864, -0.06138974, -0.72072566, 9.487693786621094, -2.436990737915039, 1.7741904258728027, 4.9755425453186035, -1.406700849533081, -4.1415486335754395, 
8, 2655354834, 0.2634153, -0.6381957, -0.062025845, -0.7207438, 9.472082138061523, -2.4163081645965576, 1.7730284929275513, 4.719120979309082, -1.9423006772994995, -3.926990509033203, 
9, 2655371501, 0.2630841, -0.63830394, -0.062666565, -0.72071344, 9.464801788330078, -2.3841941356658936, 1.8047552108764648, 4.913893222808838, -2.5994718074798584, -3.350231170654297, 
