sep=,
DeviceTag:,L Foot - 2,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:23:52.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 935961941, 0.9204419, 0.22971833, -0.099937975, 0.30004776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 935978608, 0.92031884, 0.2298997, -0.09940422, 0.30046356, 3.162630319595337, 3.5590407848358154, 8.563441276550293, 0.20225708186626434, 1.5957543849945068, -0.2640669345855713, 
2, 935995275, 0.9200658, 0.23008105, -0.099159464, 0.3011798, 3.1372365951538086, 3.5235466957092285, 8.569707870483398, 0.5260143876075745, 0.98195880651474, -0.08997740596532822, 
3, 936011942, 0.92009157, 0.22996958, -0.09909222, 0.30120796, 3.1434826850891113, 3.5227091312408447, 8.582489967346191, 1.0089291334152222, 0.6460099220275879, -0.19112198054790497, 
4, 936028609, 0.92000955, 0.2299145, -0.09902018, 0.30152422, 3.1550686359405518, 3.5503122806549072, 8.589611053466797, 1.4925482273101807, 0.12900477647781372, -0.09375528991222382, 
5, 936045276, 0.9199833, 0.23012024, -0.099313505, 0.3013511, 3.099698305130005, 3.611431360244751, 8.654501914978027, 2.4622066020965576, -1.9366401433944702, 0.4190557599067688, 
6, 936061943, 0.91988575, 0.23045284, -0.09998708, 0.3011718, 3.075039863586426, 3.647771120071411, 8.641319274902344, 1.5854326486587524, -6.000275135040283, 1.4002529382705688, 
7, 936078610, 0.91978663, 0.23061772, -0.1006052, 0.30114287, 3.2282321453094482, 3.5349514484405518, 8.563053131103516, -0.6996750235557556, -6.510416030883789, 1.144791841506958, 
8, 936095277, 0.9197405, 0.23073928, -0.10164448, 0.3008411, 3.1995701789855957, 3.4852993488311768, 8.683065414428711, -0.9626407027244568, -7.365804195404053, 1.3681731224060059, 
9, 936111944, 0.9196095, 0.23100364, -0.10222079, 0.3008432, 3.4537129402160645, 3.5628302097320557, 8.377193450927734, 1.8567867279052734, -4.574966907501221, 1.6444189548492432, 
