sep=,
DeviceTag:,L Upper Leg - 6,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:23:52.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 964068969, 0.42245114, 0.56404024, -0.46854973, 0.5327801, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 964085636, 0.421977, 0.56440514, -0.46769792, 0.5335174, 9.743462562561035, -0.316979318857193, -0.687821626663208, 8.234760284423828, -0.24892987310886383, -2.7492549419403076, 
2, 964102303, 0.4214502, 0.56421703, -0.46732908, 0.53445524, 9.720823287963867, -0.30718523263931274, -0.6204471588134766, 6.052454471588135, 0.18320125341415405, -2.8345577716827393, 
3, 964118970, 0.42144465, 0.56361175, -0.4670722, 0.5353221, 9.754629135131836, -0.2076868861913681, -0.6333750486373901, 3.274001359939575, 0.1557188332080841, -2.8212132453918457, 
4, 964135637, 0.42155245, 0.5635987, -0.46639702, 0.5358394, 9.722058296203613, -0.25826817750930786, -0.6294604539871216, 0.5592853426933289, -0.5627877712249756, -2.642616033554077, 
5, 964152304, 0.42160866, 0.56359124, -0.4660413, 0.5361124, 9.894775390625, -0.3706077039241791, -0.6100642681121826, -0.9812352061271667, -1.3349595069885254, -1.5602872371673584, 
6, 964168971, 0.42175546, 0.5631756, -0.46622935, 0.53627026, 9.960531234741211, -0.5343054533004761, -0.6806505918502808, -2.2688755989074707, -1.2351853847503662, -0.6818485856056213, 
7, 964185638, 0.4215132, 0.56277055, -0.4666314, 0.53653634, 9.945940971374512, -0.7315465211868286, -0.6655417680740356, -4.190544605255127, -1.3112037181854248, -0.40191447734832764, 
8, 964202305, 0.42093638, 0.5622267, -0.46733034, 0.53695077, 10.013593673706055, -0.7453698515892029, -0.6262155771255493, -1.8615823984146118, -1.6283657550811768, 0.13078485429286957, 
9, 964218972, 0.4200403, 0.5618198, -0.46772677, 0.5377327, 9.924250602722168, -0.6609240174293518, -0.5255120992660522, 1.7194890975952148, -0.8524545431137085, 0.007049894426018, 
10, 964235639, 0.41908744, 0.5615574, -0.46802005, 0.53849447, 9.764787673950195, -0.5251416563987732, -0.577455997467041, 3.1894280910491943, -1.8988487720489502, -0.12570713460445404, 
11, 964252306, 0.4180839, 0.56155527, -0.4679763, 0.53931427, 9.882209777832031, -0.463277131319046, -0.6093708276748657, 3.2441623210906982, -1.6466021537780762, -0.35900041460990906, 
12, 964268973, 0.41749766, 0.5614499, -0.4680234, 0.53983694, 9.864958763122559, -0.5254528522491455, -0.6307435035705566, 1.8708349466323853, -1.177082896232605, -0.8504440188407898, 
13, 964285640, 0.4168698, 0.56149155, -0.46790814, 0.5403784, 9.930540084838867, -0.6122410297393799, -0.6053367853164673, 2.2136991024017334, -1.0264160633087158, -0.9141813516616821, 
14, 964302307, 0.4163254, 0.5615644, -0.46785447, 0.5407689, 9.930331230163574, -0.5895397067070007, -0.6180483102798462, 2.4074337482452393, -1.5761672258377075, -1.2472490072250366, 
