sep=,
DeviceTag:,Pelvis - 7,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:23:52.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 967747401, 0.17172527, -0.53122544, -0.14350332, -0.8171398, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 967764068, 0.17148107, -0.5303491, -0.14412493, -0.81765044, 9.025062561035156, 0.7721211314201355, 4.142796516418457, 2.0941901206970215, -3.7222166061401367, 1.3211734294891357, 
2, 967780735, 0.1708643, -0.52805537, -0.14595062, -0.8189391, 8.982124328613281, 0.7933509945869446, 4.076858997344971, 1.516931414604187, -2.322828769683838, 1.499194622039795, 
3, 967797402, 0.17031819, -0.52608156, -0.14811058, -0.8199348, 9.031425476074219, 0.7131220102310181, 3.994474411010742, 2.2234318256378174, -2.272038221359253, 1.1148375272750854, 
4, 967814069, 0.17048354, -0.52522796, -0.15005337, -0.8200947, 9.0889892578125, 0.6209654808044434, 4.016654014587402, 3.8265440464019775, -3.407219171524048, 0.6752340793609619, 
5, 967830736, 0.17097637, -0.5250642, -0.15132466, -0.8198632, 9.113253593444824, 0.6529561877250671, 4.079788684844971, 4.364065170288086, -4.104653358459473, 0.5006963610649109, 
6, 967847403, 0.17164245, -0.52497363, -0.15231177, -0.81959933, 9.050552368164062, 0.7919608950614929, 3.9824533462524414, 4.427367210388184, -3.503330945968628, 0.42900633811950684, 
7, 967864070, 0.17195183, -0.5250723, -0.15310438, -0.81932336, 9.003595352172852, 0.914915919303894, 3.9701669216156006, 3.9847025871276855, -3.410792350769043, 0.9960331320762634, 
8, 967880737, 0.17183916, -0.5253362, -0.15376629, -0.8190539, 8.960070610046387, 0.943818986415863, 3.9982430934906006, 2.84525728225708, -4.018478870391846, 1.2570521831512451, 
9, 967897404, 0.17161798, -0.52559733, -0.15440002, -0.8188135, 8.996482849121094, 0.8732433915138245, 3.935016393661499, 2.004084825515747, -4.1455183029174805, 1.2349228858947754, 
