sep=,
DeviceTag:,R Forearm - 9,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:23:52.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 951956239, 0.5906318, -0.67100686, -0.39132193, -0.21856585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 951972906, 0.59077436, -0.6710435, -0.39148685, -0.21777163, 7.567735195159912, -6.003720760345459, -2.1441714763641357, 4.601277828216553, -3.3577616214752197, 5.825525760650635, 
2, 951989573, 0.58985, -0.6713097, -0.39229238, -0.21800691, 7.577814102172852, -6.03540563583374, -2.2201247215270996, 3.4076485633850098, -2.9604058265686035, 6.119419097900391, 
3, 952006240, 0.58885914, -0.6713434, -0.39406976, -0.2173759, 7.620310306549072, -6.039338111877441, -2.2539849281311035, 2.9974098205566406, -2.675374984741211, 5.901582717895508, 
4, 952022907, 0.58789253, -0.67156905, -0.3953649, -0.21694306, 7.638291835784912, -6.0574564933776855, -2.306908130645752, 2.8946518898010254, -2.5350430011749268, 5.5695013999938965, 
5, 952039574, 0.58725053, -0.67160475, -0.3966466, -0.2162305, 7.595465660095215, -6.017431259155273, -2.248674154281616, 3.63663911819458, -1.9731898307800293, 5.030187606811523, 
6, 952056241, 0.58680886, -0.6715636, -0.39769202, -0.21563584, 7.59462308883667, -5.8375563621521, -2.1314456462860107, 2.258944272994995, -1.197547435760498, 4.272614479064941, 
7, 952072908, 0.5863163, -0.671473, -0.39874128, -0.21532032, 7.591936111450195, -5.831989765167236, -2.1269896030426025, -1.8384541273117065, -0.7896779775619507, 4.018498420715332, 
8, 952089575, 0.58574057, -0.67155355, -0.39942452, -0.21536964, 7.560678482055664, -5.960916996002197, -2.194489002227783, -3.9669461250305176, -0.4801100492477417, 3.9354748725891113, 
9, 952106242, 0.5852988, -0.6716522, -0.39990735, -0.21536681, 7.5549397468566895, -6.070488929748535, -2.2103095054626465, -3.6105844974517822, -0.19067376852035522, 3.7586257457733154, 
10, 952122909, 0.5850428, -0.671753, -0.4001176, -0.2153578, 7.476900577545166, -6.1026763916015625, -2.20383620262146, -2.3688671588897705, 0.28069594502449036, 3.4248852729797363, 
11, 952139576, 0.5849216, -0.671805, -0.40028965, -0.21520452, 7.463430881500244, -6.052177429199219, -2.16408371925354, -2.0987560749053955, 0.6012773513793945, 3.0476999282836914, 
12, 952156243, 0.5846436, -0.6721082, -0.40020072, -0.21517895, 7.423499584197998, -6.101388454437256, -2.176985502243042, -4.1983442306518555, 0.7354878783226013, 3.2785985469818115, 
13, 952172910, 0.58440816, -0.6724516, -0.40005136, -0.21502347, 7.350460052490234, -6.300119876861572, -2.258140802383423, -3.915247678756714, 0.23410652577877045, 3.5030815601348877, 
14, 952189577, 0.58455765, -0.67248565, -0.4001136, -0.21439338, 7.300503253936768, -6.310502052307129, -2.215994358062744, -0.23783951997756958, -0.4301140308380127, 3.352004051208496, 
15, 952206244, 0.5848526, -0.6724772, -0.40005338, -0.21372695, 7.2037739753723145, -6.138275623321533, -2.1899445056915283, 2.1234207153320312, -1.015927791595459, 2.8838107585906982, 
16, 952222911, 0.5852037, -0.6723676, -0.4000927, -0.21303622, 7.185436248779297, -6.121816635131836, -2.1941311359405518, 2.426719903945923, -0.7684706449508667, 2.170119047164917, 
