sep=,
DeviceTag:,R Lower Leg - 3,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:23:53.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 942299327, 0.5258791, 0.2634015, -0.7415833, 0.32268432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 942315994, 0.5256395, 0.26349592, -0.7413718, 0.323483, 9.589085578918457, -1.9641902446746826, -2.450546979904175, 0.8849508762359619, 2.7266576290130615, 0.7650322318077087, 
2, 942332661, 0.5257387, 0.26404178, -0.74123114, 0.3231984, 9.42293643951416, -1.915786862373352, -2.36258864402771, -1.6035088300704956, 3.1004111766815186, 0.9889000058174133, 
3, 942349328, 0.52614266, 0.26442787, -0.7410562, 0.3226262, 9.407965660095215, -2.0507595539093018, -2.4283053874969482, -2.4937803745269775, 2.308107614517212, 0.8972448110580444, 
4, 942365995, 0.5261285, 0.2643925, -0.74111164, 0.3225509, 9.575031280517578, -2.1559884548187256, -2.468658447265625, -0.8109748959541321, 2.4496047496795654, 0.4241527020931244, 
5, 942382662, 0.52604336, 0.26386157, -0.7413165, 0.3226536, 9.514396667480469, -1.8724236488342285, -2.4023382663726807, -0.5923448801040649, 2.630533218383789, 0.20083558559417725, 
6, 942399329, 0.5261201, 0.2639268, -0.7412727, 0.32257608, 9.49531078338623, -1.9921194314956665, -2.3210108280181885, -1.7508071660995483, 2.3255369663238525, 0.2585281729698181, 
7, 942415996, 0.5262966, 0.2639605, -0.7410795, 0.32270414, 9.377649307250977, -2.0663115978240967, -2.330641508102417, -0.5178375840187073, 2.2485454082489014, 0.43184930086135864, 
8, 942432663, 0.5264469, 0.2637867, -0.74097747, 0.32283548, 9.351353645324707, -2.0899550914764404, -2.3356497287750244, 0.3447149395942688, 1.5783122777938843, 0.18387998640537262, 
9, 942449330, 0.5265393, 0.2635265, -0.7409464, 0.32296872, 9.579263687133789, -2.0936684608459473, -2.5948545932769775, 0.20771260559558868, 1.1636810302734375, 0.13670137524604797, 
10, 942465997, 0.52657956, 0.26335037, -0.74092156, 0.32310325, 9.639215469360352, -2.1471993923187256, -2.629290819168091, -0.021578703075647354, 2.111325263977051, 0.05301189050078392, 
11, 942482664, 0.5266085, 0.26319796, -0.7408925, 0.32324708, 9.512721061706543, -2.0819623470306396, -2.591606855392456, 0.3716210722923279, 2.7494914531707764, -0.18232400715351105, 
12, 942499331, 0.5265697, 0.2631675, -0.740878, 0.32336834, 9.48547077178955, -2.060175657272339, -2.3551042079925537, 0.9739804863929749, 2.37361216545105, -0.6041907668113708, 
13, 942515998, 0.52650684, 0.26333454, -0.7407455, 0.32363817, 9.534955978393555, -2.0672314167022705, -2.064920425415039, 1.4433846473693848, 2.1445960998535156, -0.7584561109542847, 
14, 942532665, 0.5265608, 0.2633206, -0.7406158, 0.32385826, 9.540639877319336, -2.014756679534912, -1.7493443489074707, 1.2372277975082397, 1.5031260251998901, -0.4157581329345703, 
15, 942549332, 0.5266196, 0.26326993, -0.7404771, 0.324121, 9.577594757080078, -2.0273361206054688, -1.6562350988388062, -0.6117081046104431, 0.442427396774292, 0.5578894019126892, 
16, 942565999, 0.52671343, 0.26316085, -0.74039143, 0.32425293, 9.753056526184082, -2.2536561489105225, -2.036633253097534, -1.8197696208953857, -0.9732186198234558, 0.5498086214065552, 
17, 942582666, 0.5268488, 0.2630691, -0.7402018, 0.32454047, 9.743118286132812, -2.2513508796691895, -2.3638765811920166, -0.2742736041545868, -0.46362829208374023, 0.3568553328514099, 
18, 942599333, 0.52698886, 0.26290482, -0.7400799, 0.3247239, 9.643610954284668, -2.0241048336029053, -2.4168617725372314, -0.45670002698898315, -0.3938976526260376, 0.13871195912361145, 
19, 942616000, 0.5271023, 0.26283062, -0.73997515, 0.32483873, 9.502779960632324, -2.1485137939453125, -2.4873666763305664, -0.55329829454422, -0.38242319226264954, -0.20436371862888336, 
20, 942632667, 0.5270779, 0.2630906, -0.7397254, 0.32523614, 9.483637809753418, -2.189387083053589, -2.497567653656006, 1.842391848564148, -0.07510922849178314, -0.6464645266532898, 
21, 942649334, 0.52704376, 0.26323143, -0.73954254, 0.32559368, 9.498242378234863, -2.091379165649414, -2.360884666442871, 3.128085136413574, -0.1766507774591446, -0.6022826433181763, 
22, 942666001, 0.52693856, 0.26350173, -0.7393369, 0.3260116, 9.561447143554688, -2.0715250968933105, -2.2454099655151367, 3.234787702560425, -0.26770392060279846, -0.6426482200622559, 
23, 942682668, 0.5267901, 0.2639084, -0.739052, 0.3265686, 9.506619453430176, -2.0582945346832275, -2.2269444465637207, 4.399870872497559, -0.17562627792358398, -0.7140821218490601, 
24, 942699335, 0.5266599, 0.2642452, -0.73883885, 0.32698798, 9.553465843200684, -2.031280755996704, -2.404583215713501, 4.292656421661377, -0.6415725350379944, -0.9398964643478394, 
25, 942716002, 0.52649313, 0.26468426, -0.7385793, 0.32748714, 9.597637176513672, -2.0278539657592773, -2.504676103591919, 4.854279041290283, -0.4958234429359436, -0.9711567759513855, 
26, 942732669, 0.52641755, 0.26494968, -0.73838705, 0.3278279, 9.527368545532227, -2.0149638652801514, -2.3993771076202393, 3.8380441665649414, -0.12319710850715637, -0.8181977868080139, 
