sep=,
DeviceTag:,R Upper Leg - 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:23:52.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 961030797, 0.4976464, -0.3652454, -0.69562703, -0.3674874, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 961047464, 0.4969842, -0.36433965, -0.6953523, -0.36979526, 9.546487808227539, 1.6377826929092407, -2.180551528930664, -0.9735260009765625, -1.0380443334579468, 2.557716131210327, 
2, 961064131, 0.49732727, -0.36284664, -0.6950088, -0.37144426, 9.530756950378418, 1.2942734956741333, -2.1631953716278076, -2.1781935691833496, -0.1128111407160759, 2.2412586212158203, 
3, 961080798, 0.49883544, -0.36305794, -0.69387656, -0.37133205, 9.49905776977539, 1.1761739253997803, -2.2703123092651367, -1.1939104795455933, 0.39871934056282043, 2.126065492630005, 
4, 961097465, 0.50039643, -0.3639501, -0.6931309, -0.3697477, 9.52221393585205, 1.2125537395477295, -2.2804372310638428, 1.730221152305603, 0.24307090044021606, 2.2555501461029053, 
5, 961114132, 0.50141424, -0.36519116, -0.6925854, -0.36816403, 9.582147598266602, 1.334231972694397, -2.259000539779663, 3.4947054386138916, -0.5731481909751892, 2.3708457946777344, 
6, 961130799, 0.5020157, -0.3662604, -0.6921177, -0.36716053, 9.49390983581543, 1.4975717067718506, -2.2989940643310547, 2.8429009914398193, -0.31166815757751465, 2.253142833709717, 
7, 961147466, 0.5021669, -0.3671396, -0.6916947, -0.3668726, 9.470499992370605, 1.5020540952682495, -2.208688259124756, -0.3067120909690857, 0.5001456141471863, 2.605381488800049, 
8, 961164133, 0.50232697, -0.3676762, -0.6913387, -0.36678705, 9.539268493652344, 1.3867589235305786, -2.1962153911590576, -1.4755477905273438, 0.869941771030426, 3.244290351867676, 
9, 961180800, 0.50235635, -0.36844027, -0.6908249, -0.36694837, 9.566093444824219, 1.302570104598999, -2.1888532638549805, -1.5103681087493896, 0.7488193511962891, 3.373032569885254, 
10, 961197467, 0.50258845, -0.36893022, -0.69042104, -0.36689824, 9.513046264648438, 1.2131295204162598, -2.301452159881592, -1.4609102010726929, 0.8109174370765686, 3.41890549659729, 
