sep=,
DeviceTag:,Trunk - 8,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:23:52.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 971765450, 0.80727124, 0.08575407, -0.53448665, 0.23512438, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 971782117, 0.80691665, 0.086550616, -0.53451777, 0.23597781, 9.02405834197998, -1.0716681480407715, 4.15485954284668, 8.062873840332031, 0.09085466712713242, 3.744251251220703, 
2, 971798784, 0.80704623, 0.0870943, -0.5342453, 0.23595153, 8.956324577331543, -1.0688380002975464, 4.170411586761475, 7.1759562492370605, -0.45991453528404236, 3.5123021602630615, 
3, 971815451, 0.8071914, 0.08795083, -0.5336038, 0.23658784, 8.862428665161133, -1.0577336549758911, 4.144019603729248, 6.558714389801025, -0.234817236661911, 2.9496545791625977, 
4, 971832118, 0.80743325, 0.08842108, -0.5330469, 0.236843, 8.849482536315918, -1.0202935934066772, 4.170032978057861, 5.523654937744141, -0.5622116327285767, 2.3610751628875732, 
5, 971848785, 0.8076627, 0.08883281, -0.5325309, 0.23706658, 8.907206535339355, -1.0306066274642944, 4.172717094421387, 4.297817230224609, -0.7397844195365906, 2.184129476547241, 
6, 971865452, 0.8077755, 0.08925269, -0.53217053, 0.23733413, 8.999926567077637, -1.0574277639389038, 4.1665520668029785, 3.907480001449585, -1.0413227081298828, 2.0042386054992676, 
7, 971882119, 0.80790305, 0.08933866, -0.53194755, 0.23736762, 9.108774185180664, -1.0984010696411133, 4.323859214782715, 2.6021671295166016, -0.29277876019477844, 2.033923625946045, 
8, 971898786, 0.80807793, 0.0894957, -0.53155977, 0.2375814, 9.10898208618164, -1.0945239067077637, 4.238999843597412, 3.041168689727783, 0.6447164416313171, 1.5125259160995483, 
9, 971915453, 0.80824584, 0.08963966, -0.5312613, 0.23762323, 9.081316947937012, -1.0920071601867676, 4.271819114685059, 3.4463555812835693, 0.5194000005722046, 0.8496757745742798, 
10, 971932120, 0.80838376, 0.08982895, -0.5309933, 0.23768136, 9.031220436096191, -1.0757890939712524, 4.241863250732422, 3.4170801639556885, 0.3742656111717224, 0.45918455719947815, 
11, 971948787, 0.80853677, 0.08996341, -0.5307798, 0.23758732, 8.952169418334961, -1.061434268951416, 4.208601474761963, 3.331911087036133, 0.19938845932483673, 0.12639226019382477, 
12, 971965454, 0.8086748, 0.09009091, -0.5305653, 0.23754805, 8.948830604553223, -1.0782043933868408, 4.2061591148376465, 2.6354892253875732, 0.43908488750457764, 0.00999535620212555, 
13, 971982121, 0.8087664, 0.09022662, -0.5303722, 0.23761638, 8.938311576843262, -1.0613638162612915, 4.216054439544678, 2.2739531993865967, 0.4251003563404083, 0.1682562232017517, 
14, 971998788, 0.8088438, 0.09034035, -0.5301987, 0.23769635, 8.942083358764648, -1.0859243869781494, 4.214686870574951, 2.2523040771484375, 0.35827043652534485, 0.34848636388778687, 
