sep=,
DeviceTag:,L Forearm - 10,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 12:04:51.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 3413993622, 0.7085432, 0.39375472, -0.48136067, 0.33349028, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 3414010289, 0.70883524, 0.39328834, -0.4816003, 0.33307374, 9.35183048248291, 2.313563108444214, 2.2707808017730713, -2.847299814224243, 0.16779519617557526, 1.446547508239746, 
2, 3414026956, 0.7090072, 0.39272353, -0.48160732, 0.3333639, 9.412748336791992, 2.276456117630005, 2.3036413192749023, -2.1985814571380615, 0.6791911721229553, 1.0176631212234497, 
3, 3414043623, 0.70904183, 0.39209145, -0.4815191, 0.3341607, 9.429317474365234, 2.2727675437927246, 2.261331081390381, -1.0490962266921997, 1.1241095066070557, 0.9610845446586609, 
4, 3414060290, 0.70894694, 0.39165267, -0.48157814, 0.33479086, 9.445538520812988, 2.3090994358062744, 2.274059772491455, 0.08232561498880386, 1.3881123065948486, 0.6831995248794556, 
5, 3414076957, 0.7090894, 0.3911445, -0.4817459, 0.3348423, 9.421202659606934, 2.314450740814209, 2.264758348464966, 0.22142818570137024, 1.785057783126831, 0.4019208550453186, 
6, 3414093624, 0.70913774, 0.39099666, -0.48164904, 0.33505163, 9.401494026184082, 2.2775065898895264, 2.2749879360198975, 0.7040355205535889, 2.116960287094116, 0.038886480033397675, 
7, 3414110291, 0.70910966, 0.3910658, -0.48136148, 0.33544332, 9.413785934448242, 2.2878880500793457, 2.2391586303710938, 1.0677998065948486, 2.2704057693481445, -0.4063710868358612, 
8, 3414126958, 0.70913106, 0.39112318, -0.48112646, 0.3356684, 9.426446914672852, 2.297236919403076, 2.2941644191741943, 0.9133937358856201, 2.3176867961883545, -0.7245449423789978, 
9, 3414143625, 0.7091911, 0.39116868, -0.4808485, 0.33588666, 9.397743225097656, 2.280719518661499, 2.2955667972564697, 0.4439769685268402, 2.3461296558380127, -0.8228720426559448, 
10, 3414160292, 0.7092479, 0.39120793, -0.48053488, 0.33616966, 9.386689186096191, 2.2360873222351074, 2.2855851650238037, 0.07156829535961151, 2.377466917037964, -0.6752916574478149, 
