sep=,
DeviceTag:,L Lower Leg - 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 12:04:51.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 3403894233, 0.6595325, 0.007422364, -0.7475868, -0.0779478, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 3403910900, 0.6593899, 0.0071227574, -0.7476945, -0.07814897, 9.810739517211914, 1.225625991821289, -1.200356125831604, 0.15898442268371582, -0.3416733741760254, 1.4695734977722168, 
2, 3403927567, 0.6592127, 0.006975519, -0.7479094, -0.077598445, 9.809319496154785, 1.249918818473816, -1.2051457166671753, 0.31139278411865234, -0.4179863929748535, 1.508888840675354, 
3, 3403944234, 0.6590051, 0.006869835, -0.7481333, -0.07721357, 9.833514213562012, 1.2464375495910645, -1.1928021907806396, 0.3572395443916321, -0.46802088618278503, 1.5056105852127075, 
4, 3403960901, 0.65889657, 0.0067906883, -0.7482591, -0.07692627, 9.81739616394043, 1.227296233177185, -1.1879011392593384, 0.05476635694503784, -0.49066242575645447, 1.4557170867919922, 
5, 3403977568, 0.65883046, 0.0067760623, -0.7483539, -0.07657046, 9.802103042602539, 1.214404582977295, -1.1583833694458008, -0.1504489928483963, -0.7559459805488586, 1.487809658050537, 
6, 3403994235, 0.6588269, 0.006724627, -0.74838936, -0.07625911, 9.816972732543945, 1.2056052684783936, -1.16260826587677, -0.103129543364048, -0.8593188524246216, 1.3476570844650269, 
7, 3404010902, 0.65879935, 0.006329188, -0.74841726, -0.0762565, 9.8163480758667, 1.2358428239822388, -1.147792935371399, -0.15175525844097137, -0.9903791546821594, 1.279693841934204, 
8, 3404027569, 0.6588214, 0.0062629846, -0.748421, -0.076033905, 9.809968948364258, 1.2287684679031372, -1.1952495574951172, -0.4115832448005676, -1.0136609077453613, 1.3208661079406738, 
9, 3404044236, 0.6587867, 0.006073332, -0.74846196, -0.07594728, 9.81174087524414, 1.1948384046554565, -1.221027135848999, -0.20677131414413452, -1.043589472770691, 1.2920005321502686, 
10, 3404060903, 0.6587241, 0.005979834, -0.7485344, -0.07578519, 9.828410148620605, 1.2130165100097656, -1.2068829536437988, -0.11019863188266754, -1.0266337394714355, 1.1115976572036743, 
11, 3404077570, 0.6586453, 0.005850232, -0.74861807, -0.0756528, 9.830387115478516, 1.2419532537460327, -1.2307629585266113, -0.1257583647966385, -1.0413227081298828, 1.1648846864700317, 
12, 3404094237, 0.65854806, 0.0057268655, -0.74871665, -0.07553314, 9.815754890441895, 1.2276676893234253, -1.2290586233139038, 0.13991577923297882, -1.0116888284683228, 1.2014083862304688, 
13, 3404110904, 0.6584625, 0.005752448, -0.74881315, -0.07531967, 9.824197769165039, 1.2625765800476074, -1.248673915863037, 0.01947205513715744, -0.9359521269798279, 1.0876753330230713, 
14, 3404127571, 0.6583667, 0.005724483, -0.7489133, -0.075163946, 9.804981231689453, 1.2421237230300903, -1.2420557737350464, 0.3403351604938507, -0.8336165547370911, 1.1379529237747192, 
15, 3404144238, 0.6582421, 0.005496677, -0.7490236, -0.07517245, 9.817160606384277, 1.2642678022384644, -1.255340576171875, 0.47889983654022217, -0.8660038709640503, 1.2278664112091064, 
16, 3404160905, 0.6581887, 0.0058198925, -0.7491141, -0.07471282, 9.821924209594727, 1.2494045495986938, -1.2367057800292969, 0.6599176526069641, -0.637116014957428, 1.2102705240249634, 
17, 3404177572, 0.65809876, 0.0058048572, -0.7492091, -0.07455271, 9.810137748718262, 1.2240649461746216, -1.220310926437378, 0.8532871603965759, -0.6533671617507935, 1.199263572692871, 
18, 3404194239, 0.6580336, 0.00578014, -0.74928355, -0.07438217, 9.814188957214355, 1.2375564575195312, -1.2186009883880615, 0.8163599967956543, -0.48844701051712036, 1.288594126701355, 
