sep=,
DeviceTag:,L Upper Leg - 6,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 12:04:51.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 3422455822, 0.37936655, 0.5919947, -0.4459455, 0.5538555, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 3422472489, 0.37921596, 0.5921279, -0.44604933, 0.55373263, 9.869012832641602, -0.45195984840393066, -1.0084391832351685, 2.464447498321533, -2.514629602432251, 0.20757173001766205, 
2, 3422489156, 0.37888736, 0.5923932, -0.4463502, 0.5534314, 9.829816818237305, -0.4652180075645447, -1.0024244785308838, 2.6915171146392822, -2.5318284034729004, 0.23766665160655975, 
3, 3422505823, 0.37841693, 0.5927095, -0.44654945, 0.5532537, 9.799856185913086, -0.45696160197257996, -0.9827526211738586, 2.3960230350494385, -2.575676679611206, -0.050328951328992844, 
4, 3422522490, 0.3780398, 0.59298277, -0.44663018, 0.5531536, 9.817487716674805, -0.4471668004989624, -0.9718780517578125, 2.181055784225464, -2.7021141052246094, -0.1668795347213745, 
5, 3422539157, 0.37786546, 0.5931251, -0.44674316, 0.5530289, 9.859702110290527, -0.44383591413497925, -0.9967477917671204, 2.313960313796997, -2.7101824283599854, -0.10569081455469131, 
6, 3422555824, 0.37797403, 0.59307104, -0.44712493, 0.5527041, 9.875386238098145, -0.44982367753982544, -1.0078668594360352, 2.6451964378356934, -2.754390239715576, -0.06713090091943741, 
7, 3422572491, 0.37757027, 0.5934236, -0.44696537, 0.55273074, 9.837182998657227, -0.4440382421016693, -0.9941816926002502, 2.6373720169067383, -2.6212806701660156, 0.04724902659654617, 
8, 3422589158, 0.37741718, 0.59362805, -0.44698244, 0.5526021, 9.83858585357666, -0.4056786000728607, -0.963726818561554, 1.9953508377075195, -2.5411384105682373, -0.2720964848995209, 
9, 3422605825, 0.37733656, 0.5938274, -0.4469619, 0.5524593, 9.847283363342285, -0.378456711769104, -0.9419561624526978, 1.8169586658477783, -2.529343843460083, -0.41244131326675415, 
10, 3422622492, 0.3774509, 0.59392035, -0.44704044, 0.55221784, 9.847132682800293, -0.38715243339538574, -0.9990830421447754, 1.9253257513046265, -2.5397934913635254, -0.5693830847740173, 
11, 3422639159, 0.37742528, 0.5941353, -0.44697598, 0.5520564, 9.835819244384766, -0.41689449548721313, -0.9675414562225342, 1.7862234115600586, -2.4838688373565674, -0.5181705355644226, 
12, 3422655826, 0.377504, 0.5943015, -0.44698164, 0.55181867, 9.834729194641113, -0.44610849022865295, -0.9320715069770813, 1.1527059078216553, -2.5124523639678955, -0.8411338329315186, 
13, 3422672493, 0.3774671, 0.59451425, -0.446927, 0.55165905, 9.83924674987793, -0.4564308822154999, -0.9732258319854736, 1.3853974342346191, -2.6593539714813232, -0.7121995687484741, 
14, 3422689160, 0.37738717, 0.5947336, -0.4468496, 0.5515403, 9.844544410705566, -0.46546614170074463, -0.9445116519927979, 1.7417341470718384, -2.5323145389556885, -0.7402326464653015, 
15, 3422705827, 0.37726927, 0.59494627, -0.4467197, 0.5514967, 9.843642234802246, -0.44677481055259705, -0.9777610301971436, 1.8131420612335205, -2.1853654384613037, -0.6981637477874756, 
16, 3422722494, 0.37718368, 0.5951277, -0.4466541, 0.55141246, 9.844389915466309, -0.46237650513648987, -0.956264853477478, 2.0580894947052, -2.271437168121338, -0.7263250350952148, 
17, 3422739161, 0.3770503, 0.59533477, -0.4465868, 0.55133474, 9.837818145751953, -0.4925606846809387, -1.0035041570663452, 2.730243444442749, -2.4882864952087402, -0.7418846487998962, 
18, 3422755828, 0.37694633, 0.59548646, -0.4466317, 0.55120564, 9.828455924987793, -0.5039239525794983, -0.9800283908843994, 2.8208744525909424, -2.6290414333343506, -0.5769133567810059, 
19, 3422772495, 0.37669268, 0.5957311, -0.44658062, 0.5511559, 9.834549903869629, -0.49288055300712585, -0.9617878794670105, 3.051426649093628, -2.7739322185516357, -0.4522818326950073, 
20, 3422789162, 0.37635767, 0.59602296, -0.44646165, 0.55116564, 9.820956230163574, -0.47246238589286804, -0.9710955023765564, 3.3444101810455322, -2.7495875358581543, -0.4055770933628082, 
