sep=,
DeviceTag:,Pelvis - 7,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 12:04:51.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 3426098590, 0.20601563, -0.5288281, -0.18922506, -0.801307, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 3426115257, 0.20579037, -0.52926874, -0.18909545, -0.8011043, 9.160755157470703, 0.8421902656555176, 3.638535976409912, 2.3029725551605225, -2.8815183639526367, 1.8888531923294067, 
2, 3426131924, 0.2061238, -0.5297735, -0.18935613, -0.80062324, 9.24258804321289, 0.8099347949028015, 3.6407620906829834, 2.020285129547119, -3.863100051879883, 1.953423023223877, 
3, 3426148591, 0.2062171, -0.53032535, -0.18915717, -0.80028075, 9.248007774353027, 0.8408289551734924, 3.5889248847961426, 2.640228033065796, -2.1270196437835693, 1.9678819179534912, 
4, 3426165258, 0.20574433, -0.5311771, -0.1889024, -0.7998978, 9.190710067749023, 0.8132071495056152, 3.5973072052001953, 3.1381001472473145, -3.012937545776367, 1.944689393043518, 
5, 3426181925, 0.20571062, -0.5319211, -0.18892203, -0.7994069, 9.204256057739258, 0.8578630089759827, 3.5987634658813477, 3.0850563049316406, -3.947096824645996, 2.008413791656494, 
6, 3426198592, 0.20546229, -0.53253007, -0.18889111, -0.79907286, 9.290751457214355, 0.824211597442627, 3.5731420516967773, 3.0761044025421143, -3.4463939666748047, 1.9693926572799683, 
7, 3426215259, 0.20565626, -0.53290385, -0.18919523, -0.7987016, 9.191455841064453, 0.8361417651176453, 3.535964012145996, 4.327067852020264, -2.272141218185425, 1.7472538948059082, 
8, 3426231926, 0.20555086, -0.533716, -0.18942627, -0.7981314, 9.287391662597656, 0.8456947207450867, 3.604901075363159, 3.8248538970947266, -5.697135925292969, 1.9024027585983276, 
9, 3426248593, 0.20547533, -0.53408474, -0.18943153, -0.7979028, 9.317057609558105, 0.819724977016449, 3.5522453784942627, 3.4721601009368896, -2.0691988468170166, 2.126814603805542, 
10, 3426265260, 0.2055846, -0.53442204, -0.18957596, -0.7976147, 9.270893096923828, 0.8032644391059875, 3.5243406295776367, 4.566558837890625, -2.0961434841156006, 2.34354305267334, 
11, 3426281927, 0.20581847, -0.53480923, -0.18982871, -0.79723454, 9.238035202026367, 0.841878354549408, 3.5588090419769287, 5.129770755767822, -2.748192071914673, 2.4720168113708496, 
12, 3426298594, 0.20588541, -0.53532, -0.18997228, -0.7968403, 9.285768508911133, 0.8433325886726379, 3.6088058948516846, 4.712231636047363, -3.7006516456604004, 2.6107349395751953, 
13, 3426315261, 0.20618775, -0.53557205, -0.19020833, -0.79653627, 9.277023315429688, 0.8599081635475159, 3.6113784313201904, 4.469742774963379, -2.242724895477295, 2.4357614517211914, 
14, 3426331928, 0.20617203, -0.5358851, -0.19028774, -0.796311, 9.191102981567383, 0.8953422904014587, 3.6309778690338135, 4.561308860778809, -2.5170114040374756, 2.2110354900360107, 
15, 3426348595, 0.20618245, -0.536224, -0.19048558, -0.7960327, 9.20765495300293, 0.8702148199081421, 3.6459662914276123, 4.329026222229004, -3.370798110961914, 1.8172659873962402, 
16, 3426365262, 0.20615408, -0.53648853, -0.19061671, -0.7958302, 9.261388778686523, 0.8553411960601807, 3.6233022212982178, 3.9400856494903564, -2.8589282035827637, 1.7320528030395508, 
