sep=,
DeviceTag:,R Foot - 1,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 12:04:51.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 3396140651, 0.9256724, -0.2574643, -0.20128016, -0.19060154, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 3396157318, 0.9259552, -0.25676256, -0.20149618, -0.18994573, 4.690135478973389, -4.023049354553223, 7.897848129272461, 5.910316467285156, -1.6482926607131958, 2.069089889526367, 
2, 3396173985, 0.9261597, -0.25625047, -0.20131908, -0.18982828, 4.690518379211426, -4.000351428985596, 7.918041706085205, 5.996491432189941, -1.5736573934555054, 2.117997884750366, 
3, 3396190652, 0.92653626, -0.25546664, -0.20132692, -0.18903708, 4.688748836517334, -4.013494491577148, 7.892856121063232, 5.968726634979248, -1.5496965646743774, 2.1638569831848145, 
4, 3396207319, 0.9267911, -0.25488394, -0.20134883, -0.18855044, 4.668753623962402, -4.021678924560547, 7.899825096130371, 6.007159233093262, -1.5941988229751587, 2.125502109527588, 
5, 3396223986, 0.9269426, -0.25446942, -0.20124257, -0.18847848, 4.662436008453369, -4.014824867248535, 7.87634801864624, 6.02372932434082, -1.5896779298782349, 2.210702657699585, 
6, 3396240653, 0.92713785, -0.25400445, -0.20133756, -0.18804419, 4.659515380859375, -4.019769668579102, 7.921512126922607, 5.98892879486084, -1.855064034461975, 1.831295371055603, 
7, 3396257320, 0.9272365, -0.25365528, -0.2012998, -0.18806922, 4.701204776763916, -3.957019090652466, 7.910245418548584, 5.79978609085083, -1.9166243076324463, 1.9870017766952515, 
8, 3396273987, 0.9273175, -0.25327033, -0.2013606, -0.18812385, 4.6831488609313965, -3.9711697101593018, 7.920113563537598, 5.567010402679443, -2.0128064155578613, 2.080942392349243, 
9, 3396290654, 0.92746747, -0.25283253, -0.20153359, -0.1877877, 4.6961517333984375, -3.964834451675415, 7.908011436462402, 5.213502883911133, -2.022916555404663, 2.302441120147705, 
10, 3396307321, 0.92759526, -0.25240913, -0.20168592, -0.18756285, 4.696564197540283, -3.9996209144592285, 7.8856377601623535, 5.2931013107299805, -1.963636040687561, 2.5328080654144287, 
11, 3396323988, 0.92777425, -0.2519183, -0.20192659, -0.18707761, 4.681784629821777, -4.006894111633301, 7.937349319458008, 5.525127410888672, -1.8827130794525146, 2.4394757747650146, 
12, 3396340655, 0.92787975, -0.25150758, -0.202051, -0.18697216, 4.673853397369385, -4.0051984786987305, 7.913159370422363, 5.596625804901123, -1.864015817642212, 2.4521539211273193, 
13, 3396357322, 0.92801267, -0.25106865, -0.20222494, -0.18671502, 4.662497043609619, -4.007338047027588, 7.921131610870361, 5.63637638092041, -1.9458229541778564, 2.4161298274993896, 
14, 3396373989, 0.92818224, -0.250595, -0.20243602, -0.18627815, 4.693171977996826, -4.002238750457764, 7.896587371826172, 5.674372673034668, -1.9485374689102173, 2.4750514030456543, 
15, 3396390656, 0.9284546, -0.24999426, -0.20277233, -0.18536043, 4.6796183586120605, -4.016355991363525, 7.891415119171143, 5.75847864151001, -1.7243560552597046, 2.2971138954162598, 
16, 3396407323, 0.92857826, -0.24954417, -0.20286143, -0.18525039, 4.678833961486816, -4.001288414001465, 7.898754119873047, 5.92724084854126, -1.4210631847381592, 2.250229835510254, 
17, 3396423990, 0.9287567, -0.24903598, -0.20304546, -0.18483706, 4.6785407066345215, -4.003499507904053, 7.906770706176758, 5.852861404418945, -1.4678767919540405, 2.162788152694702, 
18, 3396440657, 0.928922, -0.24853799, -0.20319629, -0.18451051, 4.654539585113525, -4.002320766448975, 7.9205241203308105, 5.927387714385986, -1.391550898551941, 2.198946475982666, 
19, 3396457324, 0.9289088, -0.24823983, -0.20312704, -0.18505374, 4.665098667144775, -4.005155563354492, 7.911099433898926, 5.830482006072998, -1.4867534637451172, 2.108457088470459, 
20, 3396473991, 0.92905146, -0.24775222, -0.20328979, -0.18481302, 4.654846668243408, -3.9847512245178223, 7.951355457305908, 5.982769012451172, -1.6061149835586548, 2.048337459564209, 
21, 3396490658, 0.92921025, -0.24726084, -0.20350187, -0.18443893, 4.667564868927002, -3.9956109523773193, 7.919919013977051, 5.86971378326416, -1.8428723812103271, 2.1919608116149902, 
22, 3396507325, 0.92939776, -0.24673668, -0.20376487, -0.18390457, 4.675009250640869, -3.9766697883605957, 7.927496910095215, 5.882565498352051, -1.9161630868911743, 2.2228686809539795, 
23, 3396523992, 0.92951506, -0.24633145, -0.20394863, -0.18365058, 4.657535076141357, -3.965900182723999, 7.923326015472412, 5.506686687469482, -2.0052058696746826, 2.380335807800293, 
24, 3396540659, 0.92965835, -0.24592803, -0.2041895, -0.18319778, 4.659708499908447, -3.958780527114868, 7.942409515380859, 5.253222942352295, -2.174992322921753, 2.5528244972229004, 
25, 3396557326, 0.92976665, -0.24560793, -0.20439735, -0.18284579, 4.652063846588135, -3.963670015335083, 7.920210361480713, 4.8938889503479, -2.315016508102417, 2.7986035346984863, 
26, 3396573993, 0.929733, -0.24546392, -0.2044325, -0.18317081, 4.652582168579102, -3.959378719329834, 7.93736457824707, 4.698291778564453, -2.4005696773529053, 2.8199968338012695, 
27, 3396590660, 0.92976874, -0.24526821, -0.20458658, -0.1830789, 4.670945167541504, -3.9805283546447754, 7.937598705291748, 4.409642696380615, -2.5268466472625732, 2.847254991531372, 
28, 3396607327, 0.9297966, -0.24510136, -0.20473003, -0.18300155, 4.661630153656006, -3.998286485671997, 7.914862632751465, 4.200969696044922, -2.5001840591430664, 2.8499507904052734, 
29, 3396623994, 0.92986846, -0.2448631, -0.20493306, -0.18272687, 4.648489475250244, -4.0231146812438965, 7.897177219390869, 4.341365814208984, -2.445712089538574, 2.6901021003723145, 
30, 3396640661, 0.9298794, -0.24467734, -0.20508583, -0.18274912, 4.6680588722229, -4.026172637939453, 7.879846572875977, 4.478476524353027, -2.6090633869171143, 2.6110804080963135, 
31, 3396657328, 0.92999583, -0.24438941, -0.2053638, -0.18222907, 4.6437578201293945, -3.9956412315368652, 7.92482852935791, 4.410731315612793, -2.5444552898406982, 2.7363393306732178, 
32, 3396673995, 0.9300699, -0.24419442, -0.2055876, -0.18185991, 4.680458068847656, -3.9736695289611816, 7.914647579193115, 4.052870273590088, -2.606489419937134, 2.9381678104400635, 
33, 3396690662, 0.9301552, -0.2440423, -0.20586893, -0.181308, 4.652441024780273, -3.9742839336395264, 7.941900253295898, 3.5791187286376953, -2.879565715789795, 3.1896395683288574, 
34, 3396707329, 0.93017834, -0.24399884, -0.2060877, -0.18099919, 4.648322105407715, -4.047734260559082, 7.90774393081665, 3.2328097820281982, -3.0234193801879883, 3.324247121810913, 
35, 3396723996, 0.930224, -0.24390467, -0.20634954, -0.18059301, 4.66221809387207, -4.076780796051025, 7.89352560043335, 3.37237286567688, -3.0226635932922363, 3.0940396785736084, 
36, 3396740663, 0.9303019, -0.24376287, -0.20663127, -0.18006049, 4.661242961883545, -4.065870761871338, 7.904287815093994, 3.53165864944458, -2.913374185562134, 3.1187305450439453, 
37, 3396757330, 0.93029636, -0.24366763, -0.20677085, -0.1800575, 4.670467853546143, -4.066537380218506, 7.867417335510254, 3.9469618797302246, -2.71293568611145, 2.9007346630096436, 
38, 3396773997, 0.93031806, -0.24349685, -0.20691648, -0.18000878, 4.644373893737793, -4.092549800872803, 7.89339017868042, 4.342402935028076, -2.5110244750976562, 2.7343223094940186, 
39, 3396790664, 0.9303391, -0.2433295, -0.2070738, -0.17994525, 4.668664932250977, -4.020461082458496, 7.916227340698242, 4.3332648277282715, -2.58402681350708, 2.730973243713379, 
40, 3396807331, 0.9304166, -0.24315642, -0.20733914, -0.1794735, 4.655895709991455, -4.018930435180664, 7.918028354644775, 3.8470916748046875, -2.8145864009857178, 3.0034737586975098, 
41, 3396823998, 0.93051827, -0.24297458, -0.20765702, -0.17882353, 4.648151397705078, -4.076174736022949, 7.896086692810059, 3.660221576690674, -2.932558298110962, 3.0760979652404785, 
42, 3396840665, 0.93064207, -0.24276617, -0.2079796, -0.17808567, 4.679118633270264, -4.045974254608154, 7.8849287033081055, 3.6481449604034424, -2.767157793045044, 3.011976718902588, 
