sep=,
DeviceTag:,R Forearm - 9,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 12:04:51.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 3410311463, 0.62650317, -0.57185465, -0.4754352, -0.23331796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 3410328130, 0.6243064, -0.5747306, -0.4749945, -0.23303764, 8.412812232971191, -5.265320301055908, -1.474690556526184, -17.799299240112305, -3.7496397495269775, 2.9437670707702637, 
2, 3410344797, 0.6213748, -0.57960916, -0.47460628, -0.2295551, 8.161581039428711, -5.4583210945129395, -1.6397768259048462, -11.12267780303955, -4.650435447692871, 2.435211658477783, 
3, 3410361464, 0.6188187, -0.5851044, -0.47376996, -0.2241839, 8.093182563781738, -5.151280879974365, -1.5788592100143433, -2.041870355606079, -5.948512077331543, 1.3248107433319092, 
4, 3410378131, 0.6160547, -0.5896512, -0.47319156, -0.22108355, 8.172677993774414, -4.8508710861206055, -1.1368285417556763, -4.8065056800842285, -7.5427751541137695, 0.1712273359298706, 
5, 3410394798, 0.6143373, -0.5922728, -0.47222728, -0.22091638, 8.27455997467041, -5.50745964050293, -0.5479507446289062, -8.331032752990723, -5.104997634887695, 0.3420769274234772, 
6, 3410411465, 0.6145251, -0.5936249, -0.4699863, -0.22154357, 8.290823936462402, -5.013075351715088, -0.6656742095947266, -12.686387062072754, -2.2485785484313965, -0.2536171078681946, 
7, 3410428132, 0.6146124, -0.5946257, -0.4677848, -0.22327043, 8.27851390838623, -5.260184288024902, -1.1141812801361084, -15.864261627197266, -2.3455357551574707, -0.6301113367080688, 
8, 3410444799, 0.6140323, -0.59639764, -0.46563652, -0.22462621, 8.465189933776855, -6.214935779571533, -1.2154728174209595, -19.41144371032715, -4.018343925476074, 3.110365629196167, 
9, 3410461466, 0.61501575, -0.59716684, -0.46347705, -0.22435819, 8.488134384155273, -5.695097923278809, -1.1453484296798706, -2.63999080657959, -1.861236572265625, 4.378433704376221, 
10, 3410478133, 0.61508626, -0.59823763, -0.461966, -0.22442906, 7.842589855194092, -4.1698832511901855, -1.4305646419525146, -8.697101593017578, -4.241080284118652, 1.0500890016555786, 
11, 3410494800, 0.61371887, -0.5998956, -0.46094635, -0.22583817, 8.285807609558105, -4.601189136505127, -1.0233460664749146, -16.619970321655273, -4.540764808654785, -1.5537703037261963, 
12, 3410511467, 0.61146116, -0.6022663, -0.45939663, -0.22879127, 8.489006996154785, -4.548798084259033, -0.8356529474258423, -29.150619506835938, 0.3386073112487793, -2.138551712036133, 
13, 3410528134, 0.60882866, -0.6049645, -0.45745355, -0.23255521, 8.348852157592773, -5.197298049926758, -1.52875554561615, -35.377830505371094, 2.9577486515045166, -1.3509349822998047, 
14, 3410544801, 0.6062393, -0.60773623, -0.45563525, -0.23564182, 8.272008895874023, -5.638426303863525, -2.025078296661377, -33.169677734375, 1.5532433986663818, 0.7187912464141846, 
15, 3410561468, 0.6040636, -0.61017406, -0.4541044, -0.23787464, 8.23259162902832, -5.4430460929870605, -1.5986950397491455, -25.740577697753906, 0.5877295732498169, 1.0638195276260376, 
16, 3410578135, 0.6018534, -0.61253405, -0.45274067, -0.24000177, 8.109641075134277, -4.999787330627441, -1.4585630893707275, -26.07709503173828, 0.8386067152023315, -0.029582740738987923, 
17, 3410594802, 0.59909916, -0.61529183, -0.45135483, -0.24243586, 8.15584945678711, -5.177421569824219, -1.616974949836731, -30.51581382751465, -0.21846425533294678, -0.8779422640800476, 
18, 3410611469, 0.5964705, -0.6179611, -0.44986713, -0.24488108, 8.361599922180176, -5.482076168060303, -1.52179753780365, -29.472440719604492, 0.945412278175354, -0.8036904335021973, 
19, 3410628136, 0.59415835, -0.6204584, -0.44811264, -0.24739097, 8.528665542602539, -5.450618743896484, -1.3939815759658813, -29.923215866088867, 4.656806945800781, 0.020022789016366005, 
20, 3410644803, 0.59233874, -0.62283534, -0.44579077, -0.24996352, 8.440478324890137, -5.681051731109619, -1.796204924583435, -27.477651596069336, 8.008441925048828, 2.2645599842071533, 
21, 3410661470, 0.59141105, -0.6244344, -0.44413528, -0.25111485, 8.258646011352539, -5.98760986328125, -2.3211121559143066, -15.608675003051758, 3.966007947921753, 4.078614711761475, 
22, 3410678137, 0.5918111, -0.6246207, -0.44363445, -0.25059366, 8.139435768127441, -5.618674278259277, -2.2621049880981445, 3.6807949542999268, -0.9607195854187012, 3.112551689147949, 
23, 3410694804, 0.5920203, -0.6246471, -0.4435814, -0.2501275, 8.056086540222168, -4.6333441734313965, -1.625605583190918, 3.4337353706359863, -1.7502185106277466, 0.10305911302566528, 
