sep=,
DeviceTag:,R Upper Leg - 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 12:04:51.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 3419382877, 0.5521749, -0.38424975, -0.6627014, -0.32906199, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 3419399544, 0.5520568, -0.3843797, -0.66321427, -0.3280738, 9.728193283081055, 0.05842551961541176, -1.8894175291061401, 5.097945690155029, -1.4246680736541748, 0.9323599934577942, 
2, 3419416211, 0.55144775, -0.38483766, -0.66431934, -0.32632142, 9.688342094421387, 0.0765032172203064, -1.7595187425613403, 4.418684005737305, -1.1553378105163574, 1.0674924850463867, 
3, 3419432878, 0.5513805, -0.38482177, -0.6650307, -0.3250014, 9.70041561126709, 0.050134360790252686, -1.7717137336730957, 3.5005714893341064, -1.632335901260376, 1.2013702392578125, 
4, 3419449545, 0.5516359, -0.38463366, -0.6655129, -0.32380116, 9.677412033081055, 0.08549556136131287, -1.911075234413147, 3.937882900238037, -1.5641933679580688, 1.605628252029419, 
5, 3419466212, 0.55171514, -0.38441497, -0.6661402, -0.32263434, 9.670228958129883, 0.0877215713262558, -1.9841398000717163, 5.291167736053467, -0.8206950426101685, 1.7651572227478027, 
6, 3419482879, 0.5515043, -0.3844233, -0.66677624, -0.32166967, 9.664782524108887, 0.10326740890741348, -1.835749626159668, 5.1845293045043945, -0.8470632433891296, 1.7039810419082642, 
7, 3419499546, 0.5515051, -0.3841244, -0.667403, -0.32072407, 9.686080932617188, 0.0579715259373188, -1.8711603879928589, 5.8051886558532715, -1.0629781484603882, 1.4960057735443115, 
8, 3419516213, 0.5514193, -0.3841509, -0.66775006, -0.32011685, 9.661564826965332, 0.017706505954265594, -1.8847345113754272, 5.935339450836182, -1.0599303245544434, 1.3597207069396973, 
9, 3419532880, 0.5515463, -0.38383242, -0.66825724, -0.31922057, 9.667314529418945, 0.02500593103468418, -1.917432427406311, 6.727208614349365, -1.1659799814224243, 1.0500375032424927, 
10, 3419549547, 0.5518096, -0.38330847, -0.66882944, -0.31819513, 9.6576566696167, 0.040299102663993835, -1.9297938346862793, 7.718292236328125, -0.8546447157859802, 0.7702957391738892, 
11, 3419566214, 0.5519705, -0.38294846, -0.66927207, -0.31741804, 9.66678237915039, 0.04690200835466385, -1.8517049551010132, 6.519956111907959, -0.6559413075447083, 0.525931179523468, 
12, 3419582881, 0.55210114, -0.38267872, -0.66956323, -0.3169015, 9.678577423095703, 0.09606213867664337, -1.8816078901290894, 5.543248176574707, -0.20234033465385437, 0.17604249715805054, 
13, 3419599548, 0.55217797, -0.38230386, -0.66995454, -0.31639224, 9.708148002624512, 0.19358377158641815, -1.858107566833496, 5.818418502807617, -0.8121531009674072, -0.45161595940589905, 
14, 3419616215, 0.55222905, -0.38193533, -0.67024165, -0.31614032, 9.717886924743652, 0.18510174751281738, -1.8623433113098145, 4.66255521774292, -0.1358753889799118, -0.8034704327583313, 
15, 3419632882, 0.5522839, -0.38142666, -0.67059475, -0.31590974, 9.672435760498047, 0.09558714926242828, -1.8807275295257568, 4.041050434112549, -0.19281241297721863, -1.207869291305542, 
