sep=,
DeviceTag:,Trunk - 8,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 12:04:51.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 3430135397, 0.8058556, 0.12605108, -0.528944, 0.23436318, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 3430152064, 0.8057595, 0.12582593, -0.5291825, 0.2342761, 9.075186729431152, -0.4994741678237915, 4.069502353668213, 2.1752800941467285, -0.27484989166259766, 0.7553889751434326, 
2, 3430168731, 0.80554646, 0.12573184, -0.52922946, 0.2349526, 9.064373016357422, -0.5003402233123779, 4.043585300445557, 2.5481882095336914, -0.21540279686450958, 0.5904687643051147, 
3, 3430185398, 0.80531543, 0.12561995, -0.5293477, 0.23553772, 9.055323600769043, -0.49795979261398315, 4.073777675628662, 3.1327338218688965, -0.11689633876085281, 0.9335507750511169, 
4, 3430202065, 0.80502886, 0.12592648, -0.5292414, 0.2365897, 9.07182502746582, -0.4897836148738861, 4.011506080627441, 3.8425261974334717, -0.24289807677268982, 1.3122347593307495, 
5, 3430218732, 0.80470514, 0.12622204, -0.529343, 0.23730548, 9.0923433303833, -0.4823870062828064, 4.05932092666626, 4.016014099121094, -0.6603979468345642, 1.5836910009384155, 
6, 3430235399, 0.804424, 0.12647063, -0.5295025, 0.23776984, 9.131783485412598, -0.48017236590385437, 4.0708794593811035, 3.875899314880371, -1.3690115213394165, 1.6392319202423096, 
7, 3430252066, 0.8041744, 0.1267717, -0.5296036, 0.23822857, 9.134931564331055, -0.4670276343822479, 4.0826311111450195, 4.104109287261963, -1.1648401021957397, 1.7481757402420044, 
8, 3430268733, 0.8039832, 0.12701757, -0.5296849, 0.23856162, 9.122252464294434, -0.5086952447891235, 4.11896276473999, 3.992795944213867, -1.124948263168335, 1.838255524635315, 
9, 3430285400, 0.8037848, 0.12733099, -0.5296563, 0.23912585, 9.094769477844238, -0.4997946321964264, 4.1123809814453125, 4.402701377868652, -0.8387903571128845, 2.191377878189087, 
10, 3430302067, 0.80356205, 0.12768044, -0.5295638, 0.23989202, 9.071588516235352, -0.48620283603668213, 4.112764358520508, 4.072412967681885, -0.6411499381065369, 2.5291836261749268, 
11, 3430318734, 0.8034667, 0.12772882, -0.5294998, 0.24032676, 9.078340530395508, -0.4677425026893616, 4.101536273956299, 3.4970815181732178, -0.4388992488384247, 2.7892873287200928, 
12, 3430335401, 0.80336237, 0.12775946, -0.529447, 0.24077487, 9.0684175491333, -0.47769343852996826, 4.105433464050293, 3.3874077796936035, -0.5153146982192993, 3.0833468437194824, 
13, 3430352068, 0.8032338, 0.12781972, -0.52940184, 0.2412701, 9.087950706481934, -0.478319376707077, 4.111572265625, 3.4297397136688232, -0.6595783829689026, 3.217935562133789, 
14, 3430368735, 0.8031189, 0.1278729, -0.5293514, 0.24173523, 9.064554214477539, -0.46437734365463257, 4.095541954040527, 3.3405814170837402, -0.5860955119132996, 3.136371374130249, 
15, 3430385402, 0.8029531, 0.1280913, -0.5292921, 0.24229908, 9.048501014709473, -0.48095300793647766, 4.13198709487915, 3.930140733718872, -0.8331171274185181, 2.9120872020721436, 
16, 3430402069, 0.8027259, 0.1283539, -0.52921486, 0.24308062, 9.097424507141113, -0.5346032977104187, 4.2372846603393555, 3.3867483139038086, -0.8023947477340698, 3.319258689880371, 
17, 3430418736, 0.802645, 0.1283338, -0.5291525, 0.24349375, 9.011140823364258, -0.4691219925880432, 4.120540142059326, 3.02158784866333, -0.5352286100387573, 3.1937308311462402, 
18, 3430435403, 0.8023661, 0.12880851, -0.5291303, 0.24420995, 9.083086967468262, -0.42525848746299744, 4.066259384155273, 6.328821659088135, -1.9893512725830078, 3.2097582817077637, 
19, 3430452070, 0.8022913, 0.12881547, -0.52896, 0.24481972, 9.17374324798584, -0.520621657371521, 4.244021415710449, 3.4692087173461914, 0.40056347846984863, 3.9933085441589355, 
20, 3430468737, 0.8024482, 0.12857386, -0.52863216, 0.24514057, 9.006973266601562, -0.5953801870346069, 4.06602144241333, 2.865144968032837, 2.1109535694122314, 3.5192296504974365, 
21, 3430485404, 0.8024139, 0.128656, -0.5284564, 0.24558814, 8.960817337036133, -0.5600899457931519, 4.090956687927246, 3.8974523544311523, 0.29813823103904724, 2.847088575363159, 
22, 3430502071, 0.802205, 0.1287041, -0.52857375, 0.24599251, 9.025822639465332, -0.5084074139595032, 4.222436904907227, 3.153198480606079, -1.8992969989776611, 3.198481798171997, 
23, 3430518738, 0.8020068, 0.12877767, -0.52862793, 0.24648304, 9.055760383605957, -0.5161951780319214, 4.2193193435668945, 4.184929370880127, -1.5739388465881348, 3.743238687515259, 
24, 3430535405, 0.80187213, 0.12878937, -0.52859235, 0.24699102, 9.051009178161621, -0.5382880568504333, 4.259460926055908, 3.592975378036499, -0.7421663999557495, 3.7075283527374268, 
25, 3430552072, 0.8018123, 0.12875828, -0.5284576, 0.24748953, 9.061535835266113, -0.5429505109786987, 4.190382480621338, 3.2175190448760986, 0.09703372418880463, 3.497875452041626, 
26, 3430568739, 0.80173814, 0.12872615, -0.52837944, 0.2479132, 9.043868064880371, -0.5364723205566406, 4.1655964851379395, 3.1858038902282715, -0.3373192846775055, 3.3073489665985107, 
27, 3430585406, 0.8016274, 0.12872848, -0.52834785, 0.24833696, 9.038105010986328, -0.5523036122322083, 4.125647068023682, 2.8886513710021973, -0.7300580143928528, 3.091632127761841, 
28, 3430602073, 0.80149347, 0.12876023, -0.5283522, 0.24874288, 9.004298210144043, -0.5820099711418152, 4.140364646911621, 2.8334689140319824, -1.0191932916641235, 2.9026360511779785, 
29, 3430618740, 0.8013318, 0.12882952, -0.52837086, 0.24918789, 8.999608993530273, -0.5588966012001038, 4.187498092651367, 2.9218392372131348, -1.1841391324996948, 2.901682138442993, 
