sep=,
DeviceTag:,forearm - 7,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-06 18:21:14.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1684923464, 0.06388044, 0.56877303, -0.374525, 0.7294738, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1684940131, 0.064378336, 0.56821007, -0.3756174, 0.7293179, 8.714163780212402, -4.708555221557617, 0.727207362651825, 0.28110581636428833, -1.9645837545394897, 2.3104772567749023, 
2, 1684956798, 0.06420268, 0.56811047, -0.3759469, 0.729241, 8.752880096435547, -4.663854598999023, 0.7446593642234802, -0.03674141690135002, -1.8331265449523926, 2.3189291954040527, 
3, 1684973465, 0.06436611, 0.568192, -0.3759181, 0.729178, 8.742045402526855, -4.6795878410339355, 0.7392984628677368, -1.3310407400131226, -1.6953555345535278, 2.0335137844085693, 
4, 1684990132, 0.06459667, 0.56822634, -0.37598708, 0.72909534, 8.716309547424316, -4.784712791442871, 0.7030029296875, -1.1754947900772095, -1.8128154277801514, 2.0529537200927734, 
5, 1685006799, 0.064213105, 0.5683255, -0.37608993, 0.7289987, 8.701994895935059, -4.765217304229736, 0.676326334476471, -0.2175799012184143, -1.844165563583374, 1.9620544910430908, 
6, 1685023466, 0.06388199, 0.56834203, -0.37631056, 0.72890127, 8.653557777404785, -4.832006454467773, 0.6570092439651489, 2.0648510456085205, -2.178705930709839, 1.824014663696289, 
7, 1685040133, 0.06327576, 0.5683782, -0.37645072, 0.7288534, 8.638479232788086, -4.740452289581299, 0.6839058995246887, 3.940865993499756, -2.3850290775299072, 1.6567381620407104, 
8, 1685056800, 0.06263121, 0.5685067, -0.37645957, 0.72880423, 8.673798561096191, -4.678817272186279, 0.6799372434616089, 3.6973278522491455, -2.5180869102478027, 1.4304373264312744, 
9, 1685073467, 0.062053595, 0.56873196, -0.3763555, 0.72873163, 8.675963401794434, -4.692561149597168, 0.658960223197937, 3.1204655170440674, -2.536323070526123, 1.2190556526184082, 
10, 1685090134, 0.061396353, 0.5690592, -0.37607574, 0.72867644, 8.678147315979004, -4.750640392303467, 0.6435421109199524, 3.5303711891174316, -2.594438314437866, 1.0547118186950684, 
11, 1685106801, 0.060825557, 0.56933266, -0.37584972, 0.7286273, 8.679533004760742, -4.765645980834961, 0.6064997911453247, 4.730838775634766, -3.005586624145508, 1.1274007558822632, 
12, 1685123468, 0.06020493, 0.5696313, -0.3755693, 0.72859013, 8.69814395904541, -4.734614849090576, 0.6228499412536621, 5.972043991088867, -3.399202823638916, 1.1250572204589844, 
13, 1685140135, 0.059618715, 0.5699535, -0.37533775, 0.7285055, 8.709281921386719, -4.629225730895996, 0.6547368168830872, 5.666394233703613, -3.7166850566864014, 1.2030607461929321, 
14, 1685156802, 0.05910365, 0.5703424, -0.3751688, 0.72833014, 8.745539665222168, -4.596598148345947, 0.6747094392776489, 3.787459373474121, -3.7965197563171387, 1.192623496055603, 
15, 1685173469, 0.05880744, 0.5706871, -0.37517515, 0.7280807, 8.758262634277344, -4.618446350097656, 0.6746331453323364, 2.126885175704956, -3.699409008026123, 1.2671821117401123, 
16, 1685190136, 0.058601785, 0.5710261, -0.37530574, 0.72776407, 8.75023078918457, -4.665704727172852, 0.6583492159843445, 0.6716227531433105, -3.727506637573242, 1.4821239709854126, 
17, 1685206803, 0.058365982, 0.5713592, -0.3753735, 0.7274867, 8.734081268310547, -4.745641231536865, 0.6842802166938782, 1.552187442779541, -3.87064266204834, 1.4900764226913452, 
18, 1685223470, 0.057931267, 0.5717429, -0.37524083, 0.7272885, 8.733053207397461, -4.688955783843994, 0.7142075896263123, 2.643416404724121, -3.874446153640747, 1.416516900062561, 
19, 1685240137, 0.057778195, 0.57199407, -0.3752882, 0.7270787, 8.7190523147583, -4.643794536590576, 0.7222651839256287, 2.088542938232422, -3.6127355098724365, 1.1578541994094849, 
20, 1685256804, 0.05762881, 0.5722431, -0.3753015, 0.72688764, 8.724740028381348, -4.6979899406433105, 0.7477383613586426, 1.4204738140106201, -3.1769351959228516, 0.9902317523956299, 
21, 1685273471, 0.057419177, 0.57249993, -0.3751615, 0.7267743, 8.713579177856445, -4.750907897949219, 0.7369386553764343, 1.922431468963623, -2.771358013153076, 0.6093325018882751, 
