sep=,
DeviceTag:,hand - 8,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-06 18:21:14.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1684615041, 0.3661335, 0.6305951, -0.39088225, 0.56170034, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1684631708, 0.36564198, 0.6307783, -0.39117283, 0.56161255, 9.869945526123047, 0.23737584054470062, -0.9595776796340942, 2.760248899459839, -3.1367745399475098, 1.4021737575531006, 
2, 1684648375, 0.36570367, 0.63063544, -0.391368, 0.5615968, 9.86385726928711, 0.26085901260375977, -0.938141405582428, 2.518862009048462, -2.789044141769409, 1.50636625289917, 
3, 1684665042, 0.36569926, 0.630658, -0.3910528, 0.56179386, 9.888880729675293, 0.2723735570907593, -0.9455224871635437, 1.7845457792282104, -2.9431557655334473, 1.6095086336135864, 
4, 1684681709, 0.36588243, 0.6306507, -0.39099056, 0.5617263, 9.879281044006348, 0.3406792879104614, -0.9258939623832703, 0.7659030556678772, -3.505918264389038, 1.5928860902786255, 
5, 1684698376, 0.36623576, 0.6307482, -0.39092943, 0.56142884, 9.878162384033203, 0.3160801827907562, -0.9626667499542236, -0.9664313197135925, -4.17501163482666, 1.4478284120559692, 
6, 1684715043, 0.36640146, 0.63100225, -0.39071894, 0.5611819, 9.90796184539795, 0.2314118891954422, -0.983768880367279, -0.1849236786365509, -3.6451098918914795, 0.8363698720932007, 
7, 1684731710, 0.3665072, 0.63106656, -0.390796, 0.5609867, 9.889104843139648, 0.13970591127872467, -1.028368592262268, 2.049700975418091, -2.683314561843872, 0.9264177083969116, 
8, 1684748377, 0.3660336, 0.6312432, -0.3905638, 0.5612589, 9.858620643615723, 0.20539259910583496, -1.0374252796173096, 4.910037994384766, -1.0539371967315674, 1.1476603746414185, 
9, 1684765044, 0.36548087, 0.6314833, -0.39025685, 0.56156236, 9.784991264343262, 0.2776639461517334, -0.9932398796081543, 5.9768195152282715, -0.6530214548110962, 0.7035104036331177, 
10, 1684781711, 0.3651146, 0.6316926, -0.39007324, 0.5616927, 9.77331256866455, 0.323213666677475, -0.9734225273132324, 4.743747234344482, -1.030770182609558, 0.43410322070121765, 
11, 1684798378, 0.36486027, 0.63191473, -0.38999727, 0.5616609, 9.816091537475586, 0.28804922103881836, -1.047472357749939, 3.7616920471191406, -1.8089865446090698, 0.4154699742794037, 
12, 1684815045, 0.36445665, 0.632258, -0.38975576, 0.5617044, 9.857837677001953, 0.22368311882019043, -1.099557638168335, 4.80389928817749, -1.704538106918335, 0.2893659174442291, 
13, 1684831712, 0.36394522, 0.632616, -0.3893969, 0.5618816, 9.86129379272461, 0.2650252878665924, -1.1059021949768066, 6.611220836639404, -0.8549135327339172, 0.23387597501277924, 
14, 1684848379, 0.3633842, 0.63300776, -0.38895497, 0.5621096, 9.819169044494629, 0.316455602645874, -1.1141201257705688, 7.849558353424072, -0.4827995002269745, 0.03900174796581268, 
15, 1684865046, 0.362817, 0.6335083, -0.38857412, 0.56217545, 9.785006523132324, 0.38492730259895325, -1.0590046644210815, 6.9620890617370605, -1.6471272706985474, -0.19045604765415192, 
16, 1684881713, 0.36229882, 0.634076, -0.3883863, 0.5619996, 9.818453788757324, 0.3537372350692749, -1.0246027708053589, 4.734667778015137, -3.3691327571868896, -0.004802381154149771, 
17, 1684898380, 0.361958, 0.63455975, -0.388461, 0.5616214, 9.880846977233887, 0.35164299607276917, -1.0074974298477173, 3.110016345977783, -4.216389179229736, 0.15854905545711517, 
18, 1684915047, 0.36163393, 0.63503444, -0.3885526, 0.56122994, 9.888543128967285, 0.28805944323539734, -1.013601541519165, 2.3012819290161133, -4.410276889801025, 0.26172977685928345, 
19, 1684931714, 0.36127216, 0.63550687, -0.3885256, 0.56094706, 9.880768775939941, 0.24472998082637787, -1.0236144065856934, 3.5354368686676025, -3.8538668155670166, 0.042337797582149506, 
20, 1684948381, 0.360823, 0.6360261, -0.3883373, 0.5607779, 9.873115539550781, 0.28700003027915955, -0.9428765773773193, 5.084389686584473, -3.4645400047302246, -0.3189677298069, 
21, 1684965048, 0.36048132, 0.6364573, -0.38828924, 0.56054157, 9.848047256469727, 0.321296751499176, -0.8731309771537781, 4.100107192993164, -3.6564180850982666, -0.15528981387615204, 
