sep=,
DeviceTag:,upper arm - 6,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-06 18:21:14.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1984587465, 0.100014985, -0.68900025, -0.14317942, -0.7034035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1984604132, 0.099885926, -0.68926114, -0.14258458, -0.70328635, 9.825014114379883, 0.5592287182807922, 0.11615683138370514, 0.9742110371589661, -2.7523534297943115, 0.7679519653320312, 
2, 1984620799, 0.100389086, -0.6895043, -0.1420123, -0.70309204, 9.847164154052734, 0.5355706810951233, 0.09392045438289642, 1.4309749603271484, -2.9147377014160156, 1.0280873775482178, 
3, 1984637466, 0.100961775, -0.6898332, -0.14130977, -0.7028289, 9.91423225402832, 0.5100228786468506, 0.0853029415011406, 1.9537816047668457, -2.530470848083496, 1.3253227472305298, 
4, 1984654133, 0.10171028, -0.69015753, -0.1408355, -0.70249784, 9.89918041229248, 0.534846305847168, 0.12569963932037354, 2.248993396759033, -2.4044687747955322, 1.3426368236541748, 
5, 1984670800, 0.10192978, -0.69046026, -0.14019135, -0.70229733, 9.894150733947754, 0.5614534020423889, 0.13894012570381165, 2.2115862369537354, -2.763507843017578, 1.2727015018463135, 
6, 1984687467, 0.10198232, -0.69068307, -0.1396889, -0.7021707, 9.885541915893555, 0.5680859684944153, 0.16544151306152344, 1.834541916847229, -2.790107011795044, 1.2754037380218506, 
7, 1984704134, 0.101898946, -0.6908468, -0.13928963, -0.702101, 9.8372802734375, 0.5210722088813782, 0.16656215488910675, 1.2999789714813232, -2.895618200302124, 1.0052024126052856, 
8, 1984720801, 0.101907566, -0.6909822, -0.1390326, -0.7020175, 9.820633888244629, 0.4598929286003113, 0.12374655902385712, 1.4311542510986328, -2.9953665733337402, 0.8303572535514832, 
9, 1984737468, 0.102061145, -0.69114757, -0.1389318, -0.70185214, 9.829139709472656, 0.3912922143936157, 0.14856413006782532, 2.7926998138427734, -3.1195883750915527, 0.5087898969650269, 
10, 1984754135, 0.102295704, -0.6913423, -0.13882074, -0.70164824, 9.827542304992676, 0.4065496027469635, 0.13832424581050873, 4.248833179473877, -3.2066078186035156, 0.4696921110153198, 
11, 1984770802, 0.10285067, -0.69151795, -0.13898535, -0.70136136, 9.826997756958008, 0.4519190788269043, 0.1298515647649765, 5.442604064941406, -3.350935935974121, 0.5954121351242065, 
12, 1984787469, 0.10343476, -0.6917103, -0.13924146, -0.701035, 9.830094337463379, 0.5199747085571289, 0.10846073180437088, 6.014074802398682, -3.517021656036377, 0.5331605076789856, 
13, 1984804136, 0.10375891, -0.6919518, -0.13938086, -0.70072097, 9.852376937866211, 0.5619001388549805, 0.09484577178955078, 6.001883029937744, -3.589531183242798, 0.2909923791885376, 
14, 1984820803, 0.10399108, -0.6922258, -0.13952892, -0.7003863, 9.846100807189941, 0.6004881858825684, 0.07109734416007996, 5.692417144775391, -3.7751331329345703, 0.27194926142692566, 
15, 1984837470, 0.104306385, -0.69251776, -0.13977697, -0.7000013, 9.827460289001465, 0.6207758188247681, 0.08287506550550461, 4.856828212738037, -4.017813682556152, 0.6335110664367676, 
16, 1984854137, 0.104561165, -0.69287133, -0.13990913, -0.6995868, 9.856921195983887, 0.6415649652481079, 0.05637030676007271, 3.6054422855377197, -4.367733955383301, 1.294779658317566, 
17, 1984870804, 0.10458662, -0.6932988, -0.13976718, -0.69918793, 9.863079071044922, 0.659227728843689, 0.05443441495299339, 1.9529107809066772, -4.5278520584106445, 1.8203011751174927, 
18, 1984887471, 0.10448567, -0.6937437, -0.13950628, -0.6988137, 9.897549629211426, 0.6082663536071777, 0.06449420750141144, 0.21441030502319336, -4.494964599609375, 1.9945183992385864, 
19, 1984904138, 0.104121156, -0.6942099, -0.13904896, -0.69849616, 9.901287078857422, 0.5423039793968201, 0.10025008767843246, -0.7738878726959229, -4.351035118103027, 1.7142775058746338, 
20, 1984920805, 0.103901096, -0.69464713, -0.13881509, -0.6981406, 9.847601890563965, 0.4626844823360443, 0.11019071191549301, -0.7745537757873535, -4.548624038696289, 1.3035906553268433, 
21, 1984937472, 0.10368114, -0.69513565, -0.13856137, -0.69773746, 9.863901138305664, 0.4119347631931305, 0.0886639654636383, -0.26742222905158997, -5.029502868652344, 1.3478108644485474, 
22, 1984954139, 0.103530824, -0.6955815, -0.13837479, -0.6973523, 9.894487380981445, 0.3775043785572052, 0.04956800490617752, 0.4780162274837494, -4.735352516174316, 1.1466999053955078, 
23, 1984970806, 0.10338322, -0.696027, -0.13817553, -0.69696903, 9.883519172668457, 0.3703269064426422, 0.06728284806013107, 1.4395426511764526, -4.644556045532227, 1.052214503288269, 
24, 1984987473, 0.10344801, -0.6964157, -0.1382017, -0.696566, 9.873323440551758, 0.4036979079246521, 0.06665001064538956, 2.467674970626831, -4.488818168640137, 0.831074595451355, 
25, 1985004140, 0.103404656, -0.69682455, -0.1381221, -0.69617915, 9.862220764160156, 0.5027709007263184, 0.07959024608135223, 3.1223998069763184, -4.460208892822266, 0.7424289584159851, 
26, 1985020807, 0.10355269, -0.69722706, -0.13820577, -0.6957375, 9.878689765930176, 0.5981418490409851, 0.06077391654253006, 3.2300493717193604, -4.730165958404541, 0.9499173164367676, 
27, 1985037474, 0.1037611, -0.6976269, -0.13819383, -0.69530797, 9.959145545959473, 0.6789057850837708, 0.00714658061042428, 2.3513805866241455, -4.57436466217041, 1.7878755331039429, 
28, 1985054141, 0.10386209, -0.69803596, -0.13783702, -0.69495296, 9.97947883605957, 0.7565619945526123, 0.017806602641940117, 0.3724791407585144, -4.0790791511535645, 3.0107409954071045, 
29, 1985070808, 0.103754975, -0.6984754, -0.13710275, -0.69467247, 9.988191604614258, 0.7616175413131714, -0.007763314060866833, -2.0625524520874023, -3.764580488204956, 3.955414295196533, 
30, 1985087475, 0.10340002, -0.6989328, -0.13603392, -0.69447553, 9.960412979125977, 0.7126271724700928, 0.013401574455201626, -4.3145880699157715, -3.3960013389587402, 4.461035251617432, 
31, 1985104142, 0.10297709, -0.6993733, -0.13499111, -0.6942984, 9.960199356079102, 0.5929374098777771, 0.03957340866327286, -5.389680862426758, -3.3380911350250244, 4.083158016204834, 
32, 1985120809, 0.1024462, -0.699783, -0.1340174, -0.69415265, 9.94530963897705, 0.49648138880729675, 0.03921451419591904, -5.31421422958374, -3.1893582344055176, 3.1961138248443604, 
33, 1985137476, 0.10191798, -0.7001822, -0.13315614, -0.69399375, 9.92277717590332, 0.38537418842315674, -0.004626881331205368, -4.24296236038208, -3.2684497833251953, 2.628779172897339, 
34, 1985154143, 0.10155974, -0.70055926, -0.13259134, -0.69377387, 9.872864723205566, 0.3266662061214447, 0.013129537925124168, -2.1469976902008057, -3.5082619190216064, 1.9640650749206543, 
35, 1985170810, 0.10125511, -0.7009009, -0.13224696, -0.693539, 9.886415481567383, 0.37975168228149414, -0.005338754970580339, -0.7398099899291992, -3.511104106903076, 1.0475658178329468, 
36, 1985187477, 0.10072323, -0.7011818, -0.13186614, -0.69340485, 9.9307222366333, 0.49736353754997253, -0.032221004366874695, -1.71567964553833, -2.8955154418945312, -0.04377210512757301, 
37, 1985204144, 0.099918455, -0.70142, -0.13147318, -0.69335485, 9.877814292907715, 0.5270335674285889, -0.018575023859739304, -3.6170389652252197, -2.529676914215088, -1.3767338991165161, 
38, 1985220811, 0.09899951, -0.7017125, -0.13103843, -0.69327325, 9.805249214172363, 0.4883138835430145, 0.03610975295305252, -4.1974992752075195, -2.997403144836426, -1.6442073583602905, 
39, 1985237478, 0.09823859, -0.7020519, -0.13066846, -0.6931076, 9.750870704650879, 0.43698936700820923, 0.10801903903484344, -3.164743423461914, -3.5418777465820312, -1.1122187376022339, 
40, 1985254145, 0.09765295, -0.70238805, -0.13037626, -0.69290483, 9.828855514526367, 0.36271414160728455, 0.04140697047114372, -1.8454972505569458, -3.6313939094543457, -0.6564406752586365, 
41, 1985270812, 0.097209126, -0.70259684, -0.13016869, -0.69279456, 9.870383262634277, 0.29388460516929626, -0.019811931997537613, -0.692977249622345, -2.5146164894104004, -0.6152170300483704, 
42, 1985287479, 0.096911594, -0.70277053, -0.13005123, -0.6926819, 9.892045974731445, 0.3179117739200592, -0.03985809162259102, 0.4388800263404846, -2.279991388320923, -0.4463781714439392, 
43, 1985304146, 0.09678482, -0.70301116, -0.12999538, -0.692466, 9.907674789428711, 0.4181908071041107, -0.016007212921977043, 1.573215365409851, -2.9756834506988525, 0.14812463521957397, 
44, 1985320813, 0.096861005, -0.70335865, -0.12998042, -0.6921053, 9.930459022521973, 0.5389882326126099, 0.08886618167161942, 2.629777669906616, -4.034883499145508, 1.0933228731155396, 
45, 1985337480, 0.09701474, -0.7037193, -0.12992136, -0.6917282, 9.934203147888184, 0.6390181183815002, 0.13500995934009552, 2.9317259788513184, -4.098109245300293, 1.709590196609497, 
46, 1985354147, 0.09719017, -0.7039908, -0.12982346, -0.6914456, 9.880867004394531, 0.6738588213920593, 0.09874716401100159, 2.7936482429504395, -3.209092378616333, 1.8960893154144287, 
47, 1985370814, 0.09727761, -0.7041836, -0.12974587, -0.6912515, 9.831303596496582, 0.6274698376655579, 0.05698838457465172, 2.3789782524108887, -2.5255661010742188, 1.2957913875579834, 
48, 1985387481, 0.09726404, -0.70442486, -0.12964381, -0.69102675, 9.808382987976074, 0.6037370562553406, -0.003979649394750595, 1.9298784732818604, -2.9853270053863525, 1.0237395763397217, 
49, 1985404148, 0.097249076, -0.7047086, -0.12959783, -0.69074816, 9.818450927734375, 0.5562087297439575, -0.0024609467945992947, 1.9295263290405273, -3.4972732067108154, 0.8490417003631592, 
50, 1985420815, 0.09721937, -0.70498717, -0.12966931, -0.6904547, 9.82973575592041, 0.5178642868995667, -0.01475721038877964, 2.638498306274414, -3.6277952194213867, 0.21891812980175018, 
