sep=,
DeviceTag:,forearm - 7,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-06 18:08:57.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 948158961, -3.1052288E-4, -0.62133974, 0.29363528, -0.7264586, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 948175628, 8.266317E-4, -0.62188596, 0.29203275, -0.7266182, 9.240575790405273, -4.144229888916016, 0.7194846868515015, 5.475106716156006, -5.560070514678955, 0.47302186489105225, 
2, 948192295, 8.068918E-4, -0.6222387, 0.2892858, -0.72741467, 9.394566535949707, -4.161321640014648, 0.79511958360672, 5.03309440612793, -5.623307228088379, 0.3626950681209564, 
3, 948208962, 3.9605002E-4, -0.62233704, 0.2864411, -0.72845596, 9.32514476776123, -4.06598424911499, 0.822820246219635, 4.091917514801025, -5.5954413414001465, 0.5367463231086731, 
4, 948225629, -4.3209427E-4, -0.62229, 0.2842517, -0.72935325, 9.148427963256836, -3.983764410018921, 0.8204606771469116, 2.857935667037964, -5.194742202758789, 0.36387327313423157, 
5, 948242296, -0.0010362018, -0.62237847, 0.28247017, -0.72996914, 8.969267845153809, -3.8881239891052246, 0.8074997067451477, 0.31939682364463806, -4.523958683013916, -0.28198304772377014, 
6, 948258963, -0.0016364364, -0.62257785, 0.28095183, -0.7303838, 8.771318435668945, -3.949410915374756, 0.6662075519561768, -0.19907473027706146, -4.147900581359863, -1.8077062368392944, 
7, 948275630, -0.001799444, -0.6229838, 0.27945453, -0.7306115, 8.706205368041992, -3.9879894256591797, 0.5570653080940247, 2.763232946395874, -3.945777654647827, -3.6069090366363525, 
8, 948292297, -0.0017011852, -0.6235389, 0.277995, -0.73069507, 8.739376068115234, -3.8440325260162354, 0.5030003786087036, 5.456793785095215, -3.648914098739624, -5.084467887878418, 
9, 948308964, -0.001984988, -0.62407625, 0.2768349, -0.73067594, 8.933801651000977, -3.6094698905944824, 0.6194913983345032, 4.433603763580322, -2.285088539123535, -5.978645324707031, 
