sep=,
DeviceTag:,hand - 8,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-06 18:08:57.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 947879755, 0.37694287, 0.6796458, -0.27330703, 0.5668323, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 947896422, 0.37670532, 0.68061584, -0.27248088, 0.5662238, 9.85629653930664, 2.1639657020568848, -0.6924126148223877, 5.838639736175537, -2.838348627090454, -1.4451583623886108, 
2, 947913089, 0.37715358, 0.6813523, -0.27115136, 0.56567764, 10.009170532226562, 2.1422314643859863, -0.6055701375007629, 5.096139907836914, -4.38420295715332, -2.7269585132598877, 
3, 947929756, 0.3778031, 0.6813784, -0.27030557, 0.5656177, 9.92374038696289, 2.1241886615753174, -0.5061897039413452, 3.842641830444336, -5.607299327850342, -2.502963066101074, 
4, 947946423, 0.3785754, 0.6809627, -0.2696971, 0.5658924, 9.782872200012207, 2.158663272857666, -0.3593165874481201, 1.7078484296798706, -5.863285064697266, -2.5239522457122803, 
5, 947963090, 0.3798717, 0.6801982, -0.26930442, 0.56613, 9.437872886657715, 2.110698938369751, -0.306094765663147, -1.484794020652771, -6.293643474578857, -2.8605804443359375, 
6, 947979757, 0.38115293, 0.6794493, -0.2689051, 0.56635785, 9.380289077758789, 2.007730722427368, -0.31140536069869995, -2.102290630340576, -5.974905490875244, -2.7818214893341064, 
7, 947996424, 0.38187623, 0.67877877, -0.2676732, 0.5672575, 9.373552322387695, 2.0349133014678955, -0.3886559009552002, 2.1257071495056152, -0.8966623544692993, -4.134607791900635, 
8, 948013091, 0.3824747, 0.6781292, -0.2659374, 0.56844634, 9.315855979919434, 2.1739773750305176, -0.390950083732605, 5.7571282386779785, 4.138506889343262, -5.860301971435547, 
9, 948029758, 0.38343048, 0.67754686, -0.26434848, 0.5692375, 9.305869102478027, 2.4181370735168457, -0.3600406348705292, 3.4811575412750244, 4.384389877319336, -7.005472183227539, 
10, 948046425, 0.38540944, 0.676891, -0.26374036, 0.5689631, 9.411956787109375, 2.5681772232055664, -0.26005712151527405, -8.427657127380371, 0.041780732572078705, -7.330574035644531, 
11, 948063092, 0.38823262, 0.6759085, -0.26494652, 0.56765, 9.346986770629883, 2.3416824340820312, -0.4594478905200958, -22.228404998779297, -6.298149585723877, -3.043754816055298, 
12, 948079759, 0.39077023, 0.67494655, -0.2667015, 0.56622976, 9.604802131652832, 2.0258185863494873, -0.8188453316688538, -23.291521072387695, -7.46067476272583, -0.07199744880199432, 
13, 948096426, 0.39222342, 0.67455804, -0.26732832, 0.5653919, 9.612268447875977, 2.0351338386535645, -0.9534139037132263, -13.226547241210938, -4.107370376586914, -2.159574508666992, 
14, 948113093, 0.39306986, 0.6744983, -0.26734453, 0.5648672, 9.533618927001953, 2.1794841289520264, -0.9660012125968933, -5.494206428527832, -1.2126332521438599, -3.5727920532226562, 
15, 948129760, 0.39350757, 0.6746567, -0.26736388, 0.56436414, 9.552735328674316, 2.204141855239868, -1.0686639547348022, -1.6777087450027466, -1.1069425344467163, -2.74750018119812, 
16, 948146427, 0.39336628, 0.67524576, -0.26712433, 0.56387126, 9.511612892150879, 2.1824820041656494, -1.1356905698776245, 2.4113781452178955, -2.185826301574707, -2.6592512130737305, 
17, 948163094, 0.39285052, 0.6763253, -0.26697728, 0.563006, 9.470348358154297, 2.3687119483947754, -1.047072172164917, 4.18783712387085, -5.963034629821777, -2.88346529006958, 
18, 948179761, 0.39246345, 0.67762786, -0.26748008, 0.5614691, 9.593399047851562, 2.523952007293701, -0.8486860394477844, -0.5903089046478271, -11.352578163146973, -2.343153238296509, 
19, 948196428, 0.39254203, 0.678776, -0.26884824, 0.5593701, 9.710494041442871, 2.3480799198150635, -0.8261772394180298, -6.119609832763672, -14.680624008178711, -1.1192121505737305, 
20, 948213095, 0.39235163, 0.67993796, -0.2700534, 0.5575087, 9.93154239654541, 2.129011392593384, -0.8511385917663574, -4.383270740509033, -14.085484504699707, -0.2507741153240204, 
21, 948229762, 0.3918528, 0.68102103, -0.27053913, 0.55630076, 10.029303550720215, 2.178236484527588, -0.8407920598983765, 1.6315996646881104, -9.42127513885498, -0.9835406541824341, 
22, 948246429, 0.39144918, 0.6818421, -0.27054656, 0.55557495, 10.021015167236328, 2.221437454223633, -0.8708576560020447, 4.461790561676025, -4.672858238220215, -2.179051637649536, 
23, 948263096, 0.39106858, 0.6825779, -0.27040008, 0.5550105, 9.914095878601074, 2.071627378463745, -0.9212448000907898, 4.6389665603637695, -3.454615592956543, -2.5405750274658203, 
24, 948279763, 0.39050853, 0.6834259, -0.2704423, 0.5543403, 9.921518325805664, 1.921836018562317, -0.9245604276657104, 5.056184768676758, -5.324791431427002, -1.7347356081008911, 
25, 948296430, 0.3897714, 0.68429077, -0.27096978, 0.55353385, 9.81155776977539, 1.977538824081421, -0.8787194490432739, 3.219587802886963, -7.955089092254639, 0.5440970659255981, 
26, 948313097, 0.38877732, 0.68517756, -0.2720065, 0.552627, 9.903813362121582, 1.9610655307769775, -0.910373866558075, 2.498295783996582, -10.49962329864502, 3.405062675476074, 
27, 948329764, 0.38731912, 0.6861711, -0.27258176, 0.55213434, 9.982908248901367, 2.0470540523529053, -0.9437200427055359, 7.617841720581055, -8.719501495361328, 3.7195870876312256, 
28, 948346431, 0.38557023, 0.687243, -0.2727255, 0.55195427, 9.682107925415039, 2.264756679534912, -0.7943190932273865, 11.674910545349121, -7.020829677581787, 3.370281219482422, 
29, 948363098, 0.38369253, 0.68841827, -0.27295277, 0.55168575, 9.584138870239258, 2.4168832302093506, -0.693499743938446, 12.181787490844727, -8.49709701538086, 3.9451980590820312, 
30, 948379765, 0.3817608, 0.6895525, -0.27269107, 0.55173904, 9.607172966003418, 2.4665074348449707, -0.6428356766700745, 14.143670082092285, -6.049339771270752, 3.0519797801971436, 
31, 948396432, 0.37984675, 0.69049895, -0.2718889, 0.5522717, 9.484904289245605, 2.556236505508423, -0.6480942368507385, 17.0848331451416, -1.7533190250396729, 2.197885513305664, 
32, 948413099, 0.37792808, 0.6913521, -0.2705404, 0.55318254, 9.398351669311523, 2.562227249145508, -0.7477807402610779, 19.455400466918945, 1.5399079322814941, 1.0612701177597046, 
33, 948429766, 0.37602445, 0.692234, -0.26878023, 0.5542338, 9.276937484741211, 2.5759694576263428, -0.8145871162414551, 21.69341278076172, 3.142446756362915, -0.44946524500846863, 
34, 948446433, 0.37416822, 0.693236, -0.26699236, 0.55510104, 9.248159408569336, 2.5525944232940674, -0.8560370802879333, 21.929353713989258, 1.9670906066894531, -1.2798303365707397, 
35, 948463100, 0.3723926, 0.694337, -0.26532733, 0.55571693, 9.32275676727295, 2.585984230041504, -0.87370365858078, 20.278339385986328, 0.029397018253803253, -1.5867218971252441, 
36, 948479767, 0.37074456, 0.69549686, -0.26384148, 0.55607605, 9.5358247756958, 2.4701907634735107, -0.901500403881073, 18.813302993774414, -1.6627147197723389, -1.8392888307571411, 
37, 948496434, 0.36927426, 0.6966194, -0.2624143, 0.5563245, 9.693517684936523, 2.436508893966675, -0.8290720582008362, 17.636625289916992, -1.8743267059326172, -2.3987600803375244, 
38, 948513101, 0.36794958, 0.69761026, -0.26133242, 0.5564696, 9.636837005615234, 2.3747477531433105, -0.8044397234916687, 14.994359016418457, -2.579226493835449, -1.2755390405654907, 
39, 948529768, 0.36660248, 0.698529, -0.2606403, 0.55653083, 9.654614448547363, 2.240105390548706, -0.8325385451316833, 13.351210594177246, -3.791949510574341, 0.6037749648094177, 
40, 948546435, 0.36507073, 0.6994789, -0.2598921, 0.55669445, 9.635584831237793, 2.274355411529541, -0.8489680290222168, 14.756299018859863, -3.6621062755584717, 1.20820951461792, 
41, 948563102, 0.36347622, 0.70042294, -0.25890505, 0.5570109, 9.57208251953125, 2.3266968727111816, -0.8195980191230774, 16.175254821777344, -2.4856507778167725, 0.6856526732444763, 
42, 948579769, 0.36190313, 0.7013467, -0.25795096, 0.5573154, 9.502800941467285, 2.3634979724884033, -0.8000413179397583, 15.939610481262207, -2.5544593334198, 0.7707573771476746, 
43, 948596436, 0.36027837, 0.7022885, -0.2571044, 0.5575731, 9.54456615447998, 2.388547420501709, -0.8206954598426819, 15.608314514160156, -3.2996931076049805, 1.377580165863037, 
