sep=,
DeviceTag:,upper arm - 6,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-06 18:08:57.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1247821842, 0.0064816237, -0.6843389, -0.14682452, -0.7141917, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1247838509, 0.007616928, -0.6845413, -0.14726883, -0.7139027, 9.733671188354492, 1.9529485702514648, 0.23384679853916168, 7.08013916015625, -3.175168514251709, 1.2564502954483032, 
2, 1247855176, 0.0086068185, -0.68446136, -0.1475201, -0.7139164, 9.946943283081055, 2.182464838027954, 0.15860264003276825, 7.368641376495361, -1.0529255867004395, 0.7139349579811096, 
3, 1247871843, 0.00858374, -0.6842059, -0.14890012, -0.71387494, 9.995770454406738, 2.26469349861145, 0.1721048206090927, 4.390408039093018, 1.4346762895584106, -0.3996350169181824, 
4, 1247888510, 0.007347094, -0.6840122, -0.15014887, -0.71381277, 9.863924026489258, 2.068847894668579, 0.2551497220993042, 2.393897771835327, 1.0709247589111328, -2.131681203842163, 
5, 1247905177, 0.0067689875, -0.6838409, -0.15141392, -0.7137156, 9.74117374420166, 1.925032615661621, 0.2576712965965271, 4.1572041511535645, -1.0378395318984985, -3.847693681716919, 
6, 1247921844, 0.007104247, -0.68384445, -0.15293579, -0.7133841, 9.557530403137207, 1.791744589805603, 0.20562557876110077, 7.741947174072266, -3.28085994720459, -4.995438575744629, 
7, 1247938511, 0.0076573635, -0.6841929, -0.1543385, -0.712742, 9.409856796264648, 1.5979799032211304, 0.20525255799293518, 12.736467361450195, -4.919882774353027, -6.1202616691589355, 
8, 1247955178, 0.009248026, -0.68458986, -0.15644841, -0.7118815, 9.425152778625488, 1.5666271448135376, 0.12109038978815079, 18.472349166870117, -5.670122146606445, -7.230040550231934, 
9, 1247971845, 0.011098038, -0.6850644, -0.15860665, -0.7109203, 9.394330978393555, 1.9732258319854736, 0.039251700043678284, 22.99188995361328, -5.031131744384766, -7.444480895996094, 
10, 1247988512, 0.012784707, -0.68547523, -0.16081616, -0.70999897, 9.426511764526367, 2.4484472274780273, -0.11971452087163925, 23.110200881958008, -3.8760926723480225, -6.489041805267334, 
11, 1248005179, 0.013945245, -0.68600523, -0.16279122, -0.7090146, 9.338549613952637, 2.628587484359741, -0.31065037846565247, 18.216054916381836, -4.505919456481934, -4.2360382080078125, 
12, 1248021846, 0.014530509, -0.6869955, -0.16425803, -0.70770437, 9.244379997253418, 2.6422972679138184, -0.32722052931785583, 12.053031921386719, -7.841948509216309, -1.2205101251602173, 
