sep=,
DeviceTag:,forearm - 7,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-06 18:30:47.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2258338833, -0.009633923, -0.6208548, 0.30808458, -0.7206317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 2258355500, -0.011231053, -0.6210829, 0.30933616, -0.7200287, 8.671382904052734, -4.1142096519470215, 0.28492122888565063, -8.435608863830566, -1.39787757396698, -1.791544795036316, 
2, 2258372167, -0.013409002, -0.6216621, 0.31093577, -0.7188013, 8.624673843383789, -4.256242752075195, 0.2648921012878418, -11.539207458496094, -1.2806740999221802, -2.3731846809387207, 
3, 2258388834, -0.014656085, -0.6220416, 0.3131187, -0.7174999, 8.65722370147705, -4.2886881828308105, 0.26592785120010376, -13.202433586120605, -1.3702418804168701, -2.5556111335754395, 
4, 2258405501, -0.015943678, -0.62211126, 0.31574526, -0.71626025, 8.726386070251465, -4.400137424468994, 0.29168349504470825, -15.258598327636719, -1.8554750680923462, -1.8547579050064087, 
5, 2258422168, -0.016837815, -0.6219361, 0.31839517, -0.71521795, 8.83509349822998, -4.595773220062256, 0.3926678001880646, -14.287517547607422, -2.7936816215515137, -0.3307754397392273, 
6, 2258438835, -0.01680542, -0.6215985, 0.32072067, -0.7144728, 8.966187477111816, -4.642094612121582, 0.5018123388290405, -12.03228759765625, -4.245793342590332, 1.6649863719940186, 
7, 2258455502, -0.01615876, -0.6212179, 0.32266083, -0.71394503, 9.105279922485352, -4.766517639160156, 0.630879819393158, -10.763679504394531, -5.603703498840332, 3.777676820755005, 
8, 2258472169, -0.015508293, -0.6204942, 0.32474875, -0.7136419, 9.181873321533203, -4.795973777770996, 0.7017998695373535, -9.457533836364746, -6.296142578125, 5.904710292816162, 
9, 2258488836, -0.014686818, -0.6196622, 0.32675588, -0.71346587, 9.134135246276855, -4.767129421234131, 0.7476852536201477, -9.484183311462402, -6.409773826599121, 7.685138702392578, 
10, 2258505503, -0.013520877, -0.61886233, 0.32844216, -0.713409, 8.995951652526855, -4.906412124633789, 0.7008393406867981, -8.984992027282715, -6.177812099456787, 8.997293472290039, 
11, 2258522170, -0.011865871, -0.6180204, 0.32976454, -0.71355826, 8.918482780456543, -4.936847686767578, 0.6024929881095886, -5.2850422859191895, -5.691951751708984, 10.012145042419434, 
12, 2258538837, -0.009901, -0.6171933, 0.33077997, -0.71383417, 8.860540390014648, -4.809793949127197, 0.5210088491439819, -1.5756425857543945, -5.379756927490234, 10.343915939331055, 
13, 2258555504, -0.007752384, -0.6164988, 0.33141217, -0.7141675, 8.806190490722656, -4.6964826583862305, 0.4179035425186157, 1.139119029045105, -5.078373432159424, 10.00150203704834, 
14, 2258572171, -0.005720669, -0.6159179, 0.33187518, -0.71447283, 8.773480415344238, -4.412535667419434, 0.3491441011428833, 2.037177085876465, -4.592397212982178, 9.35745620727539, 
15, 2258588838, -0.0043301727, -0.615423, 0.33255586, -0.71459246, 8.805584907531738, -4.281915664672852, 0.24046839773654938, -0.34851208329200745, -4.181466102600098, 8.337044715881348, 
16, 2258605505, -0.002945498, -0.61523235, 0.33278656, -0.7146566, 8.81745433807373, -4.393062591552734, 0.14275042712688446, 0.8005187511444092, -4.25575590133667, 7.009897232055664, 
17, 2258622172, -0.0015331303, -0.61528116, 0.33264002, -0.7146869, 8.853360176086426, -4.341804027557373, 0.06105402484536171, 3.3742244243621826, -4.915744304656982, 5.809340000152588, 
18, 2258638839, -2.6851834E-5, -0.6156429, 0.3320855, -0.71463495, 8.872065544128418, -4.372549533843994, 0.01015955489128828, 5.824015140533447, -6.169409275054932, 4.537182331085205, 
19, 2258655506, 0.001631148, -0.61621636, 0.3311153, -0.7145891, 8.918930053710938, -4.3084821701049805, 0.06624487787485123, 9.080276489257812, -7.014501571655273, 3.5478665828704834, 
20, 2258672173, 0.0031722626, -0.61690897, 0.33007243, -0.7144688, 8.933863639831543, -4.166415691375732, 0.10351569205522537, 9.451495170593262, -7.4968671798706055, 2.8880832195281982, 
21, 2258688840, 0.004394191, -0.61768454, 0.32916477, -0.7142109, 8.928755760192871, -4.309813499450684, 0.11321049928665161, 7.520295143127441, -7.637083053588867, 2.234715700149536, 
22, 2258705507, 0.0058073304, -0.61863136, 0.3279297, -0.7139495, 8.917204856872559, -4.574522495269775, 0.17807860672473907, 8.957836151123047, -8.163565635681152, 1.6024147272109985, 
23, 2258722174, 0.0072863684, -0.6195854, 0.32650095, -0.7137635, 8.969382286071777, -4.591965675354004, 0.22017911076545715, 11.362475395202637, -8.466976165771484, 1.016383171081543, 
24, 2258738841, 0.008651514, -0.6204727, 0.32503346, -0.71364695, 9.033136367797852, -4.650732040405273, 0.260398805141449, 12.569987297058105, -8.277301788330078, 0.39143282175064087, 
25, 2258755508, 0.01001795, -0.6213035, 0.3234833, -0.71361065, 9.04282283782959, -4.772090435028076, 0.35442879796028137, 13.398008346557617, -7.8025689125061035, 0.07752329856157303, 
26, 2258772175, 0.011528421, -0.6221209, 0.32175264, -0.7136584, 9.016916275024414, -4.774858474731445, 0.3986758887767792, 14.237860679626465, -7.344075679779053, -0.14919407665729523, 
27, 2258788842, 0.013015914, -0.62285787, 0.3200509, -0.7137551, 8.992755889892578, -4.784286022186279, 0.44110026955604553, 14.246837615966797, -6.866283416748047, -0.12040539085865021, 
28, 2258805509, 0.014560232, -0.62353116, 0.31840658, -0.7138728, 8.988324165344238, -4.758894920349121, 0.45724382996559143, 13.87022876739502, -6.4922871589660645, 0.382686048746109, 
29, 2258822176, 0.016010894, -0.62405115, 0.31705424, -0.7139892, 9.003389358520508, -4.664612293243408, 0.49620360136032104, 12.727335929870605, -5.975869178771973, 1.4067463874816895, 
30, 2258838843, 0.017352793, -0.624458, 0.3160999, -0.7140253, 8.981987953186035, -4.592735290527344, 0.5036565065383911, 9.893198013305664, -5.4520368576049805, 2.780714273452759, 
31, 2258855510, 0.018711701, -0.62477475, 0.3154794, -0.7139883, 8.868955612182617, -4.650054454803467, 0.46133551001548767, 8.376258850097656, -5.513904571533203, 4.4926557540893555, 
32, 2258872177, 0.0204637, -0.62507206, 0.31481808, -0.7139719, 8.757129669189453, -4.649154186248779, 0.45214250683784485, 10.036656379699707, -6.08417272567749, 6.213049411773682, 
33, 2258888844, 0.022513, -0.62531805, 0.3141388, -0.7139941, 8.686490058898926, -4.518088340759277, 0.40932151675224304, 12.156429290771484, -6.7008891105651855, 7.6394734382629395, 
34, 2258905511, 0.024880527, -0.62559086, 0.31336197, -0.7140176, 8.657024383544922, -4.3272199630737305, 0.3752541244029999, 13.295007705688477, -7.144643783569336, 8.683321952819824, 
35, 2258922178, 0.027163234, -0.62585443, 0.31280193, -0.71394914, 8.656389236450195, -4.254360198974609, 0.33382517099380493, 12.19423770904541, -7.543727874755859, 9.298821449279785, 
36, 2258938845, 0.029450946, -0.626186, 0.3122108, -0.7138265, 8.71473503112793, -4.307335376739502, 0.30850258469581604, 12.10213565826416, -8.01240348815918, 9.126192092895508, 
37, 2258955512, 0.031839058, -0.62658215, 0.3113794, -0.7137394, 8.73747730255127, -4.300342082977295, 0.28287455439567566, 13.608241081237793, -8.299420356750488, 8.49947452545166, 
38, 2258972179, 0.034189135, -0.6270086, 0.31033072, -0.7137129, 8.827555656433105, -4.244068622589111, 0.31151261925697327, 14.882997512817383, -8.237334251403809, 7.370811462402344, 
39, 2258988846, 0.036084738, -0.6273765, 0.30942827, -0.7136881, 8.961566925048828, -4.070828437805176, 0.3031345307826996, 12.626410484313965, -7.1235127449035645, 5.9990692138671875, 
40, 2259005513, 0.037318323, -0.62772924, 0.30883625, -0.713571, 9.017865180969238, -4.135970115661621, 0.2750394344329834, 7.825648307800293, -5.796053886413574, 4.292260646820068, 
41, 2259022180, 0.03816544, -0.62810683, 0.30825403, -0.7134456, 9.046164512634277, -4.3677263259887695, 0.2544710338115692, 5.698544979095459, -4.869743347167969, 2.502899169921875, 
42, 2259038847, 0.038858056, -0.62846464, 0.3074149, -0.7134552, 9.040433883666992, -4.455920219421387, 0.24611429870128632, 7.185739994049072, -4.219334602355957, 0.7100673317909241, 
43, 2259055514, 0.039564006, -0.62882686, 0.30624962, -0.7135984, 8.99887466430664, -4.44948673248291, 0.2875778079032898, 9.350899696350098, -3.8595662117004395, -0.6506267786026001, 
44, 2259072181, 0.040247466, -0.62922376, 0.3049391, -0.7137714, 8.955740928649902, -4.38327693939209, 0.32260259985923767, 9.832058906555176, -3.757819890975952, -1.4617044925689697, 
45, 2259088848, 0.040705547, -0.6296403, 0.3037398, -0.7138897, 8.871379852294922, -4.377574443817139, 0.36779215931892395, 8.009753227233887, -3.467435359954834, -2.099857807159424, 
46, 2259105515, 0.0410292, -0.6300502, 0.30264312, -0.7139753, 8.843427658081055, -4.540030479431152, 0.3564644157886505, 6.959708213806152, -3.320533275604248, -2.2879700660705566, 
47, 2259122182, 0.04151154, -0.6304397, 0.3013825, -0.7141367, 8.797833442687988, -4.668552398681641, 0.3287160396575928, 8.559760093688965, -3.2278800010681152, -2.238102436065674, 
48, 2259138849, 0.0422291, -0.6307972, 0.2998953, -0.71440506, 8.836864471435547, -4.711001873016357, 0.3429265022277832, 11.271738052368164, -3.333622932434082, -2.088153123855591, 
49, 2259155516, 0.0431017, -0.6311239, 0.29828647, -0.7147377, 8.915670394897461, -4.583355903625488, 0.38098597526550293, 12.5792818069458, -3.185683488845825, -1.8815611600875854, 
50, 2259172183, 0.043650508, -0.63138056, 0.29705358, -0.7149913, 9.021122932434082, -4.457586288452148, 0.3993077576160431, 9.287705421447754, -2.4574947357177734, -1.7058639526367188, 
51, 2259188850, 0.043732524, -0.6315646, 0.2963952, -0.7150969, 9.009748458862305, -4.457135200500488, 0.38468843698501587, 4.122364521026611, -1.5952935218811035, -1.3151417970657349, 
52, 2259205517, 0.043537073, -0.63166237, 0.29614115, -0.7151277, 8.909342765808105, -4.604367256164551, 0.31883570551872253, 0.9579277634620667, -0.8869357109069824, -0.7260239124298096, 
53, 2259222184, 0.043492213, -0.63176566, 0.2958673, -0.71515244, 8.763861656188965, -4.783692359924316, 0.3103274405002594, 1.7619808912277222, -1.2712864875793457, -0.11980341374874115, 
54, 2259238851, 0.043859567, -0.6318577, 0.2952949, -0.7152854, 8.71856689453125, -4.755710124969482, 0.30307382345199585, 5.4995527267456055, -1.7916979789733887, 0.5291647911071777, 
55, 2259255518, 0.04450574, -0.63197947, 0.29459363, -0.7154272, 8.74906063079834, -4.62744140625, 0.2932010591030121, 7.233392238616943, -2.4188125133514404, 1.201651930809021, 
56, 2259272185, 0.04510569, -0.63206214, 0.29414544, -0.71550083, 8.803584098815918, -4.430083751678467, 0.3654331564903259, 5.606877326965332, -2.299675226211548, 2.1270456314086914, 
57, 2259288852, 0.045159947, -0.63208425, 0.29448754, -0.7153372, 8.861875534057617, -4.279011249542236, 0.3477519452571869, -1.2806158065795898, -1.5876096487045288, 3.0589377880096436, 
58, 2259305519, 0.044895686, -0.6320847, 0.2952874, -0.7150236, 8.839155197143555, -4.648855686187744, 0.3282870054244995, -5.140655517578125, -1.381017804145813, 3.5912725925445557, 
59, 2259322186, 0.04497468, -0.6320862, 0.29583788, -0.71478957, 8.77565860748291, -4.837867736816406, 0.3003477156162262, -1.989120602607727, -1.9544793367385864, 4.140298843383789, 
60, 2259338853, 0.04560928, -0.6321361, 0.295822, -0.7147119, 8.759003639221191, -4.841901779174805, 0.31429168581962585, 3.3271350860595703, -2.70603346824646, 4.1959052085876465, 
61, 2259355520, 0.046684753, -0.63220084, 0.2953964, -0.7147615, 8.792624473571777, -4.678466796875, 0.37980878353118896, 7.340511322021484, -3.147429943084717, 4.450412750244141, 
62, 2259372187, 0.047742635, -0.63225234, 0.2950761, -0.7147781, 8.825898170471191, -4.498485565185547, 0.40643346309661865, 6.817712306976318, -3.230799674987793, 4.83622407913208, 
63, 2259388854, 0.04859921, -0.63233644, 0.29502666, -0.7146665, 8.824332237243652, -4.484643459320068, 0.373379647731781, 4.518855571746826, -3.5564262866973877, 5.005394458770752, 
64, 2259405521, 0.049478605, -0.6324298, 0.29493353, -0.71456206, 8.793649673461914, -4.643146991729736, 0.318928986787796, 4.823582649230957, -3.62203311920166, 4.908847332000732, 
65, 2259422188, 0.050686017, -0.63248456, 0.29437438, -0.71465945, 8.787280082702637, -4.678990840911865, 0.312002569437027, 9.026834487915039, -3.4075021743774414, 4.489889144897461, 
66, 2259438855, 0.051961966, -0.63246715, 0.29357, -0.71491396, 8.840048789978027, -4.217784881591797, 0.40872320532798767, 10.567574501037598, -2.4139275550842285, 3.8256046772003174, 
67, 2259455522, 0.052380063, -0.6324224, 0.29358587, -0.71491677, 8.86128044128418, -4.133220672607422, 0.3888654410839081, 2.6110615730285645, -1.5245897769927979, 3.370171070098877, 
68, 2259472189, 0.052204788, -0.6324155, 0.29407898, -0.7147328, 8.856465339660645, -4.296419143676758, 0.33168405294418335, -2.656869649887085, -1.1850101947784424, 2.5690248012542725, 
69, 2259488856, 0.051907267, -0.63244337, 0.2944969, -0.7145577, 8.888198852539062, -4.495046615600586, 0.2354458123445511, -2.9982802867889404, -0.9908978939056396, 1.5895113945007324, 
70, 2259505523, 0.05198794, -0.632505, 0.2943471, -0.7145589, 8.841872215270996, -4.6985368728637695, 0.17175213992595673, 1.801033854484558, -1.3547773361206055, 0.8561556935310364, 
71, 2259522190, 0.052613992, -0.6325939, 0.29347658, -0.7147925, 8.827967643737793, -4.620046138763428, 0.1709846407175064, 8.226428985595703, -1.8421233892440796, 0.25037699937820435, 
72, 2259538857, 0.053386454, -0.6327801, 0.2923562, -0.7150298, 8.81396770477295, -4.394938945770264, 0.24752479791641235, 9.688314437866211, -2.454472303390503, -0.3313964605331421, 
73, 2259555524, 0.053826064, -0.6330185, 0.29146367, -0.71515006, 8.825990676879883, -4.30865478515625, 0.30987513065338135, 7.3331804275512695, -2.7120654582977295, -1.0075910091400146, 
74, 2259572191, 0.05384462, -0.63326263, 0.29092747, -0.71515083, 8.820877075195312, -4.308392524719238, 0.3287758529186249, 3.5690083503723145, -2.3124043941497803, -1.4697206020355225, 
75, 2259588858, 0.053563986, -0.63350266, 0.2907163, -0.715045, 8.818754196166992, -4.496960639953613, 0.31485509872436523, 0.3169315457344055, -1.9569512605667114, -1.4604746103286743, 
76, 2259605525, 0.05328738, -0.6337131, 0.29049525, -0.71496904, 8.780129432678223, -4.686867713928223, 0.2707817256450653, 0.5350621342658997, -1.7333780527114868, -1.431596279144287, 
77, 2259622192, 0.0532363, -0.6339137, 0.29003337, -0.7149826, 8.76118278503418, -4.793871879577637, 0.29361385107040405, 2.8029770851135254, -1.7792502641677856, -1.4065214395523071, 
78, 2259638859, 0.053467587, -0.6340796, 0.28932792, -0.715104, 8.795275688171387, -4.762765407562256, 0.30393168330192566, 5.454967498779297, -1.7816579341888428, -1.0765018463134766, 
79, 2259655526, 0.05378265, -0.6342118, 0.28870392, -0.7152155, 8.832642555236816, -4.592630386352539, 0.3773064613342285, 5.446002960205078, -1.809485912322998, -0.2610062062740326, 
80, 2259672193, 0.053893417, -0.634271, 0.28850576, -0.71523464, 8.88357162475586, -4.5362067222595215, 0.43098294734954834, 2.472547769546509, -1.3839502334594727, 0.7712495923042297, 
81, 2259688860, 0.053777624, -0.6342573, 0.2887621, -0.7151519, 8.897799491882324, -4.519999980926514, 0.38753756880760193, -0.9792696237564087, -0.8330082893371582, 1.822241187095642, 
82, 2259705527, 0.053584784, -0.6342338, 0.28927425, -0.71498024, 8.865676879882812, -4.704509258270264, 0.32786014676094055, -2.776724338531494, -0.9146808981895447, 2.6157870292663574, 
83, 2259722194, 0.053675666, -0.6342185, 0.2896084, -0.7148516, 8.857641220092773, -4.8049492835998535, 0.25860971212387085, -0.6949557662010193, -1.3352603912353516, 3.185464382171631, 
84, 2259738861, 0.054064274, -0.63418776, 0.28966555, -0.7148264, 8.849209785461426, -4.73773193359375, 0.23551930487155914, 2.3096377849578857, -1.5698084831237793, 3.4193336963653564, 
85, 2259755528, 0.054596692, -0.6341763, 0.28956065, -0.7148385, 8.849347114562988, -4.61559534072876, 0.2540121078491211, 3.815664768218994, -1.847565770149231, 3.355775833129883, 
86, 2259772195, 0.054963455, -0.6341583, 0.28965268, -0.7147893, 8.866562843322754, -4.4694504737854, 0.2559055984020233, 2.1205203533172607, -1.7345689535140991, 3.4395487308502197, 
87, 2259788862, 0.055164047, -0.6341551, 0.28989062, -0.71468014, 8.853874206542969, -4.562822341918945, 0.23068790137767792, 0.4729961156845093, -1.631836175918579, 3.2621164321899414, 
88, 2259805529, 0.055542152, -0.6342055, 0.28993276, -0.7145891, 8.787442207336426, -4.630143642425537, 0.23873959481716156, 2.21768856048584, -2.2330496311187744, 3.171287775039673, 
89, 2259822196, 0.0561817, -0.6342925, 0.28974402, -0.7145386, 8.784788131713867, -4.566445827484131, 0.2639234662055969, 4.604087829589844, -2.862866163253784, 3.361295461654663, 
90, 2259838863, 0.05679919, -0.6344451, 0.28959534, -0.7144145, 8.816080093383789, -4.408149242401123, 0.32403564453125, 4.076748371124268, -3.406816244125366, 3.3263473510742188, 
91, 2259855530, 0.05709617, -0.6346436, 0.28982872, -0.7141197, 8.855921745300293, -4.361410617828369, 0.34483638405799866, 0.4774334728717804, -3.6118643283843994, 3.4126744270324707, 
92, 2259872197, 0.057142727, -0.6348422, 0.29040077, -0.71370703, 8.90539836883545, -4.452507495880127, 0.3543073832988739, -2.4430482387542725, -3.5381064414978027, 3.7308743000030518, 
93, 2259888864, 0.057190843, -0.6350237, 0.2910084, -0.71329397, 8.867682456970215, -4.620342254638672, 0.28509703278541565, -2.716707229614258, -3.3917040824890137, 3.94256329536438, 
94, 2259905531, 0.05762427, -0.63518983, 0.29122257, -0.7130237, 8.813508987426758, -4.839381217956543, 0.2781013250350952, 1.2669962644577026, -3.664543867111206, 4.0948052406311035, 
95, 2259922198, 0.058573127, -0.63532615, 0.29079294, -0.7130003, 8.810567855834961, -4.708004951477051, 0.3180106282234192, 7.141271114349365, -3.7069203853607178, 3.7603936195373535, 
96, 2259938865, 0.059501745, -0.63548726, 0.29027995, -0.7129889, 8.840988159179688, -4.425626277923584, 0.366106241941452, 7.485658645629883, -3.7787766456604004, 3.2412109375, 
97, 2259955532, 0.06009834, -0.6356318, 0.29005685, -0.7129009, 8.869148254394531, -4.379086017608643, 0.4307295083999634, 4.635745525360107, -3.3529653549194336, 2.9703564643859863, 
98, 2259972199, 0.06038297, -0.6357353, 0.2901092, -0.7127633, 8.87990665435791, -4.359942436218262, 0.390341579914093, 1.8102545738220215, -2.6308534145355225, 2.7730231285095215, 
99, 2259988866, 0.060464628, -0.63585263, 0.29032126, -0.7125652, 8.848947525024414, -4.47717809677124, 0.3779577612876892, -0.17156025767326355, -2.401465654373169, 2.4957783222198486, 
100, 2260005533, 0.060575083, -0.63594496, 0.29042417, -0.7124316, 8.825516700744629, -4.57546854019165, 0.3318012058734894, 0.7994235754013062, -2.2063355445861816, 2.2049460411071777, 
101, 2260022200, 0.060844168, -0.6360556, 0.2902866, -0.71236587, 8.807129859924316, -4.554147720336914, 0.3310074806213379, 2.635310173034668, -2.331332206726074, 1.8722695112228394, 
